證券代碼,日期,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),5日均價(元),10日均價(元),20日均價(元),60日均價(元),5日均量,10日均量,20日均量,60日均量,區間股價變化,區間股價變化率,月報所屬日期,季報所屬日期,營收發布日,單月營收(千元),去年單月營收(千元),單月營收成長率％,單月營收與上月比％,單月營收與上月比％-成長月數,累計營收(千元),去年累計營收(千元),累計營收成長率％,季別,季報發布日,每股盈餘,當季季底P/B,當季季底PSR,當季季底P/E,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,ROE(B)－常續利益,營業利益率,營業利益成長率,營業利益變動率,營業利益 /實收資本比,常續利益率－稅後,淨利變動率（單季）,稅前息前折舊前淨利率,稅前淨利率,稅前淨利成長率,稅後淨利率,稅後淨利成長率,季底普通股市值,營收成長率,營收變動率,淨值/資產,總資產成長率,總資產週轉次數,業外收支/營收,營業毛利率,營業毛利成長率,已實現銷貨毛利成長率,已實現銷貨毛利率,自由現金流量(D),營業收入淨額,股東權益總額,來自營運之現金流量,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,法人買賣超日數,董監持股％,董監持股數,融資餘額(張),融券餘額(張),券資比,融券增減比率,融資增減比率,200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率),區間董監持股變化,區間融資餘額(張)變化,區間融券餘額(張)變化,區間200-400 張(比率)變化,區間400-600 張(比率)變化,區間600-800 張(比率)變化,區間800-1000張(比率)變化,區間1000張以上  (比率)變化,區間董監持股變化率,區間融資餘額(張)變化率,區間融券餘額(張)變化率,上市別,產業別,公司,產業名稱,資本額,規模,指數名稱,指數開盤價(元),指數最高價(元),指數最低價(元),指數收盤價(元),指數成交量(千股),指數5日均價(元),指數10日均價(元),指數20日均價(元),指數60日均價(元),指數5日均量,指數10日均量,指數20日均量,指數60日均量,區間指數變化,區間指數變化率,股價變化率分组,區間融資餘額(張)變化率_b,融券增減比率_b,融資增減比率_b,區間融資餘額(張)變化_b,券資比_b
1810,2023-10-16,18.75,18.9,18.4,18.4,746.0,18.86,19.075,19.5275,20.3583,1195.0,884.0,1108.0,1966.0,-3.35,-15.4,2023-09-28,2023-06-30,2023-10-11,394617.0,398827.0,-1.06,-7.23,-1.0,3602391.0,3762408.0,-4.25,2,2023-08-14,0.03,1.13,1.54,171.03,1.05,0.21,0.72,0.14,0.16,0.92,-76.9,219.11,0.4,0.81,175.42,8.16,2.13,-72.3,0.71,-82.3,7400008,-3.11,18.96,64.14,-3.84,0.13,1.21,24.93,-6.21,-6.21,24.93,6302,1302563,6591343,599809,-157,0,0,-157,-4,0,0,-4,8.4,25388,19967,110,0.55,4.76,0.07,0.0,0.0,0.0,0.0,0.0,0,-820,-573,0.0,0.0,0.0,0.0,0.0,0.0,3.94,83.89,TSE,8,和成,玻璃陶瓷,3023037190.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-17, -15]","(3.893, 60.83]","(0.0, 1080.0]","(0.0, 0.923]","(-3666.001, -43.333]","(-0.001, 0.707]"
2107,2023-10-16,23.55,24.1,23.35,23.95,770.0,23.28,23.075,22.9889,21.9434,369.0,341.0,320.0,396.0,2.0,9.11,2023-09-28,2023-06-30,2023-10-11,91419.0,107742.0,-15.15,-20.94,-1.0,1054771.0,1496200.0,-29.5,2,2023-08-08,0.75,0.62,4.7,9.94,2.22,1.81,1.96,2.1,2.1,16.49,-51.69,4.29,2.06,60.24,395.63,75.61,67.78,4.28,60.31,17.51,7454905,-19.72,24.97,82.61,8.13,0.03,51.29,29.41,-39.02,-39.02,29.41,366087,420961,12090930,219217,55,0,89,144,4,0,1,4,25.49,77383,608,0,0.0,0.0,11.15,0.0,0.0,0.0,0.0,0.0,-7548,-24,-3,0.0,0.0,0.0,0.0,0.0,8.89,3.8,100.0,TSE,11,厚生,橡膠工業,3035934000.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(9, 11]","(-14.577, 3.893]","(-92.161, 0.0]","(0.923, 18.74]","(-43.333, 340.0]","(-0.001, 0.707]"
2363,2023-10-16,47.9,50.0,47.35,49.95,194539.0,44.14,40.665,39.0125,31.0633,179836.0,120432.0,104809.0,96248.0,12.15,32.14,2023-09-28,2023-06-30,2023-10-06,53734.0,8902.0,503.62,175.98,2.0,152018.0,137784.0,10.33,2,2023-08-10,1.15,0.77,91.12,22.01,4.9,4.54,4.56,4.66,4.66,-388.53,1.72,-48.29,-1.95,2283.83,1020.41,2464.8,2449.7,29.18,2283.83,30.46,13679999,-37.45,13.11,95.34,19.46,0.0,2838.23,30.2,358.67,358.67,30.2,738539,37584,17848196,-1061607,-20085,0,-518,-20603,-1,0,-1,-1,24.18,181259,54766,19429,35.48,4.46,18.74,0.0,0.0,0.0,0.0,0.0,-1000,46608,19379,0.0,0.0,0.0,0.0,0.0,0.55,-571.32,-38758.0,TSE,24,矽統,半導體,7495893560.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(31, 33]","(-904.381, -14.577]","(0.0, 1080.0]","(0.923, 18.74]","(340.0, 46608.0]","(0.707, 35.48]"
2374,2023-10-16,23.95,23.95,23.3,23.5,1974.0,24.11,24.56,24.23,22.355,2483.0,2956.0,2727.0,2732.0,-0.3,-1.26,2023-09-28,2023-06-30,2023-10-11,509842.0,526031.0,-3.08,-12.44,-1.0,3608731.0,3995613.0,-9.68,2,2023-08-11,0.21,0.96,1.23,36.81,1.64,0.6,1.1,0.77,0.76,-2.66,-1194.69,50.47,-1.02,4.54,167.53,12.87,7.69,37.14,4.55,14.42,5909070,-25.14,18.37,73.77,-2.94,0.13,10.35,23.85,-13.47,-13.47,23.85,198789,1099486,6468277,212801,-60,0,27,-33,-1,0,1,-1,11.46,32946,8579,124,1.45,-8.15,-0.37,0.0,0.0,0.0,0.0,0.0,450,1830,103,0.0,0.0,0.0,0.0,0.0,-1.38,-27.12,-490.48,TSE,26,佳能,光電業,2875463120.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-3, -1]","(-904.381, -14.577]","(-92.161, 0.0]","(-6.471, 0.0]","(340.0, 46608.0]","(0.707, 35.48]"
2375,2023-10-16,68.0,68.0,67.0,67.0,210.0,66.16,66.22,66.71,64.36,370.0,258.0,304.0,362.0,0.3,0.45,2023-09-28,2023-06-30,2023-10-06,430274.0,479349.0,-10.24,4.51,1.0,3634879.0,4591710.0,-20.84,2,2023-08-13,1.66,0.83,1.42,12.82,2.63,1.16,1.91,2.05,2.53,6.39,-24.69,2063.99,7.41,17.65,1423.89,30.48,18.96,-10.77,14.33,4.16,7324695,-20.26,12.53,51.03,-9.92,0.07,12.58,16.73,-23.59,-23.59,16.73,643811,1260489,8810261,255898,-7,0,5,-2,-1,0,1,-1,7.36,8000,2808,27,0.96,-59.09,0.32,0.0,0.0,0.0,0.0,0.0,0,-1153,-209,0.0,0.0,0.0,0.0,0.0,0.0,29.11,88.56,TSE,28,凱美,電子零組件,1086753340.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-1, 1]","(3.893, 60.83]","(-92.161, 0.0]","(0.0, 0.923]","(-3666.001, -43.333]","(0.707, 35.48]"
2390,2023-10-16,13.85,15.1,13.7,14.7,6454.0,14.25,13.89,13.52,12.9575,2955.0,2119.0,1327.0,1312.0,1.0,7.3,2023-09-28,2023-06-30,2023-10-06,52667.0,50288.0,4.73,13.66,1.0,474657.0,418245.0,13.49,2,2023-08-11,0.08,0.98,4.01,0.0,2.77,0.53,0.13,0.58,-0.15,0.0,100.03,-99.42,0.0,-2.34,117.31,16.04,10.14,107.75,8.85,105.93,2532940,17.94,9.55,86.27,-26.78,0.06,10.13,25.02,47.62,47.62,25.02,2417,167604,2583122,21142,-1051,0,4,-1047,-1,0,3,-1,29.14,56136,5616,70,1.25,55.56,5.33,0.0,0.0,0.0,0.0,0.0,0,-955,39,0.0,0.0,0.0,0.0,0.0,0.0,14.53,-125.81,TSE,31,云辰,其他電子業,1926194420.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(7, 9]","(3.893, 60.83]","(0.0, 1080.0]","(0.923, 18.74]","(-3666.001, -43.333]","(0.707, 35.48]"
2392,2023-10-16,41.35,41.4,40.6,40.75,1270.0,41.16,41.1,41.5575,42.1317,1410.0,1432.0,2318.0,2953.0,-5.1,-11.12,2023-09-28,2023-06-30,2023-10-06,9434240.0,10810229.0,-12.73,23.45,1.0,61094101.0,66200652.0,-7.71,2,2023-08-11,1.6,0.95,0.24,7.82,2.3,1.02,1.83,2.3,2.32,0.76,-83.93,-28.3,2.56,4.62,232.05,11.72,5.72,2.16,4.6,33.86,21568925,-21.47,-7.76,38.3,-5.83,0.19,4.95,12.7,-23.81,-23.81,12.7,2567829,17185153,34031811,383662,-249,0,-46,-295,-2,0,-4,-8,20.43,104662,4157,14,0.34,-17.65,1.02,0.0,0.0,0.0,0.0,0.0,916,1160,-1,0.0,0.0,0.0,0.0,0.0,-0.88,-38.71,6.67,TSE,28,正崴,電子零組件,5123269400.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-13, -11]","(-904.381, -14.577]","(-92.161, 0.0]","(0.923, 18.74]","(340.0, 46608.0]","(-0.001, 0.707]"
2516,2023-10-16,8.5,9.17,8.34,9.13,8559.0,8.09,7.602,7.5275,6.9535,4615.0,2952.0,2119.0,2308.0,1.04,12.86,2023-09-28,2023-06-30,2023-10-06,862488.0,482122.0,78.89,26.74,1.0,6144088.0,4795410.0,28.12,2,2023-08-11,0.23,0.84,0.17,0.0,0.72,0.88,0.99,3.52,3.2,2.24,112.36,11.07,1.85,2.48,-15.8,3.86,2.73,114.51,2.73,114.51,1237741,2.93,-4.87,22.95,-3.32,0.29,0.49,4.19,125.81,125.81,4.19,8230,1867715,1472971,269473,-1365,0,4,-1361,-1,0,1,-1,8.83,19978,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0.0,0.0,0.0,0.0,0.0,-0.11,,,TSE,14,新建,建材營造,2262784570.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(11, 13]","(-14.577, 3.893]","(-92.161, 0.0]","(-6.471, 0.0]","(-43.333, 340.0]","(-0.001, 0.707]"
2524,2023-10-16,30.8,30.8,30.8,30.8,0.0,30.82,30.95,30.8275,31.0192,26.0,31.0,41.0,35.0,-0.8,-2.53,2023-09-28,2023-06-30,2023-10-06,448000.0,119882.0,273.7,11.61,2.0,1767107.0,2277749.0,-22.42,2,2023-08-14,-0.03,0.68,4.8,14.93,0.34,0.13,0.17,-0.07,-0.07,20.91,-61.08,-18.05,2.71,-2.64,-120.77,25.19,5.7,-86.51,-2.64,-110.53,11772886,-41.05,23.63,48.55,2.81,0.01,-15.21,47.34,-46.3,-46.3,47.34,-1118162,479633,17335108,-559308,0,0,0,0,0,0,0,0,13.82,51039,8387,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,,TSE,14,京城,建材營造,3694196000.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-3, -1]","(-14.577, 3.893]","(-92.161, 0.0]","(-6.471, 0.0]","(-43.333, 340.0]","(-0.001, 0.707]"
2543,2023-10-16,15.15,16.8,15.15,16.8,5199.0,15.54,15.315,14.45,11.8667,2340.0,2951.0,2797.0,1394.0,5.45,48.02,2023-09-28,2023-06-30,2023-10-11,1106017.0,727784.0,51.97,13.75,1.0,7851242.0,6065354.0,29.44,2,2023-08-14,0.37,0.9,0.26,11.29,1.6,0.91,1.38,3.65,3.51,4.61,-40.73,151.3,5.23,3.74,320.43,8.1,4.17,-42.02,3.88,-45.33,2372455,29.12,28.59,21.03,53.93,0.2,-0.44,6.8,126.96,126.96,6.8,118120,2695877,2882547,766400,1315,0,-3,1312,1,0,-1,1,50.41,119714,1508,59,3.91,1080.0,14.68,0.0,0.0,0.0,0.0,0.0,0,1292,59,0.0,0.0,0.0,0.0,0.0,0.0,-598.15,10000.0,TSE,14,皇昌,建材營造,2374837880.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(47, 49]","(-904.381, -14.577]","(0.0, 1080.0]","(0.923, 18.74]","(340.0, 46608.0]","(0.707, 35.48]"
2701,2023-10-16,12.35,12.35,12.3,12.3,93.0,12.32,12.35,12.37,12.6825,231.0,198.0,196.0,361.0,-0.65,-5.02,2023-09-28,2023-06-30,2023-10-06,23313.0,16392.0,42.22,-13.53,-2.0,227509.0,169763.0,34.02,2,2023-08-11,0.12,0.75,24.31,28.34,0.76,0.58,0.58,0.67,0.67,56.03,61.58,-1.57,0.91,75.56,133.77,100.56,99.37,-29.96,76.03,-37.62,6344535,33.24,-3.37,86.01,9.71,0.01,43.34,67.21,52.87,52.87,67.21,124780,72797,8472482,35143,17,0,0,17,3,0,0,2,19.96,89812,2014,2,0.1,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0,-2708,2,0.0,0.0,0.0,0.0,0.0,0.0,57.35,10000.0,TSE,16,萬企,觀光餐旅,4499678380.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-7, -5]","(3.893, 60.83]","(-92.161, 0.0]","(0.0, 0.923]","(-3666.001, -43.333]","(-0.001, 0.707]"
2816,2023-10-16,27.9,28.35,27.4,27.5,1093.0,28.26,27.495,29.7175,25.6525,3932.0,2704.0,2774.0,2629.0,0.5,1.85,2023-09-28,2023-06-30,2023-10-06,797406.0,682127.0,16.9,-5.54,-2.0,7606280.0,6131180.0,24.06,2,2023-08-29,2.53,0.74,0.44,16.24,3.03,2.9,2.98,10.53,10.53,21.83,173.73,188.49,25.47,21.7,184.24,0.0,21.91,174.16,21.7,175.09,4192650,41.09,10.11,28.46,3.64,0.13,0.07,43.04,539.59,0.0,0.0,0,2608053,5644708,208167,-178,0,15,-163,-4,0,2,-4,20.88,46690,2752,68,2.47,-13.92,1.44,0.0,0.0,0.0,0.0,0.0,0,2478,68,0.0,0.0,0.0,0.0,0.0,0.0,-904.38,10000.0,TSE,17,旺旺保,金融業,2236080000.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(1, 3]","(-904.381, -14.577]","(-92.161, 0.0]","(0.923, 18.74]","(340.0, 46608.0]","(0.707, 35.48]"
2836,2023-10-16,12.05,12.05,11.95,12.05,241.0,12.02,11.995,12.065,12.2425,338.0,292.0,290.0,409.0,-0.35,-2.82,2023-09-28,2023-06-30,2023-10-06,309717.0,295929.0,4.66,0.4,1.0,2928135.0,2976878.0,-1.64,2,2023-08-28,0.21,0.86,3.95,13.23,0.14,0.09,0.1,1.51,1.51,0.0,0.0,0.0,0.0,24.69,21.93,0.0,32.5,1.38,24.69,-11.82,14919420,1.53,16.45,5.93,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0,1047355,17256686,-2831806,46,0,-5,41,3,0,-2,6,58.32,719852,3819,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20966,167,-2,0.0,0.0,0.0,0.0,0.0,-3.0,-4.57,100.0,TSE,17,高雄銀,金融業,12742982240.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-3, -1]","(-14.577, 3.893]","(-92.161, 0.0]","(-6.471, 0.0]","(-43.333, 340.0]","(-0.001, 0.707]"
2850,2023-10-16,62.0,62.3,61.9,62.2,59.0,61.96,61.11,60.495,57.63,193.0,183.0,161.0,190.0,2.7,4.54,2023-09-28,2023-06-30,2023-10-11,1699357.0,1596236.0,6.46,-2.54,-2.0,15030858.0,14122225.0,6.43,2,2023-08-29,2.27,1.03,0.85,6.03,1.92,1.55,1.59,4.52,4.52,17.1,70.71,55.34,27.39,14.19,58.47,0.0,17.12,69.21,14.19,88.68,16430076,10.58,7.76,33.18,7.51,0.11,0.01,34.39,26.66,0.0,0.0,0,5059244,15886036,1368591,0,0,2,2,0,0,1,1,4.36,13772,79,1,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7270,-2,1,0.0,0.0,0.0,0.0,0.0,34.55,2.47,10000.0,TSE,17,新產,金融業,3159633000.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(3, 5]","(-14.577, 3.893]","(-92.161, 0.0]","(-6.471, 0.0]","(-43.333, 340.0]","(0.707, 35.48]"
2852,2023-10-16,17.1,17.1,16.75,16.75,467.0,16.93,16.78,16.825,16.4467,369.0,244.0,263.0,364.0,0.6,3.72,2023-09-28,2023-06-30,2023-10-05,606367.0,579184.0,4.69,-1.85,-2.0,5516423.0,5260153.0,4.87,2,2023-08-25,0.7,0.63,0.68,7.42,1.34,1.13,1.18,2.69,2.69,12.52,16.84,162.11,7.92,11.07,182.45,0.0,12.52,16.84,11.07,23.72,4893899,9.46,10.5,40.89,7.21,0.1,0.0,32.06,6.8,0.0,0.0,0,1904331,7783066,133723,-19,0,3,-16,-2,0,1,-2,18.41,55431,434,0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0,180,0,0.0,0.0,0.0,0.0,0.0,0.0,-70.87,,TSE,17,第一保,金融業,3011637840.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(3, 5]","(-904.381, -14.577]","(-92.161, 0.0]","(0.0, 0.923]","(-43.333, 340.0]","(-0.001, 0.707]"
2903,2023-10-16,24.2,24.3,24.0,24.25,1338.0,24.11,23.84,23.71,22.9108,2053.0,1367.0,1167.0,1449.0,0.35,1.46,2023-09-28,2023-06-30,2023-10-11,2667741.0,2723091.0,-2.03,-4.89,-1.0,25769497.0,24433296.0,5.47,2,2023-08-14,0.51,1.07,0.91,6.12,2.35,1.02,1.88,2.54,2.56,16.11,357.93,-19.53,9.38,12.8,-10.52,34.08,15.78,1117.23,12.71,8539.85,34006560,15.51,-11.12,33.92,-0.94,0.07,-0.33,59.02,24.09,24.09,59.02,2176625,8252635,40765176,1965213,266,220,84,570,1,2,1,1,17.32,245392,6494,5,0.08,0.0,-0.54,0.0,0.0,0.0,0.0,0.0,0,722,-3,0.0,0.0,0.0,0.0,0.0,0.0,-12.51,37.5,TSE,18,遠百,貿易百貨,14169405890.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(1, 3]","(-14.577, 3.893]","(-92.161, 0.0]","(-6.471, 0.0]","(340.0, 46608.0]","(-0.001, 0.707]"
2915,2023-10-16,59.0,59.6,59.0,59.4,1070.0,59.08,58.89,59.335,60.575,1449.0,1478.0,1650.0,2077.0,-2.5,-4.04,2023-09-28,2023-06-30,2023-10-06,232209.0,203296.0,14.22,-11.92,-1.0,2108015.0,2215434.0,-4.85,2,2023-08-11,4.33,0.73,24.68,16.5,4.15,4.1,4.08,4.96,4.91,4.55,-58.24,-3.31,0.28,663.81,3066.76,693.19,678.73,-30.96,669.67,-24.71,66479944,-16.37,-9.34,81.33,130.93,0.01,674.19,34.93,-16.54,-16.54,34.93,4703788,680118,93456171,-461847,-524,-5,463,-66,-4,-2,9,-1,6.76,74699,5896,22,0.37,0.0,-0.56,0.0,0.0,0.0,0.0,0.0,0,73,-43,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,66.15,TSE,18,潤泰全,貿易百貨,11043187720.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-5, -3]","(-14.577, 3.893]","(-92.161, 0.0]","(-6.471, 0.0]","(-43.333, 340.0]","(-0.001, 0.707]"
3015,2023-10-16,49.85,50.1,49.8,50.0,131.0,49.78,49.665,49.5325,49.5025,239.0,201.0,187.0,298.0,-0.7,-1.38,2023-09-28,2023-06-30,2023-10-06,1234914.0,1277547.0,-3.34,1.98,3.0,10892235.0,11531107.0,-5.54,2,2023-08-03,0.76,0.62,0.61,10.4,1.34,0.7,1.04,1.02,1.01,3.73,22.71,11.14,7.16,4.05,43.47,8.14,5.38,-11.01,4.09,-14.26,8988528,-4.45,-1.57,68.06,9.07,0.17,1.66,18.04,17.16,17.43,18.02,-15979,3598621,14975275,218091,0,0,15,15,0,0,1,3,25.76,48245,969,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9756,-339,-4,0.0,0.0,0.0,0.0,0.0,-25.35,25.92,80.0,TSE,28,全漢,電子零組件,1872619500.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-3, -1]","(3.893, 60.83]","(-92.161, 0.0]","(-6.471, 0.0]","(-3666.001, -43.333]","(-0.001, 0.707]"
3060,2023-10-16,20.25,20.25,19.55,19.95,434.0,19.71,19.4,19.26,19.5492,1257.0,787.0,548.0,676.0,-0.65,-3.16,2023-09-28,2023-06-30,2023-10-06,260113.0,209598.0,24.1,4.46,4.0,1881260.0,2611048.0,-27.95,2,2023-08-09,-0.39,0.95,1.01,0.0,0.98,-1.33,0.59,-2.21,-0.34,-8.87,-337.99,56.7,-3.85,-1.5,51.22,-1.27,-8.34,-148.04,-9.82,-183.15,2448621,-37.72,11.51,62.27,-17.27,0.14,0.53,9.51,-64.57,-64.57,9.51,-60296,596291,2578208,137623,-49,0,-12,-61,-2,0,-2,-2,1.96,2703,2384,17,0.71,0.0,0.97,0.0,0.0,0.0,0.0,0.0,-5935,-227,11,0.0,0.0,0.0,0.0,0.0,68.71,8.69,-183.33,TSE,25,銘異,電腦及週邊,1375631900.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-5, -3]","(3.893, 60.83]","(-92.161, 0.0]","(0.923, 18.74]","(-3666.001, -43.333]","(0.707, 35.48]"
3252,2023-10-16,20.7,20.7,20.35,20.6,79.0,20.42,20.485,20.495,20.5483,130.0,96.0,119.0,251.0,-0.05,-0.24,2023-09-28,2023-06-30,2023-10-11,41165.0,56924.0,-27.68,-11.63,-2.0,415853.0,469290.0,-11.39,2,2023-08-11,0.05,0.63,2.28,4612.01,0.84,0.4,0.75,0.29,0.12,10.02,14.21,12.17,2.72,1.73,39.33,28.94,4.24,12.58,4.22,12.23,1249856,-4.5,0.21,51.16,-3.19,0.03,-5.79,34.47,-22.28,-22.28,34.47,107733,136047,1999789,-10576,-7,0,14,7,-2,0,1,1,17.55,8810,9745,0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0,544,-2,0.0,0.0,0.0,0.0,0.0,0.0,-5.91,100.0,OTC,16,海灣,觀光餐旅,501957540.0,中,OTC,216.19,216.19,214.59,214.59,1484434,215.47,215.09,215.04,214.63,1525811,1561794,1523322,1611569,7.64,-3.69,"(-1, 1]","(-14.577, 3.893]","(-92.161, 0.0]","(-6.471, 0.0]","(340.0, 46608.0]","(-0.001, 0.707]"
3311,2023-10-16,40.05,41.0,39.25,41.0,1040.0,39.6,39.025,40.62,38.2442,1059.0,960.0,992.0,1224.0,-1.6,-3.76,2023-09-28,2023-06-30,2023-10-06,200073.0,179665.0,11.36,8.28,3.0,1540696.0,1548597.0,-0.51,2,2023-08-10,0.55,0.92,1.19,15.2,2.39,1.17,1.81,1.46,1.65,4.07,-37.73,22.07,3.03,8.39,97.64,14.12,10.17,22.96,7.43,19.2,2363000,-7.47,8.75,79.31,0.06,0.16,6.1,16.25,-10.72,-10.72,16.25,79970,506366,2575433,28239,-13,0,-1,-14,-2,0,-2,-2,41.66,28332,3897,4,0.1,-92.16,1.7,0.0,0.0,0.0,0.0,0.0,10,1524,4,0.0,0.0,0.0,0.0,0.0,-0.04,-64.22,10000.0,TSE,27,閎暉,通信網路業,680000000.0,中,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-5, -3]","(-904.381, -14.577]","(-92.161, 0.0]","(0.923, 18.74]","(340.0, 46608.0]","(-0.001, 0.707]"
3489,2023-10-16,12.8,13.05,12.8,12.9,111.0,12.45,12.18,12.065,11.64,151.0,101.0,111.0,68.0,1.0,8.4,2023-09-28,2023-06-30,2023-10-04,47260.0,80872.0,-41.56,-18.87,-2.0,505911.0,695450.0,-27.25,2,2023-08-09,0.24,0.74,1.21,14.89,0.73,0.5,0.53,1.55,1.55,-2.32,-58.38,25.47,-0.45,12.46,421.61,18.62,17.32,1257.65,12.46,6706.27,947682,-29.54,-9.95,31.37,12.5,0.04,19.64,5.47,9.86,9.86,5.47,27040,160637,1287884,82395,-6,0,0,-6,-2,0,0,-2,67.73,56301,740,0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0,-1133,0,0.0,0.0,0.0,0.0,0.0,0.0,60.49,,OTC,14,森寶,建材營造,831306700.0,大,OTC,216.19,216.19,214.59,214.59,1484434,215.47,215.09,215.04,214.63,1525811,1561794,1523322,1611569,7.64,-3.69,"(7, 9]","(3.893, 60.83]","(-92.161, 0.0]","(0.923, 18.74]","(-3666.001, -43.333]","(-0.001, 0.707]"
3516,2023-10-16,18.45,18.5,18.35,18.35,23.0,18.75,18.625,18.375,18.1783,69.0,68.0,43.0,80.0,-0.15,-0.81,2023-09-28,2023-06-30,2023-10-06,84781.0,80203.0,5.71,-7.04,-1.0,714796.0,669487.0,6.77,2,2023-08-11,0.14,0.7,0.91,14.65,1.56,0.51,1.37,0.66,0.67,-1.85,9.19,68.06,-0.82,4.12,184.2,18.14,6.03,-10.0,4.08,9.71,920738,21.13,-3.31,61.46,19.69,0.1,7.88,17.72,4.97,4.97,17.72,43474,232025,1415618,-17159,0,0,0,0,0,0,0,0,10.88,5726,6073,0,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,-6884,-3666,0,0.0,0.0,0.0,0.0,0.0,54.59,37.64,,OTC,26,亞帝歐,光電業,526138250.0,中,OTC,216.19,216.19,214.59,214.59,1484434,215.47,215.09,215.04,214.63,1525811,1561794,1523322,1611569,7.64,-3.69,"(-1, 1]","(3.893, 60.83]","(-92.161, 0.0]","(-6.471, 0.0]","(-3666.001, -43.333]","(-0.001, 0.707]"
