靡ㄩ絏,るら,秨絃基(じ),程蔼基(じ),程基(じ),Μ絃基(じ),Θユ秖(),5らА基(じ),10らА基(じ),20らА基(じ),60らА基(じ),5らА秖,10らА秖,20らА秖,60らА秖
OTC99 OTC 计,2023/12/6,231.34,232.73,231.34,232.11,"2,233,363",232.06,229.78,225.56,218.09,"2,199,623","2,106,747","1,926,168","1,659,087"
Y9999 舦计,2023/12/6,"17,340.82","17,439.85","17,337.47","17,360.72","6,495,028","17,396.48","17,341.36","17,202.16","16,712.47","6,951,790","6,568,920","6,325,112","5,841,856"
OTC99 OTC 计,2023/12/5,232.96,232.96,230.84,231.35,"2,280,216",231.82,229.17,224.94,217.8,"2,193,412","2,089,155","1,906,515","1,646,073"
Y9999 舦计,2023/12/5,"17,401.59","17,401.59","17,252.57","17,328.01","7,011,018","17,398.45","17,336.32","17,171.17","16,699.39","7,054,456","6,535,011","6,280,229","5,818,734"
OTC99 OTC 计,2023/12/4,232.38,234.32,232.38,233.01,"2,226,513",231.33,228.46,224.35,217.54,"2,092,671","2,070,446","1,882,119","1,635,503"
Y9999 舦计,2023/12/4,"17,450.64","17,516.61","17,398.10","17,421.48","7,455,122","17,401.10","17,345.18","17,139.02","16,687.58","6,917,697","6,571,807","6,166,119","5,794,050"
OTC99 OTC 计,2023/12/1,231.81,232.58,231.59,232.11,"2,098,152",229.68,227.51,223.63,217.26,"2,001,007","2,029,240","1,858,376","1,627,158"
Y9999 舦计,2023/12/1,"17,422.35","17,450.13","17,355.89","17,438.35","6,449,439","17,344.29","17,324.08","17,100.41","16,676.19","6,628,020","6,439,482","6,089,060","5,772,593"
OTC99 OTC 计,2023/11/30,231.05,232.39,231.04,231.74,"2,159,872",228.58,226.57,222.78,217,"1,948,744","1,983,193","1,830,085","1,619,525"
Y9999 舦计,2023/11/30,"17,389.20","17,433.85","17,313.30","17,433.85","7,348,343","17,314.10","17,301.14","17,053.88","16,665.41","6,435,638","6,430,868","6,054,501","5,754,932"
OTC99 OTC 计,2023/11/29,229.1,230.88,229.1,230.88,"2,202,306",227.5,225.55,221.92,216.72,"2,013,871","1,921,084","1,801,155","1,610,273"
