公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率
1103 嘉泥,1103,1103,2022/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,16.85,2,-0.62,-15.03,-9.44,-6.47,-2345.16,-2345.16,28.68,-144.86,-171.78,-171.78,33.41,-11.5,-17.53,-15.91,-0.66
1103 嘉泥,1103,1103,2022/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.51,1,-0.12,2.25,1.45,-5.87,249.91,249.91,25.87,53.75,35.79,35.79,46.61,1.09,2.08,-12.52,0.09
1103 嘉泥,1103,1103,2021/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.32,4,0.09,-4.06,-2.63,-2.06,126.97,126.97,-106.54,-90.92,-94.58,-94.58,-112.31,-0.98,3.57,-15.12,-2.87
1103 嘉泥,1103,1103,2021/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.79,3,1.37,3.22,2.09,14.54,171.51,171.51,19.75,50.75,47.94,47.94,51.06,10.12,16.86,-12.36,0.72
1103 嘉泥,1103,1103,2021/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.54,2,-0.25,4.17,2.7,10.75,106,106,-1.62,-149.21,-194.96,-194.22,30.17,9.9,21.96,-11.25,-0.83
1103 嘉泥,1103,1103,2021/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,18.19,1,-0.2,3.67,2.31,9.93,47.54,47.54,14.88,46.13,43.83,44.55,-38.24,9.06,18.35,-11.58,0.25
1104 環泥,1104,1104,2023/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,28.37,2,0.62,5.63,4.37,9.76,22.72,22.72,32.47,33.06,24.29,24.29,19.58,8.2,10.07,-12.64,0.31
1104 環泥,1104,1104,2023/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,24.49,1,0.42,2.52,1.96,19.79,17.92,17.92,12.89,-56.71,-59.69,-59.69,-23.47,4.46,4.86,-12.81,-1.47
1104 環泥,1104,1104,2022/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,20.51,4,0.93,4.23,3.25,15.75,21.96,21.96,13.82,98.4,98.28,98.28,16.91,10.82,11.05,-13.32,1.33
1104 環泥,1104,1104,2022/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,18.94,3,0.63,1.81,1.37,22.7,29.06,29.06,29.56,92.22,111.12,111.12,199.12,11.35,8.63,-12.88,0.84
