公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率
2618 長榮航,2618,2618,2023/6/30,15,空運業,M26D,TEJN18  傳產- 海空運,39,2,1.11,5.59,1.75,45.84,137.86,137.86,214.77,220.42,225.24,225.24,252.73,0.34,10.17,-2.76,1.41
2618 長榮航,2618,2618,2023/3/31,15,空運業,M26D,TEJN18  傳產- 海空運,26.31,1,0.84,5.46,1.65,47.64,42.07,42.07,49.18,39.53,39.07,39.07,39.69,1.74,4.22,-9.78,0.46
2618 長榮航,2618,2618,2022/12/30,15,空運業,M26D,TEJN18  傳產- 海空運,27.58,4,0.13,4.24,1.25,15.27,-60.21,-60.21,-79.26,-90.07,-87.57,-87.57,-87.82,-1.78,3.81,-9.71,-1.92
2618 長榮航,2618,2618,2022/9/30,15,空運業,M26D,TEJN18  傳產- 海空運,27.63,3,0.23,-2.98,-0.87,36.38,-10.13,-10.13,-45.53,0.85,0.01,0.01,-0.61,-1.56,13.89,2.31,0.1
2618 長榮航,2618,2618,2022/6/30,15,空運業,M26D,TEJN18  傳產- 海空運,30.41,2,0.34,-0.52,-0.15,37.94,59.91,59.91,207.84,1462.26,1949.37,1949.37,1843.34,-1.04,18.65,2.35,0.62
2618 長榮航,2618,2618,2022/3/31,15,空運業,M26D,TEJN18  傳產- 海空運,30.98,1,0.64,1.75,0.51,52.91,1201.03,1201.03,338.7,275.78,255.37,255.37,254.85,-1.9,25.16,2.53,1.75
2618 長榮航,2618,2618,2021/12/30,15,空運業,M26D,TEJN18  傳產- 海空運,26.85,4,1.42,8.83,2.36,61.98,338.83,338.83,1107.86,5546.92,2342.04,2342.04,1546.95,-1.29,20.93,2.77,2.13
2618 長榮航,2618,2618,2021/9/30,15,空運業,M26D,TEJN18  傳產- 海空運,18.16,3,0.29,0.53,0.13,40.27,530.59,530.59,275.95,183.69,185.44,185.44,184.64,-2.38,8.43,-8.37,0.99
2618 長榮航,2618,2618,2021/6/30,15,空運業,M26D,TEJN18  傳產- 海空運,19.36,2,0.03,4.06,0.97,25.27,14.93,14.93,334.02,70.67,113.74,113.74,112,-2.58,6.27,-4.48,0.22
2618 長榮航,2618,2618,2021/3/31,15,空運業,M26D,TEJN18  傳產- 海空運,15.08,1,-0.45,-3.08,-0.72,-34.91,-81.24,-81.24,-296.01,-85.66,-100.92,-100.92,-83.7,-3.99,2.25,-4.59,-0.36
2630 亞航,2630,2630,2023/6/30,15,機車船製造,M22B,,59.4,2,-0.18,-1.14,-0.42,25.89,-33.35,-33.35,-215.08,-266.58,-277.05,-277.05,-274.82,13.91,6.7,3.61,-0.78
2630 亞航,2630,2630,2023/3/31,15,機車船製造,M22B,,17.27,1,0.02,0.2,0.08,27.62,79.13,79.13,188.35,123.41,118.65,118.65,116.58,7.01,-1.41,5.1,0.43
2630 亞航,2630,2630,2022/12/30,15,機車船製造,M22B,,15.05,4,0.03,0.07,0.03,3.47,9.04,9.04,8.33,-56.13,-72.64,-72.64,-72.73,3.6,-1.01,3.95,-0.13
2630 亞航,2630,2630,2022/9/30,15,機車船製造,M22B,,15.19,3,0.04,0.72,0.28,18.69,21.04,21.04,698.98,468.65,2027.81,2027.81,13713.33,6.46,0.18,8.83,0.22
2630 亞航,2630,2630,2022/6/30,15,機車船製造,M22B,,14.17,2,0.11,1.14,0.45,0,32.34,32.34,365.36,-55.26,-54.19,-54.19,-52.55,2.07,-0.39,3.32,-0.37
2630 亞航,2630,2630,2022/3/31,15,機車船製造,M22B,,15.43,1,-0.09,-0.55,-0.22,-3.29,-23.71,-23.71,-309.14,-148.1,-157.89,-157.89,-157.41,0.8,15.53,-1.57,-0.76
2630 亞航,2630,2630,2021/12/30,15,機車船製造,M22B,,15.51,4,0.12,0.9,0.37,18.26,1682.19,1682.19,144.2,374.08,82.35,82.35,99.21,8.1,18.81,-4.03,0.16
2630 亞航,2630,2630,2021/9/30,15,機車船製造,M22B,,14.28,3,0,-0.02,-0.01,-13.01,-13.6,-13.6,-123.72,-107.29,-101.2,-101.2,-99.83,-1.19,18.19,-7.29,-0.61
2630 亞航,2630,2630,2021/6/30,15,機車船製造,M22B,,18.07,2,0.27,2.03,0.77,-9.91,-30.07,-30.07,-167.36,8.51,28.81,28.81,34.44,-0.22,20.1,-8.14,0.16
2630 亞航,2630,2630,2021/3/31,15,機車船製造,M22B,,13.85,1,0.18,1.47,0.53,10.88,-2.44,-2.44,83.67,208.49,210.9,210.9,217.35,-0.19,4.34,-7.06,1.02
2633 台灣高鐵,2633,2633,2023/6/30,15,陸運業,M26B,,31.46,2,0.29,2.38,0.41,84.66,1509.8,1509.8,14914.61,1093.67,485.74,485.74,400.99,-0.98,4.55,3.06,0.37
2633 台灣高鐵,2633,2633,2023/3/31,15,陸運業,M26B,,29.6,1,0.38,3.11,0.53,35.13,103.66,103.66,113.51,275.61,281.1,281.1,246.7,-5.82,1.58,11.24,0.44
2633 台灣高鐵,2633,2633,2022/12/30,15,陸運業,M26B,,28.13,4,0.29,2.46,0.41,21.21,59.63,59.63,63.14,82.02,79.53,79.53,79.88,-6.4,-0.72,17.73,0.2
2633 台灣高鐵,2633,2633,2022/9/30,15,陸運業,M26B,,27.89,3,0.23,2.01,0.33,112.23,278.04,278.04,237.79,38.22,56.05,56.05,55.07,-9.75,-1.83,38.24,0.12
2633 台灣高鐵,2633,2633,2022/6/30,15,陸運業,M26B,,26.7,2,0.05,0.42,0.07,9.24,193.71,193.71,104.86,-83.39,-43.67,-43.67,-30.17,-6.11,-2.57,27.44,-0.06
2633 台灣高鐵,2633,2633,2022/3/31,15,陸運業,M26B,,27.47,1,0.1,0.82,0.13,-8.89,-20.77,-20.77,-23.16,-39.67,-59.39,-59.39,-54.54,-0.21,-4.37,4.01,-0.23
2633 台灣高鐵,2633,2633,2021/12/30,15,陸運業,M26B,,28.18,4,0.16,1.33,0.21,-16.14,-33.73,-33.73,-35.19,-54.04,-64.73,-64.73,-64.51,0.08,-3.29,-0.52,-0.37
2633 台灣高鐵,2633,2633,2021/9/30,15,陸運業,M26B,,28.18,3,0.15,1.26,0.19,-55.79,-147.16,-147.16,-159.61,-38.87,-50.95,-50.95,-48.4,4.03,-0.98,-3.92,-0.2
2633 台灣高鐵,2633,2633,2021/6/30,15,陸運業,M26B,,27.47,2,0.09,0.72,0.12,-19.77,-128.19,-128.19,-169.69,248.19,12.74,12.74,11.7,-1.88,0.32,-11.04,0.02
2633 台灣高鐵,2633,2633,2021/3/31,15,陸運業,M26B,,28.89,1,0.24,1.94,0.32,2.78,5.21,5.21,5.18,7.04,21.65,21.65,19.99,-1.34,-1.03,-12.15,0.02
2634 漢翔,2634,2634,2023/6/30,15,機車船製造,M22B,,58.89,2,0.8,4.97,1.76,29.64,37.57,37.57,59.38,30.72,25.78,25.78,25.39,16.03,8.51,-2.06,0.41
2634 漢翔,2634,2634,2023/3/31,15,機車船製造,M22B,,40.88,1,0.58,3.34,1.23,72.33,138.15,138.15,541.63,182.08,168,168,167.97,12.62,12.35,-6.12,0.83
2634 漢翔,2634,2634,2022/12/30,15,機車船製造,M22B,,35.09,4,0.27,1.97,0.73,20.79,12.87,12.87,18.74,62.4,36.21,36.21,-24.98,4.81,10.53,-6.21,0.12
2634 漢翔,2634,2634,2022/9/30,15,機車船製造,M22B,,33.17,3,0.61,4.12,1.53,43.24,26.37,26.37,52.73,178.79,146.85,146.85,143.81,-3.15,9.95,-5.35,0.86
2634 漢翔,2634,2634,2022/6/30,15,機車船製造,M22B,,31.43,2,0.64,4.4,1.61,23.36,129.02,129.02,719.26,72.17,47.89,47.89,48.34,-5.64,5.83,-5.11,0.5
2634 漢翔,2634,2634,2022/3/31,15,機車船製造,M22B,,28.51,1,0.22,1.73,0.62,23.83,4726.34,4726.34,142.2,218.9,176.57,176.57,176.58,-5.17,6.32,-0.19,1.15
2634 漢翔,2634,2634,2021/12/30,15,機車船製造,M22B,,28.51,4,0.2,1.45,0.49,22.65,135.3,135.3,1713.76,116.07,68.22,68.22,250.23,-7.44,2.58,1.24,0.26
2634 漢翔,2634,2634,2021/9/30,15,機車船製造,M22B,,27.78,3,0.25,1.63,0.54,17.16,97.53,97.53,561.44,548.57,2151.17,2151.17,646.97,-4.75,2.15,5.82,0.46
2634 漢翔,2634,2634,2021/6/30,15,機車船製造,M22B,,28.12,2,0.43,2.66,0.87,32.01,-22.14,-22.14,-59.28,61.62,66.59,66.59,66.6,-9.23,1.41,11.83,0.38
2634 漢翔,2634,2634,2021/3/31,15,機車船製造,M22B,,27.83,1,-0.28,-1.85,-0.6,-17.06,-103.04,-103.04,-3342.42,-344.95,-597.78,-597.78,-597.63,-11.16,-7.2,8.29,-0.76
2636 台驊投控,2636,2636,2023/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,70.9,2,3.79,2.87,1.45,-57.33,-54.2,-54.2,-60.68,-52.22,-51.36,-51.36,-50.73,-4.32,-9.87,,-3.15
2636 台驊投控,2636,2636,2023/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,73.08,1,1.81,2.87,1.44,-66.81,-65.7,-65.7,-76.56,-72.19,-72.03,-72.03,-77.41,-2.4,-25.49,,-3.73
2636 台驊投控,2636,2636,2022/12/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,66.2,4,0.82,1.01,0.55,-62.03,-66.34,-66.34,-86.74,-86.85,-87.82,-87.82,-86.31,6.61,-11.8,47.39,-5.49
2636 台驊投控,2636,2636,2022/9/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,55.23,3,3.04,1.97,1.1,-47.62,-64.36,-64.36,-72.66,-51.76,-43.52,-43.52,-61.23,14.43,11.82,,-1.86
2636 台驊投控,2636,2636,2022/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,75.09,2,7.65,1.18,0.71,1.67,-15,-15,-21.14,-28.5,-34.9,-34.9,63.33,35.23,24.86,67.05,-3.33
2636 台驊投控,2636,2636,2022/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,96.28,1,6.45,11.93,7.54,72.16,113.54,113.54,170.9,159.54,137.22,137.22,148.95,107.24,185.15,,3.28
2636 台驊投控,2636,2636,2021/12/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,107.28,4,8.26,13.82,8.3,128.31,236.27,236.27,535.2,485.98,445.12,445.12,544.64,115.24,209.21,17.32,5.98
2636 台驊投控,2636,2636,2021/9/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,113.18,3,5.88,0.96,0.56,186.76,319.5,319.5,635.48,479.52,368.1,368.1,627.31,126.68,229.06,,4.81
2636 台驊投控,2636,2636,2021/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,197.79,2,13.32,59.32,32.24,103.84,173.59,173.59,304.4,764,884.34,884.34,319.7,113,217.02,,17.71
2636 台驊投控,2636,2636,2021/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,41.91,1,3.16,14.13,6.37,132.31,154.1,154.1,993.27,1347.94,1739.05,1739.05,942.53,43.72,60.72,,4.8
2637 慧洋-KY,2637,2637,2023/6/30,15,海運,M26A,TEJN18  傳產- 海空運,48.8,,,,,,,,,,,,,,,,
2637 慧洋-KY,2637,2637,2023/3/31,15,海運,M26A,TEJN18  傳產- 海空運,57.28,1,-0.18,-0.88,-0.44,-37.64,-86.12,-86.12,-87.47,-104.75,-104.99,-104.99,-105.04,3.88,17.51,4.65,-2.65
2637 慧洋-KY,2637,2637,2022/12/30,15,海運,M26A,TEJN18  傳產- 海空運,54.78,4,1.45,-4.46,-2.23,-15.13,-46.9,-46.9,-47.83,-65.19,-65.31,-65.31,-70.64,13.21,34.46,9.99,-1.72
2637 慧洋-KY,2637,2637,2022/9/30,15,海運,M26A,TEJN18  傳產- 海空運,46.13,3,3.42,13.54,6.57,24.17,17.1,17.1,16.42,-4.65,-4.67,-4.67,-4.25,18.09,55.45,13.44,0.08
2637 慧洋-KY,2637,2637,2022/6/30,15,海運,M26A,TEJN18  傳產- 海空運,57.99,2,5.71,17.84,8.21,74.34,147.11,147.11,149.31,172.15,172.43,172.43,32.36,10.79,49.27,5.91,3.14
2637 慧洋-KY,2637,2637,2022/3/31,15,海運,M26A,TEJN18  傳產- 海空運,73.03,1,3.59,12.58,5.5,62.63,174.87,174.87,180.77,199.35,200.9,200.9,199.88,4.11,36.73,-4.47,2.1
2637 慧洋-KY,2637,2637,2021/12/30,15,海運,M26A,TEJN18  傳產- 海空運,68.97,4,4.17,10.03,4.02,88.06,378.99,378.99,398.51,626.64,631.86,631.86,762.76,0.83,32.17,-5.56,3.16
2637 慧洋-KY,2637,2637,2021/9/30,15,海運,M26A,TEJN18  傳產- 海空運,68.38,3,3.58,9.5,3.46,62.68,332.45,332.45,359.53,2098.23,2178.9,2178.9,2291.49,-1.92,15.92,-6.06,2.99
2637 慧洋-KY,2637,2637,2021/6/30,15,海運,M26A,TEJN18  傳產- 海空運,91.81,2,2.1,3.01,1.04,59.53,1022.74,1022.74,1339.77,620.89,612.46,612.46,1197.12,-4.94,2.15,-6.98,2.05
2637 慧洋-KY,2637,2637,2021/3/31,15,海運,M26A,TEJN18  傳產- 海空運,29.74,1,1.19,9.2,3.06,26.75,288.41,288.41,337.54,829.52,803.14,803.14,602.58,-4.13,-1.11,-2.78,1.08
2640 大車隊,2640,2640,2023/6/30,36,陸運業,M26B,,114.5,2,1.61,5.28,2.78,20.69,23.59,23.59,32.62,23.74,22.23,22.23,28.98,10.04,3.76,,0.58
2640 大車隊,2640,2640,2023/3/31,36,陸運業,M26B,,110.27,1,1.88,6.04,3.36,7.7,7.41,7.41,6.77,7.34,6.6,6.6,4.44,8.18,2.47,12.6,0.33
2640 大車隊,2640,2640,2022/12/30,36,陸運業,M26B,,85.72,4,1.37,3.67,2.19,12.49,21.3,21.3,23.18,-11.47,-24.62,-24.62,20.12,5.08,6.99,9.4,-0.53
2640 大車隊,2640,2640,2022/9/30,36,陸運業,M26B,,78.53,3,1.51,4.86,2.83,36.82,53.62,53.62,144.73,138.98,166.09,166.09,164.68,3.64,8.9,0.36,1.91
2640 大車隊,2640,2640,2022/6/30,36,陸運業,M26B,,71.33,2,1.33,4.45,2.48,19.76,25.4,25.4,79.66,101.48,145.88,145.88,144.33,10.62,18.9,4.68,0.92
2640 大車隊,2640,2640,2022/3/31,36,陸運業,M26B,,76.47,1,1.78,5.94,3.36,18.9,14.28,14.28,23.05,31.07,21.22,21.22,20.94,13.07,16.16,64.18,0.97
2640 大車隊,2640,2640,2021/12/30,36,陸運業,M26B,,76.38,4,1.63,5.26,3.03,17.56,11.34,11.34,15.47,13.66,8.81,8.81,9.68,17.79,12.8,59.63,0.6
2640 大車隊,2640,2640,2021/9/30,36,陸運業,M26B,,66.02,3,0.56,2.07,1.14,-8.53,-24.73,-24.73,-60.37,-60.98,-65.9,-65.9,-66.36,17.14,12.81,98.18,-1.98
2640 大車隊,2640,2640,2021/6/30,36,陸運業,M26B,,67.35,2,0.54,2.13,1.13,2.2,-8.93,-8.93,-48.92,-42.5,-51.31,-51.31,-59.19,11.1,5.17,94.25,-0.24
2640 大車隊,2640,2640,2021/3/31,36,陸運業,M26B,,67.93,1,1.48,5.61,3.2,7.4,9.44,9.44,18.74,32.26,53.17,53.17,25.81,8.18,7.86,19.67,1
2641 正德,2641,2641,2023/6/30,15,海運,M26A,TEJN18  傳產- 海空運,17.5,2,0.13,3.25,2.12,-16.37,-33.39,-33.39,-36.05,-52.13,-84.93,-84.93,-80.64,21.54,50.73,14.58,-2.32
2641 正德,2641,2641,2023/3/31,15,海運,M26A,TEJN18  傳產- 海空運,19.33,1,0.32,0.49,0.32,-30.82,-41.22,-41.22,-45.98,-62.32,-69.9,-69.9,-54.99,28.25,54.52,-14.96,-2.39
2641 正德,2641,2641,2022/12/30,15,海運,M26A,TEJN18  傳產- 海空運,17.2,4,2.31,5.51,3.56,-15.85,4.42,4.42,-7.93,203.69,199.75,199.75,6.85,40.11,85.46,-37.84,3.79
2641 正德,2641,2641,2022/9/30,15,海運,M26A,TEJN18  傳產- 海空運,14.4,3,1.66,15.34,8.99,4.27,14.26,14.26,10.61,189.84,189.84,189.84,18.48,52.67,84.05,-31.61,3.44
2641 正德,2641,2641,2022/6/30,15,海運,M26A,TEJN18  傳產- 海空運,18.02,2,1.13,10.36,5.53,35.82,124.1,124.1,145.64,199.28,191.22,191.22,127.2,40.75,112.8,-9.73,2.24
2641 正德,2641,2641,2022/3/31,15,海運,M26A,TEJN18  傳產- 海空運,21.42,1,1.35,11.99,6.19,91.47,352.45,352.45,583.02,848.28,839.64,839.64,522.44,31.73,103.28,-8.47,3.81
2641 正德,2641,2641,2021/12/30,15,海運,M26A,TEJN18  傳產- 海空運,22.7,4,0.94,4.93,2.52,115.86,503.43,503.43,592.21,632.08,674.9,674.9,683.81,23.84,83.95,-4.23,2.51
2641 正德,2641,2641,2021/9/30,15,海運,M26A,TEJN18  傳產- 海空運,27.67,3,0.66,5.31,2.35,91.95,173.89,173.89,245.94,312.49,312.49,312.49,314.41,23.12,72.27,-2.94,1.98
2641 正德,2641,2641,2021/6/30,15,海運,M26A,TEJN18  傳產- 海空運,30.24,2,0.48,1.27,0.45,53.02,63.3,63.3,72.69,249.01,249.01,249.01,129.84,-0.75,1.02,0.36,1.17
2641 正德,2641,2641,2021/3/31,15,海運,M26A,TEJN18  傳產- 海空運,11.34,1,0.18,2.01,0.68,1.1,-17.55,-17.55,-37.13,6.17,6.17,6.17,4.05,7.44,-2.52,6.82,0.04
2642 宅配通,2642,2642,2023/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,43.9,2,0.46,-1.41,-0.75,-8.99,-25.6,-25.6,-58.83,-40.82,-38.23,-38.23,-38.68,-1.14,8.6,,-0.56
2642 宅配通,2642,2642,2023/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,45.8,1,0.02,12.54,6.4,-8.56,-27.92,-27.92,-84.94,-95.06,-95.72,-95.72,-95.13,2.12,4.61,3.41,-0.67
2642 宅配通,2642,2642,2022/12/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,48.46,4,0.38,5.58,2.65,-1.42,-6.44,-6.44,-15.78,-15.03,-15.18,-15.18,-13.83,-8.77,-20.09,5.33,0.06
2642 宅配通,2642,2642,2022/9/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,43.43,3,0.35,-2.51,-1.18,-0.16,-10.04,-10.04,-31.24,-39.62,-41.85,-41.85,-41.32,-9.59,-23.28,17.53,-0.26
2642 宅配通,2642,2642,2022/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,50.3,2,0.74,-2.23,-1.12,0.67,-10.88,-10.88,-24.43,-14.17,-11.03,-11.03,-10.74,-2.83,-22.12,5.66,0.08
2642 宅配通,2642,2642,2022/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,73.85,1,0.38,-14.35,-7.72,5.14,-14.38,-14.38,-39.2,-40.97,-40.86,-40.86,-41.08,13.4,6.33,6.83,-0.33
2642 宅配通,2642,2642,2021/12/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,67.39,4,0.45,1.51,0.83,11.76,0.76,0.76,-13.09,-17.22,-18.87,-18.87,-18.35,30.47,38.63,4.55,-0.1
2642 宅配通,2642,2642,2021/9/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,71.42,3,0.59,5.3,3.03,13,7.72,7.72,27.64,21.26,22.73,22.73,21.33,29.7,36.8,-6.97,0.31
2642 宅配通,2642,2642,2021/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,127.37,2,0.83,19.94,11.52,15.27,22.67,22.67,42.48,42.87,44.43,44.43,45.96,26.37,42.51,8.34,0.58
2642 宅配通,2642,2642,2021/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,31.89,1,0.64,12.14,6.55,8.38,8.36,8.36,10.86,13.23,12.19,12.19,12.67,12.26,24.02,10.48,0.22
2643 捷迅,2643,2643,2023/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,70.3,2,1.04,2.63,1.64,-49.82,-60,-60,-70.64,-69.56,-79.86,-79.86,-79.85,3.6,13.31,,-5.21
2643 捷迅,2643,2643,2023/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,68.74,1,2.04,3.3,2.12,-36.56,-16.86,-16.86,-19.07,-28.17,-30.65,-30.65,-30.22,18.04,29.55,5.75,-1.34
2643 捷迅,2643,2643,2022/12/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,61.99,4,2.62,3.52,2.05,-18.84,13.39,13.39,-0.44,-9.3,-22,-22,-21.71,34.12,38.28,19.61,-1.06
2643 捷迅,2643,2643,2022/9/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,61.53,3,5.95,17,9.19,23.49,109.56,109.56,85.72,120.98,118.57,118.57,118.33,54.1,46.79,25.95,3.79
2643 捷迅,2643,2643,2022/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,56.61,2,5.17,14.14,8.03,34.57,93.96,93.96,142.21,156.42,154.6,154.6,168.77,35.78,34.62,5.84,4.78
2643 捷迅,2643,2643,2022/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,61.46,1,2.94,9.8,5.93,20.23,52.99,52.99,89.52,89.45,83.5,83.5,82.38,20.86,22.1,3.26,2.17
2643 捷迅,2643,2643,2021/12/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,65.89,4,3.36,9.49,5.57,46.65,51.34,51.34,100.9,68.7,62.88,62.88,62.07,17.38,16.27,-9.12,2.36
2643 捷迅,2643,2643,2021/9/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,64.1,3,2.72,8.38,4.66,53.54,41.04,41.04,65.39,37.26,32.09,32.09,31.88,12.82,12.11,-6.4,1.21
2643 捷迅,2643,2643,2021/6/30,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,93.59,2,2.03,4.69,2.67,13.18,17.28,17.28,20.05,7.39,7.02,7.02,1.33,9.84,9.55,-1.39,0.2
2643 捷迅,2643,2643,2021/3/31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,57.86,1,1.6,4.92,2.98,35.69,16.29,16.29,34.71,44.32,46.4,46.4,46.4,6.74,16.4,-3.12,0.9
2645 長榮航太,2645,2645,2023/6/30,15,機車船製造,M22B,,108.07,2,1.69,5.57,2.74,23.03,34.13,34.13,29.89,23.91,23.91,23.91,23.28,5.66,22.86,-8.45,0.4
2645 長榮航太,2645,2645,2023/3/31,15,機車船製造,M22B,,94.37,1,0.84,2.61,1.29,21.05,35.06,35.06,36.4,-0.78,-0.78,-0.78,-2.93,3.35,14.22,-8.9,-0.04
2645 長榮航太,2645,2645,2022/12/30,15,機車船製造,M22B,,,4,0.41,3.54,1.71,28.05,-26.41,-26.41,-29.33,-32.34,-34.48,-34.48,-43.27,-3.01,12.16,-8.96,-0.37
2645 長榮航太,2645,2645,2022/9/30,15,機車船製造,M22B,,,3,1.76,6.31,2.82,21.97,57.07,57.07,72,181.4,181.4,181.4,177.18,-4.34,10.53,-9.35,1.75
2645 長榮航太,2645,2645,2022/6/30,15,機車船製造,M22B,,,2,1.45,5.35,2.33,,,,,,,,,-1.08,6.15,-9.1,
2645 長榮航太,2645,2645,2022/3/31,15,機車船製造,M22B,,,1,0.86,3.35,1.46,,,,,,,,,,,,
2645 長榮航太,2645,2645,2021/12/30,15,機車船製造,M22B,,,4,0.63,2.08,0.87,,,,,,,,,-5.82,-2.24,-14.86,
2645 長榮航太,2645,2645,2021/9/30,15,機車船製造,M22B,,,3,0.63,2.2,0.9,,,,,,,,,,,,
2645 長榮航太,2645,2645,2021/6/30,15,機車船製造,M22B,,,2,1.24,4.38,1.79,-22.72,-34.14,-34.14,-38.11,-48.45,-48.46,-48.46,-49.13,-21.2,-26.53,-10.49,-1.86
2701 萬企,2701,2701,2023/6/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,14.1,2,0.12,7.06,6.09,33.24,52.87,52.87,61.58,-29.96,-37.62,-37.62,-37.94,9.71,10.5,,-0.36
2701 萬企,2701,2701,2023/3/31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,12.55,1,0.05,1.03,0.89,27.31,36.68,36.68,48.2,28.41,28.69,28.69,27.4,4.55,5.16,,0.06
2701 萬企,2701,2701,2022/12/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,12.2,4,0.03,-0.39,-0.34,-9.42,0.33,0.33,0.46,-16.59,-29.57,-29.57,-30.68,4.48,5,-31.82,-0.07
2701 萬企,2701,2701,2022/9/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,12,3,0.2,3.64,3.12,16.62,2.57,2.57,4.42,134.87,150.8,150.8,150.71,5.46,6.44,,0.61
2701 萬企,2701,2701,2022/6/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,11.74,2,0.2,1.71,1.47,-7.05,-16.34,-16.34,-20.18,231.92,214.19,214.19,214.47,1.14,0.27,,0.68
2701 萬企,2701,2701,2022/3/31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,12.03,1,0.04,0.88,0.76,-15.93,-15.3,-15.3,-21.09,1860.27,1852.97,1852.97,1983.3,0.72,1.04,,0.19
2701 萬企,2701,2701,2021/12/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,12.03,4,0.04,0.97,0.83,-16.68,-16.36,-16.36,-19.69,-71.74,-66.5,-66.5,-66.55,-0.12,0.15,-32.27,-0.43
2701 萬企,2701,2701,2021/9/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,11.74,3,0.08,-0.83,-0.71,-30.55,-19.49,-19.49,-23.45,-2.76,-23.89,-23.89,-23.83,0.68,1.78,,-0.13
2701 萬企,2701,2701,2021/6/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,12.16,2,0.06,1.5,1.29,30.73,17.09,17.09,22.18,-19.25,6.61,6.61,6.88,-0.36,2.2,,0.02
2701 萬企,2701,2701,2021/3/31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,11.68,1,0,0,0,-6.51,-21.13,-21.13,-23.53,-97.86,-97.85,-97.85,-97.99,1.18,1.59,,-0.49
2702 華園,2702,2702,2023/6/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,27.15,2,0.22,2.2,0.81,1.81,1.06,1.06,-20.97,-85.11,-40.93,-40.93,-44.43,-0.06,13.62,-11.12,0.14
2702 華園,2702,2702,2023/3/31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,23.4,1,-0.26,-1.67,-0.62,36.55,47.23,47.23,86.21,-490.6,-977.21,-977.21,-1170.93,1.34,15.43,-9.5,-0.1
2702 華園,2702,2702,2022/12/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,22.65,4,1.81,7.6,2.65,43.92,41.11,41.11,71.84,813.84,-86.23,703.02,83.95,0.48,15.67,-5.37,4.01
2702 華園,2702,2702,2022/9/30,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,23.65,3,0.49,5.58,1.83,64.4,69.28,69.28,1281.19,562.15,299.14,566.97,736.8,11.14,265.5,34.04,1.54
