m_date,company_id,revenue_release_date,revenue_m,revenue_m_lastyear, revenue_vs_lastyear_ratio, revenue_mom_ratio, revenue_growth_month,cumulative_revenue,cumulative_revenue_lastyear, cumulative_revenue_vs_lastyear_ratio
2023/7/31,1210,2023/8/10,8904562,9161168,-2.8,-0.02,-2,63631564,62496115,1.82
2023/6/30,1210,2023/7/10,8906040,9471082,-5.97,-9.26,-1,54727001,53334947,2.61
2023/5/31,1210,2023/6/12,9815309,8649541,13.48,9.79,1,45820961,43863866,4.46
2023/4/28,1210,2023/5/10,8940319,9182352,-2.64,-7.2,-1,36005652,35214325,2.25
2023/3/31,1210,2023/4/12,9633956,8558697,12.56,16.91,1,27065333,26031973,3.97
2023/2/24,1210,2023/3/10,8240329,7516358,9.63,-10.34,-2,17431377,17473275,-0.24
2023/1/31,1210,2023/2/10,9191048,9956918,-7.69,-10.31,-1,9191048,9956918,-7.69
2022/10/31,1210,2022/11/9,10031178,8186264,22.54,3.39,1,92807833,83517527,11.12
2022/9/30,1210,2022/10/7,9702507,9493296,2.2,-8.28,-1,82776655,75331263,9.88
2022/8/31,1210,2022/9/12,10578033,7913624,33.67,15.47,1,73074148,65837966,10.99
2022/7/29,1210,2022/8/9,9161168,9150386,0.12,-3.27,-1,62496115,57924342,7.89
2022/6/30,1210,2022/7/8,9471082,9082135,4.28,9.5,1,53334947,48773956,9.35
2022/5/31,1210,2022/6/10,8649541,8266299,4.64,-5.8,-1,43863866,39691821,10.51
2022/4/29,1210,2022/5/10,9182352,9053195,1.43,7.29,2,35214325,31425523,12.06
2022/3/31,1210,2022/4/11,8558697,8072006,6.03,13.87,1,26031973,22372328,16.36
2022/2/25,1210,2022/3/9,7516358,5817609,29.2,-24.51,-1,17473275,14300322,22.19
2022/1/26,1210,2022/2/14,9956918,8480630,17.41,7.94,3,9956918,8480630,17.41
2023/9/28,1213,2023/10/5,636,31847,-98,163.73,1,116486,298052,-60.92
2023/8/31,1213,2023/9/8,-998,38696,-102.58,-236.03,-1,115850,266205,-56.48
2023/7/31,1213,2023/8/9,-297,29503,-101.01,89.83,1,116848,223225,-47.65
2023/6/30,1213,2023/7/10,-2921,40233,-107.26,-122.19,-6,117145,193722,-39.53
2023/5/31,1213,2023/6/8,13163,26236,-49.83,-20.95,-5,120066,155701,-22.89
2023/4/28,1213,2023/5/9,16652,26326,-36.75,-40.58,-4,106903,127254,-15.99
2023/3/31,1213,2023/4/10,28023,30575,-8.35,-8.85,-3,90251,100928,-10.58
2023/2/24,1213,2023/3/9,30743,24520,25.38,-2.36,-2,62228,70353,-11.55
2023/1/31,1213,2023/2/9,31485,45833,-31.3,-7.93,-1,31485,45833,-31.3
2023/9/28,1215,2023/10/6,2437231,2418414,0.78,-2.85,-1,21950444,21251007,3.29
2023/8/31,1215,2023/9/8,2508812,2393814,4.8,6.29,1,19513213,18832593,3.61
2023/7/31,1215,2023/8/10,2360314,2400161,-1.66,-2.53,-2,17004401,16438779,3.44
2023/6/30,1215,2023/7/10,2421623,2335487,3.69,-3.9,-1,14644087,14038618,4.31
2023/5/31,1215,2023/6/9,2519816,2311671,9,1.99,1,12222464,11703131,4.44
2023/4/28,1215,2023/5/10,2470578,2192046,12.71,-4.94,-1,9702648,9391460,3.31
2023/3/31,1215,2023/4/10,2599015,2477639,4.9,14.82,1,7232070,7199414,0.45
2023/2/24,1215,2023/3/10,2263472,2048952,10.47,-4.48,-2,4633055,4721775,-1.88
2023/1/31,1215,2023/2/10,2369583,2672823,-11.35,-13.77,-1,2369583,2672823,-11.35
2022/10/31,1215,2022/11/10,2364883,2086329,13.35,-2.21,-1,23615890,20148014,17.21
2022/9/30,1215,2022/10/7,2418414,2048288,18.07,1.03,1,21251007,18061685,17.66
2022/8/31,1215,2022/9/8,2393814,2037783,17.47,-0.26,-1,18832593,16013397,17.61
2022/7/29,1215,2022/8/10,2400161,2147399,11.77,2.77,3,16438779,13975614,17.62
2022/6/30,1215,2022/7/8,2335487,2024955,15.34,1.03,2,14038618,11828215,18.69
2022/5/31,1215,2022/6/10,2311671,2086575,10.79,5.46,1,11703131,9803260,19.38
2022/4/29,1215,2022/5/10,2192046,1997700,9.73,-11.53,-1,9391460,7716685,21.7
2022/3/31,1215,2022/4/8,2477639,2030023,22.05,20.92,1,7199414,5718985,25.89
2022/2/25,1215,2022/3/10,2048952,1651502,24.07,-23.34,-1,4721775,3688962,28
2022/1/26,1215,2022/2/14,2672823,2037460,31.18,9.62,5,2672823,2037460,31.18
2023/9/28,1216,2023/10/11,53366181,45815778,16.48,-7.26,-1,433851392,396500151,9.42
2023/8/31,1216,2023/9/11,57541764,48654713,18.27,6.28,4,380485211,350684373,8.5
2023/7/31,1216,2023/8/10,54142903,47295432,14.48,15.26,3,322943447,302029660,6.92
2023/6/30,1216,2023/7/10,46976325,44266245,6.12,1.35,2,268800544,254734228,5.52
2023/5/31,1216,2023/6/12,46350796,43215655,7.25,5.18,1,221824219,210467983,5.4
2023/4/28,1216,2023/5/10,44069723,42977511,2.54,-1.68,-1,175473423,167252328,4.92
2023/3/31,1216,2023/4/12,44823352,42112136,6.44,10.23,1,131403700,124274817,5.74
2023/2/24,1216,2023/3/10,40664831,34113196,19.21,-11.44,-1,86580348,82162681,5.38
2023/1/31,1216,2023/2/10,45915517,48049485,-4.44,3.03,2,45915517,48049485,-4.44
2023/9/28,1217,2023/10/11,485332,465279,4.31,-26.22,-1,3956145,3843862,2.92
2023/8/31,1217,2023/9/11,657803,634623,3.65,36.42,4,3470812,3378583,2.73
2023/7/31,1217,2023/8/10,482203,512688,-5.95,14.83,3,2813009,2743960,2.52
2023/6/30,1217,2023/7/10,419946,403129,4.17,5.82,2,2330806,2231272,4.46
2023/5/31,1217,2023/6/12,396832,384976,3.08,15.77,1,1910860,1828143,4.52
2023/4/28,1217,2023/5/10,342778,301579,13.66,-17.33,-1,1514028,1443167,4.91
2023/3/31,1217,2023/4/12,414639,385888,7.45,34.33,1,1171250,1141588,2.6
2023/2/24,1217,2023/3/10,308663,312887,-1.35,-31.09,-1,756611,755700,0.12
2023/1/31,1217,2023/2/10,447948,442813,1.16,33.32,2,447948,442813,1.16
2023/9/28,1218,2023/10/6,1070356,1063747,0.62,-7.51,-1,8585966,8483878,1.2
2023/8/31,1218,2023/9/8,1157243,1054476,9.75,8.16,4,7515610,7420131,1.29
2023/7/31,1218,2023/8/10,1069944,1023417,4.55,12.75,3,6358367,6365655,-0.11
2023/6/30,1218,2023/7/10,948940,877120,8.19,8.88,2,5288423,5342238,-1.01
2023/5/31,1218,2023/6/7,871543,902029,-3.38,6.24,1,4339483,4465118,-2.81
2023/4/28,1218,2023/5/10,820342,912408,-10.09,-2.23,-1,3467940,3563089,-2.67
2023/3/31,1218,2023/4/12,839075,927607,-9.54,0.51,1,2647598,2650681,-0.12
2023/2/24,1218,2023/3/10,834856,744482,12.14,-14.26,-1,1808523,1723074,4.96
2023/1/31,1218,2023/2/10,973667,978592,-0.5,11.5,1,973667,978592,-0.5
2022/10/31,1218,2022/11/10,845561,829908,1.89,-20.51,-1,9329439,8284002,12.62
2022/9/30,1218,2022/10/7,1063747,888282,19.75,0.88,3,8483878,7454094,13.82
2022/8/31,1218,2022/9/8,1054476,960802,9.75,3.03,2,7420131,6565812,13.01
2022/7/29,1218,2022/8/10,1023417,895483,14.29,16.68,1,6365655,5605010,13.57
2022/6/30,1218,2022/7/8,877120,794155,10.45,-2.76,-3,5342238,4709527,13.43
2022/5/31,1218,2022/6/10,902029,830360,8.63,-1.14,-2,4465118,3915372,14.04
2022/4/29,1218,2022/5/10,912408,810520,12.57,-1.64,-1,3563089,3085012,15.5
2022/3/31,1218,2022/4/8,927607,799575,16.01,24.6,1,2650681,2274492,16.54
2022/2/25,1218,2022/3/10,744482,629161,18.33,-23.92,-1,1723074,1474917,16.83
2022/1/26,1218,2022/2/10,978592,845756,15.71,19.85,1,978592,845756,15.71
2023/9/28,1219,2023/10/6,1310734,1486102,-11.8,-4.05,-2,12399958,12651568,-1.99
2023/8/31,1219,2023/9/8,1366116,1352250,1.03,-2.68,-1,11089223,11165467,-0.68
2023/7/31,1219,2023/8/10,1403695,1321525,6.22,5.51,1,9723108,9813216,-0.92
2023/6/30,1219,2023/7/10,1330443,1345756,-1.14,-7.76,-1,8319412,8491692,-2.03
2023/5/31,1219,2023/6/9,1442360,1451392,-0.62,11.2,1,6988970,7145936,-2.2
2023/4/28,1219,2023/5/9,1297059,1479641,-12.34,-19.99,-1,5546610,5694544,-2.6
2023/3/31,1219,2023/4/10,1621081,1651054,-1.82,25.29,1,4249551,4214902,0.82
2023/2/24,1219,2023/3/10,1293812,1130681,14.43,-3.06,-2,2628470,2563848,2.52
2023/1/31,1219,2023/2/10,1334658,1433167,-6.87,-10.74,-1,1334658,1433167,-6.87
2023/9/28,1220,2023/10/6,295646,294321,0.45,-0.38,-1,2354794,2554945,-7.83
2023/8/31,1220,2023/9/8,296778,314062,-5.5,8.75,1,2059148,2260624,-8.91
2023/7/31,1220,2023/8/8,272888,294528,-7.35,-5.14,-1,1762370,1946562,-9.46
2023/6/30,1220,2023/7/10,287673,294470,-2.31,2.55,2,1489482,1652034,-9.84
2023/5/31,1220,2023/6/9,280527,292492,-4.09,5.25,1,1201809,1357564,-11.47
2023/4/28,1220,2023/5/9,266541,248582,7.22,-8.3,-1,921282,1065072,-13.5
2023/3/31,1220,2023/4/10,290668,285720,1.73,62.77,1,654741,816490,-19.81
2023/2/24,1220,2023/3/9,178573,207781,-14.06,-3.73,-3,364073,530770,-31.41
2023/1/31,1220,2023/2/9,185500,322989,-42.57,-38.05,-2,185500,322989,-42.57
2022/10/31,1220,2022/11/9,334007,280906,18.9,13.48,1,2888952,2569871,12.42
2022/9/30,1220,2022/10/7,294321,267658,9.96,-6.29,-1,2554945,2288965,11.62
2022/8/31,1220,2022/9/8,314062,265446,18.31,6.63,4,2260624,2021307,11.84
2022/7/29,1220,2022/8/10,294528,258235,14.05,0.02,3,1946562,1755861,10.86
2022/6/30,1220,2022/7/8,294470,272149,8.2,0.68,2,1652034,1497626,10.31
2022/5/31,1220,2022/6/9,292492,254687,14.84,17.66,1,1357564,1225477,10.78
2022/4/29,1220,2022/5/10,248582,262030,-5.13,-13,-1,1065072,970790,9.71
2022/3/31,1220,2022/4/8,285720,269619,5.97,37.51,1,816490,708760,15.2
2022/2/25,1220,2022/3/9,207781,176717,17.58,-35.67,-1,530770,439141,20.87
2022/1/26,1220,2022/2/10,322989,262424,23.08,1.95,1,322989,262424,23.08
2023/9/28,1225,2023/10/6,1184327,1295478,-8.58,-3.93,-1,10912671,11244609,-2.95
2023/8/31,1225,2023/9/8,1232824,1333748,-7.57,1.42,2,9728344,9949131,-2.22
2023/7/31,1225,2023/8/9,1215578,1301087,-6.57,6.56,1,8495520,8615383,-1.39
2023/6/30,1225,2023/7/10,1140779,1319645,-13.55,-7.48,-1,7279942,7314296,-0.47
2023/5/31,1225,2023/6/9,1233009,1269125,-2.85,11.2,1,6139163,5994651,2.41
2023/4/28,1225,2023/5/9,1108821,1219664,-9.09,-16.93,-1,4906154,4725526,3.82
2023/3/31,1225,2023/4/11,1334753,1279502,4.32,0.65,2,3797333,3505862,8.31
2023/2/24,1225,2023/3/9,1326121,934637,41.89,16.69,1,2462580,2226360,10.61
2023/1/31,1225,2023/2/9,1136459,1291723,-12.02,-21.44,-1,1136459,1291723,-12.02
2023/9/28,1227,2023/10/11,3116707,2844061,9.59,17.27,3,20129635,20399539,-1.32
2023/8/31,1227,2023/9/11,2657640,2686715,-1.08,23.54,2,17012928,17555478,-3.09
2023/7/31,1227,2023/8/10,2151320,2146094,0.24,1.55,1,14355288,14868763,-3.45
2023/6/30,1227,2023/7/10,2118460,1873382,13.08,-0.87,-1,12203968,12722669,-4.08
2023/5/31,1227,2023/6/12,2136966,1961006,8.97,3.33,3,10085508,10849287,-7.04
2023/4/28,1227,2023/5/10,2068043,2157826,-4.16,4.37,2,7948542,8888281,-10.57
2023/3/31,1227,2023/4/12,1981532,2249275,-11.9,40.22,1,5880499,6730455,-12.63
2023/2/24,1227,2023/3/10,1413138,1311370,7.76,-43.15,-2,3898967,4481180,-12.99
2023/1/31,1227,2023/2/10,2485829,3169810,-21.58,-30.22,-1,2485829,3169810,-21.58
2022/10/31,1227,2022/11/10,2182437,2716771,-19.67,-23.26,-1,22581976,27060080,-16.55
2022/9/30,1227,2022/10/11,2844061,3294742,-13.68,5.86,3,20399539,24343309,-16.2
2022/8/31,1227,2022/9/8,2686715,2813843,-4.52,25.19,2,17555478,21048567,-16.6
2022/7/29,1227,2022/8/10,2146094,2558217,-16.11,14.56,1,14868763,18234724,-18.46
2022/6/30,1227,2022/7/8,1873382,2701602,-30.66,-4.47,-3,12722669,15676507,-18.84
2022/5/31,1227,2022/6/10,1961006,2373213,-17.37,-9.12,-2,10849287,12974905,-16.38
2022/4/29,1227,2022/5/10,2157826,2337076,-7.67,-4.07,-1,8888281,10601692,-16.16
2022/3/31,1227,2022/4/11,2249275,1938626,16.02,71.52,1,6730455,8264616,-18.56
2022/2/25,1227,2022/3/10,1311370,1740003,-24.63,-58.63,-3,4481180,6325990,-29.16
2022/1/26,1227,2022/2/11,3169810,4585987,-30.88,-11.01,-2,3169810,4585987,-30.88
2023/9/28,1229,2023/10/11,861221,908840,-5.24,-3.43,-3,9286729,9246716,0.43
2023/8/31,1229,2023/9/8,891803,831107,7.3,-12.8,-2,8425508,8337876,1.05
