m_date,company_id,revenue_release_date,revenue_m,revenue_m_lastyear, revenue_vs_lastyear_ratio, revenue_mom_ratio, revenue_growth_month,cumulative_revenue,cumulative_revenue_lastyear, cumulative_revenue_vs_lastyear_ratio
2023/9/28,1101,2023/10/11,8735157,10404901,-16.05,-6.87,-1,80942003,79341961,2.02
2023/8/31,1101,2023/9/11,9379408,10689860,-12.26,4.76,2,72206846,68937060,4.74
2023/7/31,1101,2023/8/10,8953462,10102468,-11.37,1.56,1,62827438,58247200,7.86
2023/6/30,1101,2023/7/10,8816109,9145989,-3.61,-8.13,-1,53873976,48144732,11.9
2023/5/31,1101,2023/6/9,9596091,7733787,24.08,5.45,1,45057867,38998743,15.54
2023/4/28,1101,2023/5/10,9100119,8319342,9.39,-22.42,-1,35461776,31264956,13.42
2023/3/31,1101,2023/4/10,11730367,9971650,17.64,60.56,1,26361657,22945614,14.89
2023/2/24,1101,2023/3/10,7306069,5456068,33.91,-0.26,-2,14631290,12973964,12.77
2023/1/31,1101,2023/2/10,7325221,7517896,-2.56,-41.79,-1,7325221,7517896,-2.56
2022/10/31,1101,2022/11/10,11368096,9565047,18.85,9.26,1,90710057,86470663,4.9
2022/9/30,1101,2022/10/6,10404901,9597804,8.41,-2.67,-1,79341961,76905616,3.17
2022/8/31,1101,2022/9/12,10689860,8964476,19.25,5.81,3,68937060,67307812,2.42
2022/7/29,1101,2022/8/10,10102468,8319971,21.42,10.46,2,58247200,58343336,-0.16
2022/6/30,1101,2022/7/11,9145989,8480821,7.84,18.26,1,48144732,50023365,-3.76
2022/5/31,1101,2022/6/10,7733787,9832764,-21.35,-7.04,-2,38998743,41542544,-6.12
2022/4/29,1101,2022/5/10,8319342,9672128,-13.99,-16.57,-1,31264956,31709780,-1.4
2022/3/31,1101,2022/4/11,9971650,9779716,1.96,82.76,1,22945614,22037652,4.12
2022/2/25,1101,2022/3/10,5456068,4173471,30.73,-27.43,-2,12973964,12257936,5.84
2022/1/26,1101,2022/2/10,7517896,8084465,-7.01,-30.53,-1,7517896,8084465,-7.01
2023/9/28,1102,2023/10/6,6691905,6994078,-4.32,3.43,1,60239086,66096797,-8.86
2023/8/31,1102,2023/9/8,6469836,7069221,-8.48,-4.72,-1,53547181,59102719,-9.4
2023/7/31,1102,2023/8/10,6790125,7864622,-13.66,1.78,1,47077345,52033498,-9.52
2023/6/30,1102,2023/7/10,6671130,7776413,-14.21,-7.84,-1,40287220,44168876,-8.79
2023/5/31,1102,2023/6/9,7238507,8000427,-9.52,0.97,1,33616090,36392463,-7.63
2023/4/28,1102,2023/5/10,7168871,8710220,-17.7,-12.07,-1,26377583,28392036,-7.1
2023/3/31,1102,2023/4/10,8152982,8160414,-0.09,30.63,2,19208712,19681816,-2.4
2023/2/24,1102,2023/3/10,6241236,4100676,52.2,29.63,1,11055730,11521402,-4.04
2023/1/31,1102,2023/2/10,4814494,7420726,-35.12,-42.28,-1,4814494,7420726,-35.12
2022/10/31,1102,2022/11/10,7601097,9454594,-19.6,8.68,1,73697894,71943209,2.44
2022/9/30,1102,2022/10/7,6994078,7831470,-10.69,-1.06,-2,66096797,62488615,5.77
2022/8/31,1102,2022/9/8,7069221,7193266,-1.72,-10.11,-1,59102719,54657145,8.13
2022/7/29,1102,2022/8/10,7864622,6818111,15.35,1.13,1,52033498,47463879,9.63
2022/6/30,1102,2022/7/8,7776413,7114028,9.31,-2.8,-2,44168876,40645768,8.67
2022/5/31,1102,2022/6/10,8000427,7798500,2.59,-8.15,-1,36392463,33531740,8.53
2022/4/29,1102,2022/5/10,8710220,7840099,11.1,6.74,2,28392036,25733240,10.33
2022/3/31,1102,2022/4/8,8160414,7006606,16.47,99,1,19681816,17893141,10
2022/2/25,1102,2022/3/10,4100676,3450204,18.85,-44.74,-2,11521402,10886535,5.83
2022/1/26,1102,2022/2/11,7420726,7436331,-0.21,-21.09,-1,7420726,7436331,-0.21
2023/9/28,1103,2023/10/11,232979,205264,13.5,-2.49,-3,2115231,1593823,32.71
2023/8/31,1103,2023/9/11,238917,182371,31.01,-10.39,-2,1882252,1388559,35.55
2023/7/31,1103,2023/8/10,266631,178825,49.1,-3.82,-1,1643335,1206188,36.24
2023/6/30,1103,2023/7/10,277233,183177,51.35,21.7,2,1376704,1027363,34
2023/5/31,1103,2023/6/12,227797,163521,39.31,3.42,1,1099471,844186,30.24
2023/4/28,1103,2023/5/10,220272,168089,31.04,-11.59,-1,871674,680665,28.06
2023/3/31,1103,2023/4/12,249135,220463,13.01,18.05,2,651402,512577,27.08
2023/2/24,1103,2023/3/10,211050,134062,57.43,10.37,1,402267,292114,37.71
2023/1/31,1103,2023/2/10,191217,158052,20.98,-16.37,-1,191217,158052,20.98
2022/10/31,1103,2022/11/10,209429,193141,8.43,2.03,3,1803252,1848365,-2.44
2022/9/30,1103,2022/10/11,205264,201306,1.97,12.55,2,1593823,1655224,-3.71
2022/8/31,1103,2022/9/12,182371,166022,9.85,1.98,1,1388559,1453918,-4.5
2022/7/29,1103,2022/8/10,178825,192983,-7.34,-2.38,-1,1206188,1287896,-6.34
2022/6/30,1103,2022/7/11,183177,168756,8.55,12.02,1,1027363,1094913,-6.17
2022/5/31,1103,2022/6/10,163521,196403,-16.74,-2.72,-2,844186,926157,-8.85
2022/4/29,1103,2022/5/10,168089,185227,-9.25,-23.76,-1,680665,729754,-6.73
2022/3/31,1103,2022/4/11,220463,203954,8.09,64.45,1,512577,544527,-5.87
2022/2/25,1103,2022/3/10,134062,145091,-7.6,-15.18,-3,292114,340573,-14.23
2022/1/26,1103,2022/2/14,158052,195482,-19.15,-7.85,-2,158052,195482,-19.15
2023/9/28,1104,2023/10/11,618592,597159,3.59,0.23,1,5627754,5063948,11.13
2023/8/31,1104,2023/9/8,617197,605512,1.93,-3.15,-1,5009162,4466788,12.14
2023/7/31,1104,2023/8/10,637246,580420,9.79,5.46,1,4391965,3861277,13.74
2023/6/30,1104,2023/7/10,604263,573028,5.45,-9.95,-1,3754719,3280857,14.44
2023/5/31,1104,2023/6/9,671021,537082,24.94,4.18,1,3150457,2707829,16.35
2023/4/28,1104,2023/5/10,644087,638493,0.88,-12.9,-1,2479436,2170746,14.22
2023/3/31,1104,2023/4/12,739446,591593,24.99,25.01,2,1835349,1532253,19.78
2023/2/24,1104,2023/3/10,591525,348338,69.81,17.28,1,1095903,940660,16.5
2023/1/31,1104,2023/2/10,504378,592322,-14.85,-30.44,-1,504378,592322,-14.85
2022/10/31,1104,2022/11/10,634981,558944,13.6,6.33,1,5698929,4917168,15.9
2022/9/30,1104,2022/10/11,597159,528251,13.04,-1.38,-1,5063948,4358224,16.19
2022/8/31,1104,2022/9/12,605512,431224,40.42,4.32,3,4466788,3829973,16.63
2022/7/29,1104,2022/8/10,580420,493738,17.56,1.29,2,3861277,3398749,13.61
2022/6/30,1104,2022/7/8,573028,407130,40.75,6.69,1,3280857,2905011,12.94
2022/5/31,1104,2022/6/10,537082,533814,0.61,-15.88,-1,2707829,2497881,8.41
2022/4/29,1104,2022/5/10,638493,523569,21.95,7.93,2,2170746,1964066,10.52
2022/3/31,1104,2022/4/11,591593,575019,2.88,69.83,1,1532253,1440498,6.37
2023/9/28,1108,2023/10/6,404171,346635,16.6,-6.1,-4,3690507,2946179,25.26
2023/8/31,1108,2023/9/7,430420,390053,10.35,-2.43,-3,3286336,2599544,26.42
2023/7/31,1108,2023/8/9,441143,326691,35.03,-0.41,-2,2855916,2209491,29.26
2023/6/30,1108,2023/7/10,442961,334113,32.58,-8.28,-1,2414773,1882800,28.25
2023/5/31,1108,2023/6/8,482963,332258,45.36,21.91,1,1971812,1548687,27.32
2023/4/28,1108,2023/5/8,396170,335518,18.08,-9.14,-1,1488849,1216429,22.4
2023/3/31,1108,2023/4/10,436030,345612,26.16,20.53,2,1092679,880911,24.04
2023/2/24,1108,2023/3/10,361748,210635,71.74,22.67,1,656649,535299,22.67
2023/1/31,1108,2023/2/10,294901,324664,-9.17,-29.5,-1,294901,324664,-9.17
2023/9/28,1109,2023/10/11,490929,634886,-22.67,-9.38,-2,4625786,4675441,-1.06
2023/8/31,1109,2023/9/8,541722,478276,13.27,-3.7,-1,4134857,4040555,2.33
2023/7/31,1109,2023/8/10,562522,557403,0.92,8.89,1,3593135,3562279,0.87
2023/6/30,1109,2023/7/10,516592,591868,-12.72,-17.67,-1,3030613,3004875,0.86
2023/5/31,1109,2023/6/9,627486,654002,-4.05,13.6,1,2514021,2413008,4.19
2023/4/28,1109,2023/5/10,552377,519822,6.26,-11.65,-1,1886535,1759006,7.25
2023/3/31,1109,2023/4/11,625197,490643,27.42,52.13,2,1334158,1239184,7.66
2023/2/24,1109,2023/3/10,410951,181644,126.24,37.9,1,708961,748541,-5.29
2023/1/31,1109,2023/2/10,298010,566897,-47.43,-42.26,-2,298010,566897,-47.43
2022/10/31,1109,2022/11/10,527209,660615,-20.19,-16.96,-1,5202650,5818724,-10.59
2022/9/30,1109,2022/10/7,634886,376885,68.46,32.74,1,4675441,5158109,-9.36
2022/8/31,1109,2022/9/8,478276,591358,-19.12,-14.2,-3,4040555,4781224,-15.49
2022/7/29,1109,2022/8/10,557403,492134,13.26,-5.82,-2,3562279,4189866,-14.98
2022/6/30,1109,2022/7/8,591868,492001,20.3,-9.5,-1,3004876,3697732,-18.74
2022/5/31,1109,2022/6/10,654002,627354,4.25,25.81,3,2413008,3205731,-24.73
2022/4/29,1109,2022/5/10,519822,766026,-32.14,5.95,2,1759006,2578377,-31.78
2022/3/31,1109,2022/4/8,490643,882786,-44.42,170.11,1,1239184,1812351,-31.63
2022/2/25,1109,2022/3/10,181644,190339,-4.57,-67.96,-3,748541,929565,-19.47
2022/1/26,1109,2022/2/11,566897,739226,-23.31,-27.11,-2,566897,739226,-23.31
2023/9/28,1110,2023/10/6,169364,157462,7.56,5.72,1,1641523,1231008,33.35
2023/8/31,1110,2023/9/8,160207,176935,-9.45,-4.93,-4,1472158,1073546,37.13
2023/7/31,1110,2023/8/10,168514,134470,25.32,-7.35,-3,1311951,896611,46.32
2023/6/30,1110,2023/7/10,181890,115133,57.98,-14.98,-2,1143437,762141,50.03
2023/5/31,1110,2023/6/9,213937,89660,138.61,-2.52,-1,961547,647008,48.61
2023/4/28,1110,2023/5/10,219472,114127,92.31,1.54,3,747610,557348,34.14
2023/3/31,1110,2023/4/12,216150,178972,20.77,24.14,2,528138,443221,19.16
2023/2/24,1110,2023/3/10,174115,97391,78.78,26.29,1,311988,264249,18.07
2023/1/31,1110,2023/2/10,137873,166858,-17.37,-17.8,-2,137873,166858,-17.37
2022/10/31,1110,2022/11/9,197515,151364,30.49,25.44,1,1428523,1495023,-4.45
2022/9/30,1110,2022/10/7,157462,140017,12.46,-11.01,-1,1231008,1343660,-8.38
2022/8/31,1110,2022/9/8,176935,109276,61.92,31.58,3,1073546,1203643,-10.81
2022/7/29,1110,2022/8/9,134470,159247,-15.56,16.8,2,896611,1094366,-18.07
2022/6/30,1110,2022/7/8,115133,262145,-56.08,28.41,1,762141,935119,-18.5
2022/5/31,1110,2022/6/10,89660,141730,-36.74,-21.44,-2,647008,672974,-3.86
2022/4/29,1110,2022/5/10,114127,143902,-20.69,-36.23,-1,557348,531244,4.91
2022/3/31,1110,2022/4/11,178972,146368,22.28,83.77,1,443221,387342,14.43
2022/2/25,1110,2022/3/9,97391,103108,-5.54,-41.63,-2,264249,240974,9.66
2022/1/26,1110,2022/2/11,166858,137866,21.03,-9.75,-1,166858,137866,21.03
2023/9/28,1201,2023/10/11,1944806,1834655,6,-3.94,-1,15990330,15214413,5.1
2023/8/31,1201,2023/9/11,2024542,2008672,0.79,1.89,4,14045524,13379758,4.98
2023/7/31,1201,2023/8/10,1987063,1907939,4.15,10.4,3,12020982,11371086,5.72
2023/6/30,1201,2023/7/10,1799883,1754660,2.58,2.23,2,10033919,9463147,6.03
2023/5/31,1201,2023/6/9,1760630,1662683,5.89,4.54,1,8234036,7708487,6.82
2023/4/28,1201,2023/5/10,1684136,1495139,12.64,-1.76,-1,6473406,6045804,7.07
2023/3/31,1201,2023/4/12,1714224,1589975,7.81,15.05,1,4789270,4550665,5.24
2023/2/24,1201,2023/3/9,1489920,1291903,15.33,-6.01,-1,3075046,2960690,3.86
2023/1/31,1201,2023/2/10,1585126,1668787,-5.01,9.03,1,1585126,1668787,-5.01
2023/9/28,1203,2023/10/11,544257,523146,4.04,-3.95,-1,4718897,4696394,0.48
2023/8/31,1203,2023/9/11,566658,546197,3.75,13.72,2,4174640,4173247,0.03
2023/7/31,1203,2023/8/10,498272,514516,-3.16,4.9,1,3607982,3627051,-0.53
2023/6/30,1203,2023/7/10,474979,527809,-10.01,-13.99,-1,3109710,3112535,-0.09
2023/5/31,1203,2023/6/12,552211,533780,3.45,8.94,1,2634731,2584726,1.93
2023/4/28,1203,2023/5/10,506873,516050,-1.78,-6.89,-1,2082520,2050946,1.54
2023/3/31,1203,2023/4/12,544406,517118,5.28,5.58,1,1575647,1534896,2.65
2023/2/24,1203,2023/3/10,515621,453678,13.65,0,,1031240,1017778,1.32
2023/1/31,1203,2023/2/10,515619,564100,-8.59,-15.41,-1,515619,564100,-8.59
2022/10/31,1203,2022/11/10,534997,441364,21.21,2.27,1,5231391,4921075,6.31
2022/9/30,1203,2022/10/11,523146,504898,3.61,-4.22,-1,4696394,4479711,4.84
2022/8/31,1203,2022/9/12,546197,540451,1.06,6.16,1,4173247,3974812,4.99
2022/7/29,1203,2022/8/10,514516,494155,4.12,-2.52,-2,3627051,3434361,5.61
2022/6/30,1203,2022/7/11,527809,492972,7.07,-1.12,-1,3112535,2940206,5.86
2022/5/31,1203,2022/6/10,533780,488269,9.32,3.44,1,2584726,2447233,5.62
2022/4/29,1203,2022/5/10,516050,470972,9.57,-0.21,-1,2050946,1958964,4.7
2022/3/31,1203,2022/4/11,517118,500102,3.4,13.98,1,1534896,1487992,3.15
2022/2/25,1203,2022/3/10,453678,442622,2.5,-19.57,-1,1017778,987890,3.03
2022/1/26,1203,2022/2/14,564100,545268,3.45,11.08,2,564100,545268,3.45
2023/9/28,1210,2023/10/11,9291296,9702507,-4.24,-9.18,-1,83153484,82776655,0.46
2023/8/31,1210,2023/9/11,10230624,10578033,-3.28,14.89,1,73862187,73074148,1.08
