date,company_id,foreign_investors,investment_banks ,dealer,all_institutional_investors,foreign_investors_day,investment_banks_days,dealer_days,all_institutional_investors_days,directors_stock_ratio,directors_stock,financing_balance,margin_balance,sale_margin_purchase_ratio,margin_balance_ratio,financing_balance_ratio,200_400_ratio,400_600_ratio,600_800_ratio,800_1000_ratio,1000up_ratio
2023/7/31,1101,"1,368",-58,106,"1,416",1,-3,3,1,7.89,"564,677","17,362",181,1.04,0,-3.43,,,,,
2023/7/28,1101,-477,-61,108,-429,-1,-2,2,-1,7.89,"564,677","17,978",181,1.01,1.69,-2.23,2.86,1.55,1.11,0.97,56.92
2023/7/27,1101,"1,604",-41,90,"1,653",1,-1,1,1,7.89,"564,677","18,388",178,0.97,0,1.35,,,,,
2023/7/26,1101,"-1,646",152,-272,"-1,765",-1,1,-1,-1,7.89,"564,677","18,143",178,0.98,1.14,-0.16,,,,,
2023/7/25,1101,355,-16,92,431,1,-5,2,1,7.89,"564,677","18,172",176,0.97,33.33,3.14,,,,,
2023/7/24,1101,"-5,319",-466,117,"-5,668",-2,-4,1,-4,7.89,"564,677","17,619",132,0.75,5.6,2.51,,,,,
2023/7/21,1101,"-11,767",-539,-349,"-12,656",-1,-3,-1,-3,7.89,"564,677","17,188",125,0.73,0.81,-0.24,2.88,1.56,1.1,0.92,56.97
2023/7/20,1101,63,"-1,563",18,"-1,482",1,-2,1,-2,7.89,"564,677","17,229",124,0.72,21.57,0.34,,,,,
2023/7/19,1101,"-3,078","-1,834",-369,"-5,281",-2,-1,-4,-1,7.89,"564,677","17,171",102,0.59,-68.42,0.1,,,,,
2023/7/18,1101,"-3,251","3,424",-108,66,-1,3,-3,2,7.89,"564,677","17,154",323,1.88,216.67,-1.07,,,,,
2023/7/17,1101,85,292,-101,276,1,2,-2,1,7.89,"564,677","17,339",102,0.59,148.78,1.21,,,,,
2023/7/14,1101,-236,106,-7,-137,-9,1,-1,-9,7.89,"564,677","17,131",41,0.24,0,0.82,2.89,1.58,1.02,0.94,57.16
2023/7/13,1101,"-1,211","-2,442",372,"-3,281",-8,-3,1,-8,7.89,"564,677","16,992",41,0.24,5.13,2.37,,,,,
