證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張)
1102 亞泥,2023/8/24,1102,665,27,-456,236
1102 亞泥,2023/8/23,1102,760,152,-161,751
1102 亞泥,2023/8/22,1102,400,-211,-111,78
1102 亞泥,2023/8/21,1102,1066,94,-36,1124
1102 亞泥,2023/8/18,1102,-654,309,30,-315
1102 亞泥,2023/8/17,1102,-358,511,-174,-20
1102 亞泥,2023/8/16,1102,-1757,796,78,-883
1102 亞泥,2023/8/15,1102,-1745,-864,104,-2505
1102 亞泥,2023/8/14,1102,-1340,1780,76,516
1102 亞泥,2023/8/11,1102,-192,751,-66,493
1102 亞泥,2023/8/10,1102,-1342,769,100,-472
1102 亞泥,2023/8/9,1102,156,602,-78,681
1102 亞泥,2023/8/8,1102,-525,902,-521,-144
1102 亞泥,2023/8/7,1102,-491,651,-341,-182
1102 亞泥,2023/8/4,1102,2027,521,-445,2103
1102 亞泥,2023/8/2,1102,-2290,547,-286,-2029
1102 亞泥,2023/8/1,1102,-489,28,-319,-781
1102 亞泥,2023/7/31,1102,-161,741,-258,322
1102 亞泥,2023/7/28,1102,-1158,-336,-1007,-2501
1102 亞泥,2023/7/27,1102,-1015,-53,-996,-2064
1102 亞泥,2023/7/26,1102,-425,-62,-1146,-1633
1102 亞泥,2023/7/25,1102,1940,-72,-2858,-990
1102 亞泥,2023/7/24,1102,-7342,588,-1621,-8375
1102 亞泥,2023/7/21,1102,-13061,-1133,-549,-14743
1102 亞泥,2023/7/20,1102,-5275,-1801,-8719,-15794
1102 亞泥,2023/7/19,1102,-13631,17695,-560,3504
1102 亞泥,2023/7/18,1102,-6013,4569,-166,-1610
1102 亞泥,2023/7/17,1102,-653,-414,954,-114
1102 亞泥,2023/7/14,1102,-1555,102,756,-698
1102 亞泥,2023/7/13,1102,-2382,122,764,-1496
1102 亞泥,2023/7/12,1102,-475,-36,-78,-589
1102 亞泥,2023/7/11,1102,-128,140,177,189
1102 亞泥,2023/7/10,1102,-983,52,175,-756
1102 亞泥,2023/7/7,1102,-2131,94,552,-1485
1102 亞泥,2023/7/6,1102,-3384,320,433,-2631
1102 亞泥,2023/7/5,1102,-180,1048,348,1216
1102 亞泥,2023/7/4,1102,-466,844,249,627
1102 亞泥,2023/7/3,1102,350,120,-34,436
1102 亞泥,2023/6/30,1102,-378,72,-3,-309
1102 亞泥,2023/6/29,1102,695,194,339,1228
1102 亞泥,2023/6/28,1102,-826,282,448,-96
1102 亞泥,2023/6/27,1102,-77,179,91,193
1102 亞泥,2023/6/26,1102,1575,1495,-231,2839
1102 亞泥,2023/6/21,1102,-1547,1366,-171,-352
1102 亞泥,2023/6/20,1102,1871,-1542,-361,-32
1102 亞泥,2023/6/19,1102,651,-726,-130,-205
1102 亞泥,2023/6/16,1102,71,-805,-28,-762
1102 亞泥,2023/6/15,1102,424,-900,-417,-893
1102 亞泥,2023/6/14,1102,-831,-988,-231,-2050
1102 亞泥,2023/6/13,1102,274,-966,-64,-756
1102 亞泥,2023/6/12,1102,504,-15,-150,339
1102 亞泥,2023/6/9,1102,557,-79,201,678
1102 亞泥,2023/6/8,1102,1272,2,558,1832
1102 亞泥,2023/6/7,1102,-285,-50,525,190
1102 亞泥,2023/6/6,1102,690,217,8,915
1102 亞泥,2023/6/5,1102,243,-41,-80,123
1102 亞泥,2023/6/2,1102,477,554,-48,983
1102 亞泥,2023/6/1,1102,-573,215,0,-358
1103 嘉泥,2023/9/19,1103,-256,0,-11,-266
1103 嘉泥,2023/9/18,1103,-14,0,13,-1
1103 嘉泥,2023/9/15,1103,483,0,-15,468
1103 嘉泥,2023/9/14,1103,94,0,0,94
1103 嘉泥,2023/9/13,1103,94,0,-1,93
1103 嘉泥,2023/9/12,1103,81,0,-89,-8
1103 嘉泥,2023/9/11,1103,-100,0,-86,-186
1103 嘉泥,2023/9/8,1103,-95,0,-13,-108
1103 嘉泥,2023/9/7,1103,-176,0,-28,-204
1103 嘉泥,2023/9/6,1103,-265,0,-33,-298
1103 嘉泥,2023/9/5,1103,-130,0,0,-130
1103 嘉泥,2023/9/4,1103,-196,0,-8,-204
1103 嘉泥,2023/9/1,1103,-111,0,58,-53
1103 嘉泥,2023/8/31,1103,-7,0,0,-7
1103 嘉泥,2023/8/30,1103,-71,0,25,-46
1103 嘉泥,2023/8/29,1103,121,0,1,122
1103 嘉泥,2023/8/28,1103,-255,0,-20,-275
1103 嘉泥,2023/8/25,1103,93,0,-9,83
1103 嘉泥,2023/8/24,1103,-101,0,0,-102
1103 嘉泥,2023/8/23,1103,-88,0,-6,-94
1103 嘉泥,2023/8/22,1103,-58,0,0,-59
1103 嘉泥,2023/8/21,1103,-223,0,0,-223
1103 嘉泥,2023/8/18,1103,7,0,-8,-1
1103 嘉泥,2023/8/17,1103,103,0,29,132
1103 嘉泥,2023/8/16,1103,134,0,1,135
1103 嘉泥,2023/8/15,1103,-27,0,-1,-28
1103 嘉泥,2023/8/14,1103,-200,0,-58,-258
1103 嘉泥,2023/8/11,1103,-76,0,40,-36
1103 嘉泥,2023/8/10,1103,-343,0,3,-340
1103 嘉泥,2023/8/9,1103,-254,0,-13,-267
1103 嘉泥,2023/8/8,1103,-223,0,-93,-316
1103 嘉泥,2023/8/7,1103,54,0,-91,-37
1103 嘉泥,2023/8/4,1103,100,0,-37,63
1103 嘉泥,2023/8/2,1103,-61,0,6,-55
1103 嘉泥,2023/8/1,1103,83,0,38,121
1103 嘉泥,2023/7/31,1103,-86,0,-1,-87
1103 嘉泥,2023/7/28,1103,-28,0,-3,-31
1103 嘉泥,2023/7/27,1103,259,0,28,287
1103 嘉泥,2023/7/26,1103,847,0,15,862
1103 嘉泥,2023/7/25,1103,256,0,34,290
1103 嘉泥,2023/7/24,1103,-212,0,-13,-225
1103 嘉泥,2023/7/21,1103,24,0,-16,8
1103 嘉泥,2023/7/20,1103,243,0,-5,238
1103 嘉泥,2023/7/19,1103,-166,0,-9,-175
1103 嘉泥,2023/7/18,1103,147,0,-43,104
1103 嘉泥,2023/7/17,1103,329,0,-81,248
1103 嘉泥,2023/7/14,1103,76,0,2,78
1103 嘉泥,2023/7/13,1103,55,0,-179,-124
1103 嘉泥,2023/7/12,1103,-165,0,-9,-174
1103 嘉泥,2023/7/11,1103,301,0,374,675
1103 嘉泥,2023/7/10,1103,-172,0,-133,-305
1103 嘉泥,2023/7/7,1103,-75,0,-5,-80
1103 嘉泥,2023/7/6,1103,-135,0,-18,-153
1103 嘉泥,2023/7/5,1103,107,0,-40,67
1103 嘉泥,2023/7/4,1103,100,0,-11,89
1103 嘉泥,2023/7/3,1103,178,0,13,191
1103 嘉泥,2023/6/30,1103,189,0,1,190
1103 嘉泥,2023/6/29,1103,-55,0,42,-13
1103 嘉泥,2023/6/28,1103,-104,0,18,-86
1103 嘉泥,2023/6/27,1103,-264,0,25,-239
1103 嘉泥,2023/6/26,1103,-423,0,8,-415
1103 嘉泥,2023/6/21,1103,-410,0,-351,-761
1103 嘉泥,2023/6/20,1103,-1273,0,345,-928
1103 嘉泥,2023/6/19,1103,-369,0,65,-304
1103 嘉泥,2023/6/16,1103,1005,0,14,1019
1103 嘉泥,2023/6/15,1103,7,0,0,7
1103 嘉泥,2023/6/14,1103,168,0,14,182
1103 嘉泥,2023/6/13,1103,69,0,32,101
1103 嘉泥,2023/6/12,1103,-44,0,-1,-45
1103 嘉泥,2023/6/9,1103,132,0,0,132
1103 嘉泥,2023/6/8,1103,123,0,9,132
1103 嘉泥,2023/6/7,1103,451,0,-14,437
1103 嘉泥,2023/6/6,1103,212,0,0,212
1103 嘉泥,2023/6/5,1103,191,0,0,191
1103 嘉泥,2023/6/2,1103,-91,0,0,-91
1103 嘉泥,2023/6/1,1103,-466,0,7,-459
1104 環泥,2023/9/19,1104,-348,0,-8,-356
1104 環泥,2023/9/18,1104,-195,0,-4,-199
1104 環泥,2023/9/15,1104,-1875,0,132,-1742
1104 環泥,2023/9/14,1104,-378,0,1,-377
1104 環泥,2023/9/13,1104,-301,0,0,-301
1104 環泥,2023/9/12,1104,-814,0,8,-806
1104 環泥,2023/9/11,1104,-381,0,9,-372
1104 環泥,2023/9/8,1104,-166,0,-2,-168
1104 環泥,2023/9/7,1104,106,0,-19,87
1104 環泥,2023/9/6,1104,-794,0,-8,-802
1104 環泥,2023/9/5,1104,290,0,23,313
1104 環泥,2023/9/4,1104,33,0,14,47
1104 環泥,2023/9/1,1104,187,0,20,207
1104 環泥,2023/8/31,1104,115,0,24,139
1104 環泥,2023/8/30,1104,-101,0,0,-101
1104 環泥,2023/8/29,1104,266,0,-9,257
1104 環泥,2023/8/28,1104,-375,0,-24,-399
1104 環泥,2023/8/25,1104,115,0,-9,106
1104 環泥,2023/8/24,1104,-1144,0,-13,-1157
1104 環泥,2023/8/23,1104,-184,0,4,-180
1104 環泥,2023/8/22,1104,-139,0,-1,-140
1104 環泥,2023/8/21,1104,574,0,36,610
1104 環泥,2023/8/18,1104,215,0,5,220
1104 環泥,2023/8/17,1104,697,0,11,708
1104 環泥,2023/8/16,1104,225,0,-25,200
1104 環泥,2023/8/15,1104,367,0,30,397
1104 環泥,2023/8/14,1104,604,0,35,639
1104 環泥,2023/8/11,1104,-171,1,-13,-183
1104 環泥,2023/8/10,1104,-619,0,-349,-968
1104 環泥,2023/8/9,1104,-137,0,19,-118
1104 環泥,2023/8/8,1104,-35,0,-6,-41
1104 環泥,2023/8/7,1104,863,2,55,920
1104 環泥,2023/8/4,1104,142,0,-19,123
1104 環泥,2023/8/2,1104,-619,0,169,-450
1104 環泥,2023/8/1,1104,-172,0,33,-139
1104 環泥,2023/7/31,1104,-203,-1,-22,-226
1104 環泥,2023/7/28,1104,1440,0,-3,1437
1104 環泥,2023/7/27,1104,207,0,50,257
1104 環泥,2023/7/26,1104,-1960,-2,-3,-1965
1104 環泥,2023/7/25,1104,2448,-1,-17,2430
1104 環泥,2023/7/24,1104,-2377,-1,-102,-2480
1104 環泥,2023/7/21,1104,2349,-1,-1328,1020
1104 環泥,2023/7/20,1104,1238,-1,601,1838
1104 環泥,2023/7/19,1104,-1627,0,30,-1597
1104 環泥,2023/7/18,1104,-335,0,25,-310
1104 環泥,2023/7/17,1104,-325,0,825,500
1104 環泥,2023/7/14,1104,672,2,9,683
1104 環泥,2023/7/13,1104,-537,0,6,-531
1104 環泥,2023/7/12,1104,-42,3,-16,-55
1104 環泥,2023/7/11,1104,54,0,0,54
1104 環泥,2023/7/10,1104,-404,1,-30,-434
1104 環泥,2023/7/7,1104,-1330,3,-46,-1373
1104 環泥,2023/7/6,1104,-155,3,-37,-189
1104 環泥,2023/7/5,1104,-88,2,-37,-123
1104 環泥,2023/7/4,1104,-987,2,18,-967
1104 環泥,2023/7/3,1104,30,0,63,93
1104 環泥,2023/6/30,1104,442,0,-34,408
1104 環泥,2023/6/29,1104,-163,1,22,-140
1104 環泥,2023/6/28,1104,102,1,13,116
1104 環泥,2023/6/27,1104,-236,0,12,-224
1104 環泥,2023/6/26,1104,53,1,-46,8
1104 環泥,2023/6/21,1104,533,0,10,543
1104 環泥,2023/6/20,1104,311,1,10,322
1104 環泥,2023/6/19,1104,232,1,-32,201
1104 環泥,2023/6/16,1104,575,0,5,580
1104 環泥,2023/6/15,1104,397,0,10,407
1104 環泥,2023/6/14,1104,-141,0,20,-121
1104 環泥,2023/6/13,1104,3202,0,18,3220
1104 環泥,2023/6/12,1104,1163,0,43,1206
1104 環泥,2023/6/9,1104,1600,0,24,1624
1104 環泥,2023/6/8,1104,549,0,-27,522
1104 環泥,2023/6/7,1104,400,0,-50,350
1104 環泥,2023/6/6,1104,-1253,0,-13,-1266
1104 環泥,2023/6/5,1104,76,0,-22,54
1104 環泥,2023/6/2,1104,128,1,-14,115
1104 環泥,2023/6/1,1104,-120,69,-21,-72
1108 幸福,2023/9/19,1108,-394,0,-4,-398
1108 幸福,2023/9/18,1108,-154,0,-5,-159
1108 幸福,2023/9/15,1108,-240,0,0,-240
1108 幸福,2023/9/14,1108,-101,0,0,-101
1108 幸福,2023/9/13,1108,-160,0,-18,-178
1108 幸福,2023/9/12,1108,-23,0,0,-23
1108 幸福,2023/9/11,1108,-714,0,3,-711
1108 幸福,2023/9/8,1108,-179,0,-1,-180
1108 幸福,2023/9/7,1108,-187,0,-3,-190
1108 幸福,2023/9/6,1108,-182,0,-28,-210
1108 幸福,2023/9/5,1108,-275,0,-3,-278
1108 幸福,2023/9/4,1108,-368,0,43,-325
1108 幸福,2023/9/1,1108,103,0,55,158
1108 幸福,2023/8/31,1108,-104,0,55,-49
1108 幸福,2023/8/30,1108,-185,0,24,-161
1108 幸福,2023/8/29,1108,-757,0,2,-755
1108 幸福,2023/8/28,1108,-292,0,-211,-503
1108 幸福,2023/8/25,1108,-499,0,-7,-506
1108 幸福,2023/8/24,1108,-573,0,-36,-609
1108 幸福,2023/8/23,1108,-754,0,0,-754
