證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張)
1736 喬山,2023/9/11,1736,-160,40,119,-1
1736 喬山,2023/9/8,1736,72,0,99,171
1736 喬山,2023/9/7,1736,55,0,-18,37
1736 喬山,2023/9/6,1736,-103,0,-18,-121
1736 喬山,2023/9/5,1736,-36,0,51,16
1736 喬山,2023/9/4,1736,-22,0,26,4
1736 喬山,2023/9/1,1736,320,0,159,479
1736 喬山,2023/8/31,1736,42,0,23,65
1736 喬山,2023/8/30,1736,365,0,20,385
1736 喬山,2023/8/29,1736,91,0,-15,76
1736 喬山,2023/8/28,1736,-307,0,-303,-610
1736 喬山,2023/8/25,1736,531,78,107,716
1736 喬山,2023/8/24,1736,-79,161,209,291
1736 喬山,2023/8/23,1736,-111,0,57,-54
1736 喬山,2023/8/22,1736,-143,0,-1,-144
1736 喬山,2023/8/21,1736,116,0,1,117
1736 喬山,2023/8/18,1736,-321,0,-4,-325
1736 喬山,2023/8/17,1736,56,0,-7,49
1736 喬山,2023/8/16,1736,-250,0,-2,-252
1736 喬山,2023/8/15,1736,221,0,3,224
1736 喬山,2023/8/14,1736,39,0,-2,37
1736 喬山,2023/8/11,1736,298,0,-3,295
1736 喬山,2023/8/10,1736,-6,0,3,-3
1736 喬山,2023/8/9,1736,41,0,-1,40
1736 喬山,2023/8/8,1736,-119,0,-23,-142
1736 喬山,2023/8/7,1736,133,0,-6,127
1736 喬山,2023/8/4,1736,400,0,-4,396
1736 喬山,2023/8/2,1736,-300,0,-150,-450
1736 喬山,2023/8/1,1736,447,0,-3,444
1736 喬山,2023/7/31,1736,-118,0,-83,-201
1736 喬山,2023/7/28,1736,-605,0,-127,-732
1736 喬山,2023/7/27,1736,280,0,-23,257
1736 喬山,2023/7/26,1736,1113,0,-3,1110
1736 喬山,2023/7/25,1736,118,0,1,119
1736 喬山,2023/7/24,1736,-419,0,-60,-479
1736 喬山,2023/7/21,1736,433,0,-43,390
1736 喬山,2023/7/20,1736,405,39,25,469
1736 喬山,2023/7/19,1736,-287,47,468,228
1736 喬山,2023/7/18,1736,-271,65,-9,-215
1736 喬山,2023/7/17,1736,538,0,-5,533
1736 喬山,2023/7/14,1736,-131,0,-21,-152
1736 喬山,2023/7/13,1736,-40,0,-21,-61
1736 喬山,2023/7/12,1736,660,0,34,694
1736 喬山,2023/7/11,1736,-285,0,-261,-546
1736 喬山,2023/7/10,1736,-294,0,105,-189
1736 喬山,2023/7/7,1736,-1632,-25,-1,-1658
1736 喬山,2023/7/6,1736,-580,-24,72,-532
1736 喬山,2023/7/5,1736,-135,0,57,-78
1736 喬山,2023/7/4,1736,-24,-50,-15,-89
1736 喬山,2023/7/3,1736,-126,0,-25,-151
1736 喬山,2023/6/30,1736,-352,0,8,-344
1736 喬山,2023/6/29,1736,1124,1,20,1145
1736 喬山,2023/6/28,1736,-187,1,9,-177
1736 喬山,2023/6/27,1736,-159,0,11,-148
1736 喬山,2023/6/26,1736,69,1,63,133
1736 喬山,2023/6/21,1736,26,0,-17,9
1736 喬山,2023/6/20,1736,307,1,-6,302
1736 喬山,2023/6/19,1736,129,0,4,133
1736 喬山,2023/6/16,1736,-8,0,20,12
1736 喬山,2023/6/15,1736,-59,0,0,-59
1736 喬山,2023/6/14,1736,-16,0,7,-9
1736 喬山,2023/6/13,1736,-86,0,20,-66
1736 喬山,2023/6/12,1736,-71,0,-3,-74
1736 喬山,2023/6/9,1736,226,0,1,227
1736 喬山,2023/6/8,1736,171,0,-16,155
1736 喬山,2023/6/7,1736,186,0,23,209
1736 喬山,2023/6/6,1736,104,0,8,112
1736 喬山,2023/6/5,1736,-86,0,2,-84
1736 喬山,2023/6/2,1736,-39,1,-9,-47
1736 喬山,2023/6/1,1736,31,-11,1,21
1737 臺鹽,2023/9/19,1737,-63,0,-1,-64
1737 臺鹽,2023/9/18,1737,124,0,-1,123
1737 臺鹽,2023/9/15,1737,-177,0,0,-177
1737 臺鹽,2023/9/14,1737,-50,0,0,-50
1737 臺鹽,2023/9/13,1737,-65,0,-12,-77
1737 臺鹽,2023/9/12,1737,-54,0,0,-54
1737 臺鹽,2023/9/11,1737,-31,0,1,-30
1737 臺鹽,2023/9/8,1737,-129,0,-1,-130
1737 臺鹽,2023/9/7,1737,7,0,-2,5
1737 臺鹽,2023/9/6,1737,-67,0,0,-67
1737 臺鹽,2023/9/5,1737,49,0,0,49
1737 臺鹽,2023/9/4,1737,-166,0,0,-166
1737 臺鹽,2023/9/1,1737,209,0,12,221
1737 臺鹽,2023/8/31,1737,-424,0,0,-424
1737 臺鹽,2023/8/30,1737,-390,0,-6,-396
1737 臺鹽,2023/8/29,1737,-533,0,0,-533
1737 臺鹽,2023/8/28,1737,-584,0,6,-578
1737 臺鹽,2023/8/25,1737,141,0,-2,139
1737 臺鹽,2023/8/24,1737,-324,0,2,-322
1737 臺鹽,2023/8/23,1737,-120,0,0,-120
1737 臺鹽,2023/8/22,1737,-352,0,0,-352
1737 臺鹽,2023/8/21,1737,-215,0,0,-215
1737 臺鹽,2023/8/18,1737,-48,0,0,-48
1737 臺鹽,2023/8/17,1737,-54,0,-1,-55
1737 臺鹽,2023/8/16,1737,-62,0,0,-62
1737 臺鹽,2023/8/15,1737,-89,0,0,-89
1737 臺鹽,2023/8/14,1737,-198,0,-32,-230
1737 臺鹽,2023/8/11,1737,-61,0,0,-61
1737 臺鹽,2023/8/10,1737,-54,0,-1,-55
1737 臺鹽,2023/8/9,1737,-26,0,0,-26
1737 臺鹽,2023/8/8,1737,-26,0,-10,-36
1737 臺鹽,2023/8/7,1737,-25,0,-15,-40
1737 臺鹽,2023/8/4,1737,33,0,0,33
1737 臺鹽,2023/8/2,1737,-42,0,1,-41
1737 臺鹽,2023/8/1,1737,-83,0,-1,-84
1737 臺鹽,2023/7/31,1737,-60,0,-17,-77
1737 臺鹽,2023/7/28,1737,9,0,0,9
1737 臺鹽,2023/7/27,1737,36,0,0,36
1737 臺鹽,2023/7/26,1737,48,0,15,63
1737 臺鹽,2023/7/25,1737,44,0,9,53
1737 臺鹽,2023/7/24,1737,222,0,-10,212
1737 臺鹽,2023/7/21,1737,72,0,5,77
1737 臺鹽,2023/7/20,1737,104,0,-11,93
1737 臺鹽,2023/7/19,1737,14,0,-5,9
1737 臺鹽,2023/7/18,1737,4,0,-13,-9
1737 臺鹽,2023/7/17,1737,134,0,-21,113
1737 臺鹽,2023/7/14,1737,68,0,0,68
1737 臺鹽,2023/7/13,1737,62,0,-6,56
1737 臺鹽,2023/7/12,1737,-238,0,-21,-259
1737 臺鹽,2023/7/11,1737,490,0,-37,453
1737 臺鹽,2023/7/10,1737,11,0,8,19
1737 臺鹽,2023/7/7,1737,107,0,-1,106
1737 臺鹽,2023/7/6,1737,94,0,-4,90
1737 臺鹽,2023/7/5,1737,22,0,-1,21
1737 臺鹽,2023/7/4,1737,53,0,-57,-4
1737 臺鹽,2023/7/3,1737,285,0,46,331
1737 臺鹽,2023/6/30,1737,17,0,21,38
1737 臺鹽,2023/6/29,1737,181,0,-53,128
1737 臺鹽,2023/6/28,1737,18,0,10,28
1737 臺鹽,2023/6/27,1737,-105,0,5,-100
1737 臺鹽,2023/6/26,1737,-475,0,4,-471
1737 臺鹽,2023/6/21,1737,20,0,0,20
1737 臺鹽,2023/6/20,1737,-12,0,-2,-14
1737 臺鹽,2023/6/19,1737,-244,0,-8,-252
1737 臺鹽,2023/6/16,1737,-63,0,0,-63
1737 臺鹽,2023/6/15,1737,-22,0,-23,-45
1737 臺鹽,2023/6/14,1737,-89,0,0,-89
1737 臺鹽,2023/6/13,1737,-67,0,0,-67
1737 臺鹽,2023/6/12,1737,-65,0,-7,-72
1737 臺鹽,2023/6/9,1737,-79,0,0,-79
1737 臺鹽,2023/6/8,1737,-41,0,0,-41
1737 臺鹽,2023/6/7,1737,-63,0,0,-63
1737 臺鹽,2023/6/6,1737,-25,0,0,-25
1737 臺鹽,2023/6/5,1737,-47,0,8,-39
1737 臺鹽,2023/6/2,1737,-11,0,0,-11
1737 臺鹽,2023/6/1,1737,-56,0,-32,-88
1742 台蠟,2023/9/19,1742,1,0,30,31
1742 台蠟,2023/9/18,1742,1,0,0,1
1742 台蠟,2023/9/15,1742,0,0,0,0
1742 台蠟,2023/9/14,1742,2,0,26,28
1742 台蠟,2023/9/13,1742,17,0,119,136
1742 台蠟,2023/9/12,1742,3,0,1,4
1742 台蠟,2023/9/11,1742,-1,0,0,-1
1742 台蠟,2023/9/8,1742,1,0,0,1
1742 台蠟,2023/9/7,1742,4,0,0,4
1742 台蠟,2023/9/6,1742,-1,0,0,-1
1742 台蠟,2023/9/5,1742,-6,0,0,-6
1742 台蠟,2023/9/4,1742,-10,0,0,-10
1742 台蠟,2023/9/1,1742,-12,0,0,-12
1742 台蠟,2023/8/31,1742,1,0,0,1
1742 台蠟,2023/8/30,1742,1,0,0,1
1742 台蠟,2023/8/29,1742,-3,0,0,-3
1742 台蠟,2023/8/28,1742,-1,0,0,-1
1742 台蠟,2023/8/25,1742,-1,0,0,-1
1742 台蠟,2023/8/24,1742,-11,0,0,-11
1742 台蠟,2023/8/23,1742,-5,0,0,-5
1742 台蠟,2023/8/22,1742,-19,0,0,-19
1742 台蠟,2023/8/21,1742,-4,0,0,-4
1742 台蠟,2023/8/18,1742,-5,0,0,-5
1742 台蠟,2023/8/17,1742,-2,0,0,-2
1742 台蠟,2023/8/16,1742,-9,0,0,-9
1742 台蠟,2023/8/15,1742,21,0,0,21
1742 台蠟,2023/8/14,1742,9,0,0,9
1742 台蠟,2023/8/11,1742,6,0,0,6
1742 台蠟,2023/8/10,1742,-12,0,0,-12
1742 台蠟,2023/8/9,1742,2,0,0,2
1742 台蠟,2023/8/8,1742,-3,0,0,-3
1742 台蠟,2023/8/7,1742,24,0,0,24
1742 台蠟,2023/8/4,1742,-59,0,0,-59
1742 台蠟,2023/8/2,1742,-239,0,0,-239
1742 台蠟,2023/8/1,1742,28,0,0,28
1742 台蠟,2023/7/31,1742,11,0,0,11
1742 台蠟,2023/7/28,1742,4,0,0,4
1742 台蠟,2023/7/27,1742,7,0,0,7
1742 台蠟,2023/7/26,1742,8,0,0,8
1742 台蠟,2023/7/25,1742,2,0,0,2
1742 台蠟,2023/7/24,1742,-12,0,-16,-28
1742 台蠟,2023/7/21,1742,-7,0,-8,-15
1742 台蠟,2023/7/20,1742,-1,0,0,-1
1742 台蠟,2023/7/19,1742,-28,0,0,-28
1742 台蠟,2023/7/18,1742,-43,0,0,-43
1742 台蠟,2023/7/17,1742,-5,0,0,-5
1742 台蠟,2023/7/14,1742,-16,0,0,-16
1742 台蠟,2023/7/13,1742,-36,0,-3,-39
1742 台蠟,2023/7/12,1742,38,0,0,38
1742 台蠟,2023/7/11,1742,117,0,0,117
1742 台蠟,2023/7/10,1742,12,0,0,12
1742 台蠟,2023/7/7,1742,-3,0,0,-3
1742 台蠟,2023/7/6,1742,3,0,0,3
1742 台蠟,2023/7/5,1742,18,0,0,18
1742 台蠟,2023/7/4,1742,3,0,0,3
1742 台蠟,2023/7/3,1742,25,0,0,25
1742 台蠟,2023/6/30,1742,-1,0,0,-1
1742 台蠟,2023/6/29,1742,2,0,0,2
1742 台蠟,2023/6/28,1742,-7,0,0,-7
1742 台蠟,2023/6/27,1742,-22,0,0,-22
1742 台蠟,2023/6/26,1742,55,0,0,55
1742 台蠟,2023/6/21,1742,8,0,0,8
1742 台蠟,2023/6/20,1742,49,0,0,49
1742 台蠟,2023/6/19,1742,4,0,-30,-26
1742 台蠟,2023/6/16,1742,32,0,0,32
1742 台蠟,2023/6/15,1742,20,0,0,20
1742 台蠟,2023/6/14,1742,1,0,57,58
1742 台蠟,2023/6/13,1742,-39,0,0,-39
1742 台蠟,2023/6/12,1742,2,0,0,2
1742 台蠟,2023/6/9,1742,0,0,0,0
1742 台蠟,2023/6/8,1742,-6,0,0,-6
1742 台蠟,2023/6/7,1742,0,0,0,0
1742 台蠟,2023/6/6,1742,0,0,0,0
1742 台蠟,2023/6/5,1742,0,0,0,0
1742 台蠟,2023/6/2,1742,0,0,0,0
1742 台蠟,2023/6/1,1742,1,0,0,1
1752 南光,2023/9/19,1752,34,0,2,36
1752 南光,2023/9/18,1752,110,0,-1,109
1752 南光,2023/9/15,1752,-35,0,0,-35
1752 南光,2023/9/14,1752,148,0,0,148
1752 南光,2023/9/13,1752,174,0,-1,173
1752 南光,2023/9/12,1752,59,0,-2,57
1752 南光,2023/9/11,1752,-264,0,-4,-268
1752 南光,2023/9/8,1752,64,0,-1,63
1752 南光,2023/9/7,1752,-48,0,-2,-50
1752 南光,2023/9/6,1752,95,0,-1,94
1752 南光,2023/9/5,1752,-15,0,0,-15
1752 南光,2023/9/4,1752,3,0,0,3
1752 南光,2023/9/1,1752,-26,0,0,-26
1752 南光,2023/8/31,1752,-27,0,0,-27
1752 南光,2023/8/30,1752,20,0,0,20
1752 南光,2023/8/29,1752,61,0,0,61
1752 南光,2023/8/28,1752,-121,0,0,-121
1752 南光,2023/8/25,1752,101,0,0,101
1752 南光,2023/8/24,1752,-133,0,0,-133
1752 南光,2023/8/23,1752,215,0,0,215
1752 南光,2023/8/22,1752,-27,0,-1,-28
1752 南光,2023/8/21,1752,-8,0,0,-8
1752 南光,2023/8/18,1752,-138,0,-1,-139
1752 南光,2023/8/17,1752,34,0,-1,33
1752 南光,2023/8/16,1752,-48,0,-2,-50
1752 南光,2023/8/15,1752,128,0,-21,107
1752 南光,2023/8/14,1752,188,0,2,190
1752 南光,2023/8/11,1752,40,0,-1,39
1752 南光,2023/8/10,1752,-151,0,-1,-152
1752 南光,2023/8/9,1752,-36,0,-2,-38
1752 南光,2023/8/8,1752,-262,0,-2,-264
1752 南光,2023/8/7,1752,31,0,7,38
1752 南光,2023/8/4,1752,-18,0,0,-18
1752 南光,2023/8/2,1752,-266,0,0,-266
1752 南光,2023/8/1,1752,13,0,-1,12
1752 南光,2023/7/31,1752,-195,0,4,-191
1752 南光,2023/7/28,1752,500,0,0,500
1752 南光,2023/7/27,1752,257,0,0,257
1752 南光,2023/7/26,1752,-383,0,-2,-385
1752 南光,2023/7/25,1752,-285,0,0,-285
1752 南光,2023/7/24,1752,52,0,-2,50
1752 南光,2023/7/21,1752,-83,0,0,-83
1752 南光,2023/7/20,1752,152,0,5,157
1752 南光,2023/7/19,1752,207,0,-1,206
1752 南光,2023/7/18,1752,-269,0,0,-269
1752 南光,2023/7/17,1752,49,0,0,49
1752 南光,2023/7/14,1752,210,0,0,210
1752 南光,2023/7/13,1752,89,0,0,89
1752 南光,2023/7/12,1752,-99,0,0,-99
1752 南光,2023/7/11,1752,-271,0,1,-270
1752 南光,2023/7/10,1752,86,0,1,87
1752 南光,2023/7/7,1752,167,0,-3,164
1752 南光,2023/7/6,1752,-487,0,2,-485
1752 南光,2023/7/5,1752,31,0,0,31
1752 南光,2023/7/4,1752,50,0,0,50
1752 南光,2023/7/3,1752,60,0,3,63
1752 南光,2023/6/30,1752,-446,0,0,-446
1752 南光,2023/6/29,1752,501,0,-2,499
1752 南光,2023/6/28,1752,-308,0,2,-306
1752 南光,2023/6/27,1752,-231,0,-6,-237
1752 南光,2023/6/26,1752,-305,0,0,-305
1752 南光,2023/6/21,1752,27,0,0,27
1752 南光,2023/6/20,1752,-651,0,1,-650
1752 南光,2023/6/19,1752,-41,0,2,-39
1752 南光,2023/6/16,1752,132,0,-14,118
1752 南光,2023/6/15,1752,-507,-400,0,-907
1752 南光,2023/6/14,1752,-204,0,-8,-212
1752 南光,2023/6/13,1752,-131,-397,0,-528
1752 南光,2023/6/12,1752,-2745,0,-20,-2765
1752 南光,2023/6/9,1752,-1189,0,15,-1174
1752 南光,2023/6/8,1752,-1368,0,0,-1368
1752 南光,2023/6/7,1752,-169,0,-1,-170
1752 南光,2023/6/6,1752,-248,0,0,-248
1752 南光,2023/6/5,1752,-124,0,2,-122
1752 南光,2023/6/2,1752,-80,0,3,-77
1752 南光,2023/6/1,1752,48,-326,-4,-282
1760 寶齡富錦,2023/9/19,1760,-354,0,-9,-363
1760 寶齡富錦,2023/9/18,1760,164,0,6,170
1760 寶齡富錦,2023/9/15,1760,-16,0,-11,-27
1760 寶齡富錦,2023/9/14,1760,-107,0,1,-106
1760 寶齡富錦,2023/9/13,1760,279,0,29,308
1760 寶齡富錦,2023/9/12,1760,-109,0,-8,-117
1760 寶齡富錦,2023/9/11,1760,-22,0,-6,-28
1760 寶齡富錦,2023/9/8,1760,-94,0,-6,-100
1760 寶齡富錦,2023/9/7,1760,-48,0,12,-36
1760 寶齡富錦,2023/9/6,1760,84,0,-3,81
1760 寶齡富錦,2023/9/5,1760,37,0,-5,32
1760 寶齡富錦,2023/9/4,1760,118,0,1,119
1760 寶齡富錦,2023/9/1,1760,114,0,-2,112
1760 寶齡富錦,2023/8/31,1760,-256,0,19,-237
1760 寶齡富錦,2023/8/30,1760,103,0,-4,99
1760 寶齡富錦,2023/8/29,1760,281,0,6,287
1760 寶齡富錦,2023/8/28,1760,-145,0,0,-145
1760 寶齡富錦,2023/8/25,1760,103,0,-6,97
1760 寶齡富錦,2023/8/24,1760,93,0,-1,92
1760 寶齡富錦,2023/8/23,1760,-34,0,-1,-35
1760 寶齡富錦,2023/8/22,1760,-97,0,-4,-101
1760 寶齡富錦,2023/8/21,1760,-1158,0,25,-1133
1760 寶齡富錦,2023/8/18,1760,-102,0,-1,-103
1760 寶齡富錦,2023/8/17,1760,-3,0,-52,-55
1760 寶齡富錦,2023/8/16,1760,90,0,-49,41
1760 寶齡富錦,2023/8/15,1760,66,0,112,178
1760 寶齡富錦,2023/8/14,1760,568,0,-18,550
1760 寶齡富錦,2023/8/11,1760,160,0,2,162
1760 寶齡富錦,2023/8/10,1760,348,0,-14,334
1760 寶齡富錦,2023/8/9,1760,89,0,-9,80
1760 寶齡富錦,2023/8/8,1760,-129,0,-8,-137
1760 寶齡富錦,2023/8/7,1760,205,0,-2,203
1760 寶齡富錦,2023/8/4,1760,62,0,0,62
1760 寶齡富錦,2023/8/2,1760,217,0,-10,207
1760 寶齡富錦,2023/8/1,1760,-113,0,-8,-121
1760 寶齡富錦,2023/7/31,1760,80,0,16,96
1760 寶齡富錦,2023/7/28,1760,-79,-275,7,-347
1760 寶齡富錦,2023/7/27,1760,1797,0,-215,1582
1760 寶齡富錦,2023/7/26,1760,-472,0,-18,-490
1760 寶齡富錦,2023/7/25,1760,201,0,8,209
1760 寶齡富錦,2023/7/24,1760,-175,0,-23,-198
1760 寶齡富錦,2023/7/21,1760,-12,0,6,-6
1760 寶齡富錦,2023/7/20,1760,-95,0,-10,-105
1760 寶齡富錦,2023/7/19,1760,128,0,27,155
1760 寶齡富錦,2023/7/18,1760,-332,0,-95,-427
1760 寶齡富錦,2023/7/17,1760,242,0,112,354
1760 寶齡富錦,2023/7/14,1760,110,0,3,113
1760 寶齡富錦,2023/7/13,1760,79,0,-79,0
1760 寶齡富錦,2023/7/12,1760,49,0,3,52
1760 寶齡富錦,2023/7/11,1760,67,0,2,69
1760 寶齡富錦,2023/7/10,1760,-17,0,-17,-34
1760 寶齡富錦,2023/7/7,1760,-125,0,-7,-132
1760 寶齡富錦,2023/7/6,1760,-421,0,30,-391
1760 寶齡富錦,2023/7/5,1760,-442,0,-66,-508
1760 寶齡富錦,2023/7/4,1760,57,-52,99,104
1760 寶齡富錦,2023/7/3,1760,152,-53,-36,63
1760 寶齡富錦,2023/6/30,1760,-360,0,-6,-366
1760 寶齡富錦,2023/6/29,1760,299,0,60,359
1760 寶齡富錦,2023/6/28,1760,27,0,-30,-3
1760 寶齡富錦,2023/6/27,1760,-560,25,20,-515
1760 寶齡富錦,2023/6/26,1760,-310,0,31,-279
1760 寶齡富錦,2023/6/21,1760,541,0,1,542
1760 寶齡富錦,2023/6/20,1760,-172,0,-9,-181
1760 寶齡富錦,2023/6/19,1760,10,0,-29,-19
1760 寶齡富錦,2023/6/16,1760,27,0,2,29
1760 寶齡富錦,2023/6/15,1760,98,0,19,117
1760 寶齡富錦,2023/6/14,1760,-68,0,7,-61
1760 寶齡富錦,2023/6/13,1760,148,0,-22,126
1760 寶齡富錦,2023/6/12,1760,5,0,-41,-36
1760 寶齡富錦,2023/6/9,1760,61,0,-4,57
1760 寶齡富錦,2023/6/8,1760,-376,0,-46,-422
1760 寶齡富錦,2023/6/7,1760,166,0,64,230
1760 寶齡富錦,2023/6/6,1760,133,0,-6,127
1760 寶齡富錦,2023/6/5,1760,351,-189,9,171
1760 寶齡富錦,2023/6/2,1760,-86,0,-2,-88
1760 寶齡富錦,2023/6/1,1760,-236,-102,-19,-357
1762 中化生,2023/9/19,1762,-191,0,-1,-192
1762 中化生,2023/9/18,1762,-57,0,0,-57
1762 中化生,2023/9/15,1762,-189,0,1,-188
1762 中化生,2023/9/14,1762,-49,0,-1,-50
1762 中化生,2023/9/13,1762,11,0,0,11
1762 中化生,2023/9/12,1762,-142,0,-1,-143
1762 中化生,2023/9/11,1762,-214,0,0,-214
1762 中化生,2023/9/8,1762,-65,0,0,-65
1762 中化生,2023/9/7,1762,-61,0,-2,-63
1762 中化生,2023/9/6,1762,-84,0,-5,-89
1762 中化生,2023/9/5,1762,-253,0,0,-253
1762 中化生,2023/9/4,1762,-202,0,-1,-203
1762 中化生,2023/9/1,1762,-42,0,-1,-43
1762 中化生,2023/8/31,1762,-339,0,1,-338
1762 中化生,2023/8/30,1762,-30,0,1,-29
1762 中化生,2023/8/29,1762,70,0,0,70
1762 中化生,2023/8/28,1762,-186,0,-1,-187
1762 中化生,2023/8/25,1762,0,0,-1,-1
1762 中化生,2023/8/24,1762,-51,0,0,-51
1762 中化生,2023/8/23,1762,-56,0,0,-56
1762 中化生,2023/8/22,1762,-230,0,0,-230
1762 中化生,2023/8/21,1762,126,0,0,126
1762 中化生,2023/8/18,1762,-23,0,1,-22
1762 中化生,2023/8/17,1762,-10,0,-1,-11
1762 中化生,2023/8/16,1762,-14,0,-3,-17
1762 中化生,2023/8/15,1762,80,0,-17,63
1762 中化生,2023/8/14,1762,585,0,-28,557
1762 中化生,2023/8/11,1762,289,0,-11,278
1762 中化生,2023/8/10,1762,-4,0,1,-3
1762 中化生,2023/8/9,1762,694,0,-5,689
1762 中化生,2023/8/8,1762,-120,0,-17,-137
1762 中化生,2023/8/7,1762,370,0,-23,347
1762 中化生,2023/8/4,1762,11,0,-5,6
1762 中化生,2023/8/2,1762,-226,0,9,-217
1762 中化生,2023/8/1,1762,22,0,11,33
1762 中化生,2023/7/31,1762,-660,0,-16,-676
1762 中化生,2023/7/28,1762,-277,0,0,-277
1762 中化生,2023/7/27,1762,219,0,22,241
1762 中化生,2023/7/26,1762,-317,0,14,-303
1762 中化生,2023/7/25,1762,181,0,13,194
1762 中化生,2023/7/24,1762,-171,0,0,-171
1762 中化生,2023/7/21,1762,-331,0,35,-296
1762 中化生,2023/7/20,1762,-88,0,-36,-124
1762 中化生,2023/7/19,1762,138,0,-10,128
1762 中化生,2023/7/18,1762,-415,0,-15,-430
1762 中化生,2023/7/17,1762,-99,0,-21,-120
1762 中化生,2023/7/14,1762,-141,0,5,-136
1762 中化生,2023/7/13,1762,119,-33,-26,60
1762 中化生,2023/7/12,1762,389,-42,-120,227
1762 中化生,2023/7/11,1762,-1909,-30,-243,-2182
1762 中化生,2023/7/10,1762,-245,0,36,-209
1762 中化生,2023/7/7,1762,54,0,-22,32
1762 中化生,2023/7/6,1762,-113,0,6,-107
1762 中化生,2023/7/5,1762,232,0,-33,199
1762 中化生,2023/7/4,1762,170,30,46,246
1762 中化生,2023/7/3,1762,548,0,15,563
1762 中化生,2023/6/30,1762,381,0,20,401
1762 中化生,2023/6/29,1762,315,25,40,380
1762 中化生,2023/6/28,1762,-379,40,21,-318
1762 中化生,2023/6/27,1762,-77,330,36,289
1762 中化生,2023/6/26,1762,-234,0,-17,-251
1762 中化生,2023/6/21,1762,-162,0,-10,-172
1762 中化生,2023/6/20,1762,128,0,8,136
1762 中化生,2023/6/19,1762,-27,0,-18,-45
1762 中化生,2023/6/16,1762,158,0,-11,147
1762 中化生,2023/6/15,1762,211,0,-13,198
1762 中化生,2023/6/14,1762,37,0,4,41
1762 中化生,2023/6/13,1762,63,0,53,116
1762 中化生,2023/6/12,1762,-2760,0,-80,-2839
1762 中化生,2023/6/9,1762,230,0,25,255
1762 中化生,2023/6/8,1762,-670,0,-2,-672
1762 中化生,2023/6/7,1762,-341,0,-3,-344
1762 中化生,2023/6/6,1762,-205,0,2,-203
1762 中化生,2023/6/5,1762,212,0,13,225
1762 中化生,2023/6/2,1762,-281,-409,3,-687
1762 中化生,2023/6/1,1762,-63,0,17,-46
1773 勝一,2023/9/19,1773,-13,0,-5,-18
1773 勝一,2023/9/18,1773,-2,0,-1,-3
1773 勝一,2023/9/15,1773,41,0,0,41
1773 勝一,2023/9/14,1773,12,0,1,13
1773 勝一,2023/9/13,1773,-2,0,0,-1
1773 勝一,2023/9/12,1773,-2,0,0,-2
1773 勝一,2023/9/11,1773,6,0,-1,5
1773 勝一,2023/9/8,1773,14,0,-2,12
1773 勝一,2023/9/7,1773,-4,0,-10,-14
1773 勝一,2023/9/6,1773,-5,0,-12,-17
1773 勝一,2023/9/5,1773,18,0,0,18
1773 勝一,2023/9/4,1773,20,0,-1,19
1773 勝一,2023/9/1,1773,41,0,-2,39
1773 勝一,2023/8/31,1773,39,0,-5,34
1773 勝一,2023/8/30,1773,5,0,1,6
1773 勝一,2023/8/29,1773,-10,0,0,-10
1773 勝一,2023/8/28,1773,0,0,0,0
1773 勝一,2023/8/25,1773,65,0,1,66
1773 勝一,2023/8/24,1773,5,0,-8,-3
1773 勝一,2023/8/23,1773,3,0,-1,2
1773 勝一,2023/8/22,1773,-12,0,5,-7
1773 勝一,2023/8/21,1773,10,0,-1,9
1773 勝一,2023/8/18,1773,-27,0,-1,-28
1773 勝一,2023/8/17,1773,-3,0,-4,-7
1773 勝一,2023/8/16,1773,27,0,-1,26
1773 勝一,2023/8/15,1773,-50,0,-13,-63
1773 勝一,2023/8/14,1773,-24,0,2,-22
1773 勝一,2023/8/11,1773,-33,0,5,-28
1773 勝一,2023/8/10,1773,-38,0,-1,-39
1773 勝一,2023/8/9,1773,17,0,-3,14
1773 勝一,2023/8/8,1773,-35,0,-23,-58
1773 勝一,2023/8/7,1773,23,0,-6,17
1773 勝一,2023/8/4,1773,42,18,-4,56
1773 勝一,2023/8/2,1773,-34,18,-11,-27
1773 勝一,2023/8/1,1773,-29,0,0,-29
1773 勝一,2023/7/31,1773,2,0,-3,-1
1773 勝一,2023/7/28,1773,55,0,0,55
1773 勝一,2023/7/27,1773,15,0,0,15
1773 勝一,2023/7/26,1773,136,0,1,137
1773 勝一,2023/7/25,1773,2,0,0,2
1773 勝一,2023/7/24,1773,-12,0,-1,-13
1773 勝一,2023/7/21,1773,-33,0,-3,-36
1773 勝一,2023/7/20,1773,39,0,-1,38
1773 勝一,2023/7/19,1773,-33,0,-2,-35
1773 勝一,2023/7/18,1773,201,0,5,206
1773 勝一,2023/7/17,1773,111,0,-3,108
1773 勝一,2023/7/14,1773,1,0,1,2
1773 勝一,2023/7/13,1773,-27,0,0,-27
1773 勝一,2023/7/12,1773,-27,0,-6,-33
1773 勝一,2023/7/11,1773,6,0,0,6
1773 勝一,2023/7/10,1773,12,0,-14,-2
1773 勝一,2023/7/7,1773,-25,0,-7,-32
1773 勝一,2023/7/6,1773,-32,0,-22,-54
1773 勝一,2023/7/5,1773,-34,0,-14,-48
1773 勝一,2023/7/4,1773,0,0,-2,-2
1773 勝一,2023/7/3,1773,-19,0,10,-9
1773 勝一,2023/6/30,1773,18,0,0,18
1773 勝一,2023/6/29,1773,-29,0,12,-17
