m_date,company_id,revenue_release_date,revenue_m,revenue_m_lastyear, revenue_vs_lastyear_ratio, revenue_mom_ratio, revenue_growth_month,cumulative_revenue,cumulative_revenue_lastyear, cumulative_revenue_vs_lastyear_ratio
2023/10/31,5452,2023/11/6,453973 ,431936 ,5.10 ,-1.50 ,-2 ,4532601 ,5406625 ,-16.17 
2023/10/31,5455,2023/11/9,187 ,251 ,-25.50 ,0.54 ,1 ,1867 ,593926 ,-99.69 
2023/10/31,5457,2023/11/10,1369705 ,1838900 ,-25.51 ,-21.29 ,-1 ,13984567 ,16568754 ,-15.60 
2023/10/31,5460,2023/11/9,23749 ,41076 ,-42.18 ,-17.10 ,-3 ,302130 ,324175 ,-6.80 
2023/10/31,5464,2023/11/7,104255 ,122273 ,-14.74 ,6.61 ,1 ,907135 ,1185270 ,-23.47 
2023/10/31,5465,2023/11/8,431098 ,358915 ,20.11 ,0.07 ,1 ,4484584 ,3673325 ,22.09 
2023/10/31,5468,2023/11/9,9573 ,11574 ,-17.29 ,2.39 ,1 ,97136 ,142053 ,-31.62 
2023/10/31,5469,2023/11/9,3610562 ,4134204 ,-12.67 ,-5.95 ,-3 ,36501605 ,40694901 ,-10.30 
2023/10/31,5471,2023/11/6,247673 ,186159 ,33.04 ,0.42 ,3 ,2147380 ,2984669 ,-28.05 
2023/10/31,5474,2023/11/10,105311 ,100458 ,4.83 ,32.25 ,1 ,966732 ,1179819 ,-18.06 
2023/10/31,5475,2023/11/9,31225 ,43388 ,-28.03 ,-48.85 ,-2 ,481215 ,521903 ,-7.80 
2023/10/31,5478,2023/11/10,456969 ,526762 ,-13.25 ,-10.51 ,-1 ,5151379 ,4971894 ,3.61 
2023/10/31,5481,2023/11/3,6975 ,6992 ,-0.24 ,-19.55 ,-2 ,80506 ,78485 ,2.58 
2023/10/31,5483,2023/11/8,6303253 ,7415788 ,-15.00 ,-12.99 ,-1 ,67126492 ,68082163 ,-1.40 
2023/10/31,5484,2023/11/10,34357 ,35280 ,-2.62 ,12.11 ,2 ,308620 ,256917 ,20.12 
2023/10/31,5487,2023/11/8,12363 ,14242 ,-13.19 ,11.42 ,1 ,128680 ,208329 ,-38.23 
2023/10/31,5488,2023/11/9,40464 ,105522 ,-61.65 ,-13.40 ,-2 ,796312 ,959659 ,-17.02 
2023/10/31,5489,2023/11/8,135368 ,148347 ,-8.75 ,2.54 ,4 ,1246583 ,1439760 ,-13.42 
2023/10/31,5490,2023/11/2,89793 ,68530 ,31.03 ,33.43 ,1 ,612752 ,1228907 ,-50.14 
2023/10/31,5493,2023/11/9,309298 ,284424 ,8.75 ,-12.27 ,-1 ,2966006 ,3099019 ,-4.29 
2023/10/31,5498,2023/11/10,98656 ,111125 ,-11.22 ,-2.17 ,-1 ,878978 ,1235743 ,-28.87 
2023/10/31,5508,2023/11/1,1066968 ,289122 ,269.04 ,0.19 ,3 ,5773790 ,3532896 ,63.43 
2023/10/31,5511,2023/11/10,932585 ,544416 ,71.30 ,6.73 ,3 ,8353123 ,6525613 ,28.01 
2023/10/31,5512,2023/11/10,626379 ,439069 ,42.66 ,2.46 ,1 ,6835055 ,5098924 ,34.05 
2023/10/31,5514,2023/11/7,482 ,548 ,-12.04 ,-12.04 ,-1 ,6312 ,5269 ,19.80 
2023/10/31,5515,2023/11/9,350073 ,352062 ,-0.56 ,28.65 ,2 ,3256160 ,4018597 ,-18.97 
2023/10/31,5516,2023/11/8,166345 ,206672 ,-19.51 ,226.05 ,1 ,2096080 ,1762172 ,18.95 
2023/10/31,5519,2023/11/9,470162 ,678445 ,-30.70 ,181.81 ,1 ,2202589 ,4400827 ,-49.95 
2023/10/31,5520,2023/11/9,324668 ,296204 ,9.61 ,1.40 ,1 ,3123999 ,2722273 ,14.76 
2023/10/31,5521,2023/11/10,563985 ,315038 ,79.02 ,17.76 ,2 ,4425368 ,3850333 ,14.93 
2023/10/31,5522,2023/11/8,1493898 ,3324297 ,-55.06 ,-25.18 ,-1 ,13277226 ,21826254 ,-39.17 
2023/10/31,5523,2023/11/7,228311 ,349 ,65318.62 ,90.45 ,2 ,2522454 ,215799 ,1068.89 
2023/10/31,5525,2023/11/9,81858 ,77051 ,6.24 ,-54.17 ,-2 ,4887391 ,4291900 ,13.87 
2023/10/31,5529,2023/11/10,8493 ,57826 ,-85.31 ,40.92 ,1 ,79755 ,142766 ,-44.14 
2023/10/31,5530,2023/11/10,396027 ,367518 ,7.76 ,31.47 ,2 ,3384628 ,3392941 ,-0.25 
2023/10/31,5531,2023/11/10,234425 ,133315 ,75.84 ,-47.84 ,-1 ,3588136 ,1194385 ,200.42 
2023/10/31,5533,2023/11/10,149596 ,106180 ,40.89 ,-29.90 ,-2 ,3507848 ,4721563 ,-25.71 
2023/10/31,5534,2023/11/10,4096599 ,91096 ,4397.01 ,342.47 ,4 ,7078811 ,6165171 ,14.82 
2023/10/31,5536,2023/11/9,2018897 ,2313633 ,-12.74 ,-21.80 ,-1 ,20455612 ,22550158 ,-9.29 
2023/10/31,5538,2023/11/6,835912 ,1270719 ,-34.22 ,-12.81 ,-2 ,10868205 ,13007786 ,-16.45 
2023/10/31,5543,2023/11/10,300186 ,280099 ,7.17 ,19.37 ,3 ,2744167 ,3022576 ,-9.21 
2023/10/31,5546,2023/11/10,300528 ,431338 ,-30.33 ,-9.13 ,-1 ,3091007 ,3871971 ,-20.17 
2023/10/31,5601,2023/11/6,7404 ,7322 ,1.12 ,-0.99 ,-1 ,72962 ,71852 ,1.54 
2023/10/31,5603,2023/11/8,112554 ,134957 ,-16.60 ,-20.41 ,-1 ,1526937 ,1654506 ,-7.71 
2023/10/31,5604,2023/11/7,13432 ,13602 ,-1.25 ,-0.77 ,-1 ,133480 ,134274 ,-0.59 
2023/10/31,5607,2023/11/9,246746 ,267940 ,-7.91 ,-1.91 ,-1 ,2374216 ,2682520 ,-11.49 
2023/10/31,5608,2023/11/9,296158 ,519184 ,-42.96 ,7.59 ,1 ,2928334 ,5935832 ,-50.67 
2023/10/31,5609,2023/11/6,1945211 ,2884387 ,-32.56 ,7.06 ,4 ,17610579 ,35998423 ,-51.08 
2023/10/31,5701,2023/11/10,42664 ,39928 ,6.85 ,1.86 ,1 ,449012 ,379347 ,18.36 
2023/10/31,5703,2023/11/8,38816 ,23491 ,65.24 ,12.57 ,4 ,337590 ,181754 ,85.74 
2023/10/31,5704,2023/11/6,37888 ,38548 ,-1.71 ,49.73 ,1 ,378615 ,392657 ,-3.58 
2023/10/31,5706,2023/11/10,317388 ,12831 ,2373.60 ,37.98 ,2 ,1944190 ,96872 ,1906.97 
2023/10/31,5864,2023/11/10,-121709 ,-145298 ,16.23 ,-23.32 ,-1 ,723514 ,-202198 ,457.82 
2023/10/31,5871,2023/11/10,8425309 ,7697074 ,9.46 ,3.01 ,1 ,80887192 ,71098584 ,13.77 
2023/10/31,5876,2023/11/9,3863725 ,3714496 ,4.02 ,-7.39 ,-4 ,42089710 ,37049464 ,13.60 
2023/10/31,5878,2023/11/10,75498 ,71887 ,5.02 ,14.73 ,1 ,630273 ,603120 ,4.50 
2023/10/31,5880,2023/11/9,4670175 ,4088455 ,14.23 ,-1.44 ,-4 ,50769384 ,42894603 ,18.36 
2023/10/31,5902,2023/11/10,158825 ,150675 ,5.41 ,-9.50 ,-2 ,1839261 ,1836207 ,0.17 
2023/10/31,5903,2023/11/9,8617374 ,7960850 ,8.25 ,1.63 ,1 ,82743291 ,75160860 ,10.09 
2023/10/31,5904,2023/11/10,1909304 ,1658970 ,15.09 ,-1.35 ,-1 ,18353137 ,15995289 ,14.74 
2023/10/31,5905,2023/11/10,84855 ,86506 ,-1.91 ,31.75 ,1 ,904903 ,816016 ,10.89 
2023/10/31,5906,2023/11/10,174452 ,168309 ,3.65 ,38.15 ,1 ,1749972 ,1454624 ,20.30 
2023/10/31,5907,2023/11/10,357707 ,359733 ,-0.56 ,26.12 ,1 ,3169501 ,3614693 ,-12.32 
2023/10/31,6005,2023/11/10,901164 ,500932 ,79.90 ,-14.75 ,-2 ,10057991 ,6299504 ,59.66 
2023/10/31,6015,2023/11/7,3198 ,-33182 ,109.64 ,-94.69 ,-3 ,911836 ,550419 ,65.66 
2023/10/31,6016,2023/11/9,-171087 ,-4466 ,-3730.88 ,-277.28 ,-4 ,2703028 ,1477016 ,83.01 
