date,company_id,foreign_investors,investment_banks ,dealer,all_institutional_investors,foreign_investors_day,investment_banks_days,dealer_days,all_institutional_investors_days,directors_stock_ratio,directors_stock,financing_balance,margin_balance,sale_margin_purchase_ratio,margin_balance_ratio,financing_balance_ratio,200_400_ratio,400_600_ratio,600_800_ratio,800_1000_ratio,1000up_ratio
2023/6/30,1101,"-2,276",-798,-29,"-3,103",-4,-1,-4,-4,7.89,"564,677","18,227",57,0.31,-44.12,-0.19,2.86,1.6,1.07,0.92,57.64
2023/6/29,1101,-651,5,-24,-671,-3,4,-3,-3,7.89,"564,677","18,261",102,0.56,0.99,-0.15,,,,,
2023/6/28,1101,"-7,907",10,-241,"-8,138",-2,3,-2,-2,7.89,"564,677","18,289",101,0.55,-5.61,-2.47,,,,,
2023/6/27,1101,"-1,605",15,-93,"-1,682",-1,2,-1,-1,7.89,"564,677","18,753",107,0.57,-16.41,-1.29,,,,,
2023/6/26,1101,"1,270",6,382,"1,658",2,1,2,1,7.89,"564,677","18,999",128,0.67,0.79,0.45,,,,,
2023/6/21,1101,563,"-1,129",324,-242,1,-2,1,-3,7.89,"564,677","18,913",127,0.67,0,-0.27,2.86,1.61,1.06,0.9,57.78
2023/6/20,1101,-174,-903,-88,"-1,165",-2,-1,-2,-2,7.89,"564,677","18,964",127,0.67,0,-2.48,,,,,
2023/6/19,1101,"-2,705",67,-629,"-3,267",-1,1,-1,-1,7.89,"564,677","19,446",127,0.65,0.79,2.91,,,,,
2023/6/16,1101,"8,084","-4,148","1,463","5,398",2,-5,1,2,7.89,"564,677","18,896",126,0.67,-3.08,6.72,,,,,
2023/6/15,1101,"3,461","-1,046",-18,"2,397",1,-4,-1,1,7.89,"564,677","17,706",130,0.73,-4.41,0.11,,,,,
2023/6/14,1101,-687,-194,213,-668,-1,-3,2,-1,7.89,"564,677","17,686",136,0.77,-3.55,-0.06,,,,,
2023/6/13,1101,"1,190",-750,371,811,1,-2,1,1,7.89,"564,677","17,696",141,0.8,-4.08,0.72,,,,,
2023/6/12,1101,-44,"-5,400",-77,"-5,520",-1,-1,-5,-1,7.89,"564,677","17,570",147,0.84,2.08,-0.76,,,,,
2023/6/9,1101,"2,193",39,-429,"1,803",1,1,-4,1,7.89,"564,677","17,705",144,0.81,0,-1.81,2.83,1.57,1.02,0.88,58.28
2023/6/8,1101,-454,-73,-278,-806,-1,-2,-3,-1,7.89,"564,677","18,032",144,0.8,-0.69,-0.52,,,,,
2023/6/7,1101,"2,589",-26,-351,"2,212",4,-1,-2,4,7.89,"564,677","18,126",145,0.8,0.69,-0.25,,,,,
2023/6/6,1101,"2,433",90,-620,"1,903",3,1,-1,3,7.89,"564,677","18,171",144,0.79,-1.37,-1.12,,,,,
2023/6/5,1101,"2,869",-986,346,"2,228",2,-14,2,2,7.89,"564,677","18,377",146,0.79,-2.67,2.29,,,,,
2023/6/2,1101,"11,454","-3,576","1,502","9,380",1,-13,1,1,7.89,"564,677","17,966",150,0.83,-3.23,3.54,2.82,1.57,1.03,0.9,58.06
2023/6/1,1101,"-3,923","-4,311",-885,"-9,119",-2,-12,-1,-2,7.89,"564,677","17,352",155,0.89,0,1.02,,,,,
2023/6/30,1102,-378,72,-3,-309,-1,6,-1,-1,27.36,"970,385","1,413",4,0.28,0,0.57,1.75,1.32,0.62,0.54,80.31
2023/6/29,1102,695,194,339,"1,228",1,5,3,1,27.36,"970,385","1,405",4,0.28,0,1.74,,,,,
2023/6/28,1102,-826,282,448,-96,-2,4,2,-1,27.36,"970,385","1,381",4,0.29,0,0.07,,,,,
2023/6/27,1102,-77,179,91,193,-1,3,1,2,27.36,"970,385","1,380",4,0.29,0,-0.14,,,,,
2023/6/26,1102,"1,575","1,495",-231,"2,839",1,2,-9,1,27.36,"970,385","1,382",4,0.29,0,1.32,,,,,
2023/6/21,1102,"-1,547","1,366",-171,-352,-1,1,-8,-7,27.36,"970,385","1,364",4,0.29,0,-0.37,1.73,1.34,0.68,0.54,80.17
2023/6/20,1102,"1,871","-1,542",-361,-32,4,-8,-7,-6,27.36,"970,385","1,369",4,0.29,0,0,,,,,
2023/6/19,1102,651,-726,-130,-205,3,-7,-6,-5,27.36,"970,385","1,369",4,0.29,0,0,,,,,
2023/6/16,1102,71,-805,-28,-762,2,-6,-5,-4,27.36,"970,385","1,369",4,0.29,0,0.15,,,,,
2023/6/15,1102,424,-900,-417,-893,1,-5,-4,-3,27.36,"970,385","1,367",4,0.29,0,-1.37,,,,,
2023/6/14,1102,-831,-988,-231,"-2,050",-1,-4,-3,-2,27.36,"970,385","1,386",4,0.29,0,-1.35,,,,,
2023/6/13,1102,274,-966,-64,-756,4,-3,-2,-1,27.36,"970,385","1,405",4,0.28,0,1.81,,,,,
2023/6/12,1102,504,-15,-150,339,3,-2,-1,7,27.36,"970,385","1,380",4,0.29,0,-0.07,,,,,
2023/6/9,1102,557,-79,201,678,2,-1,4,6,27.36,"970,385","1,381",4,0.29,0,0,1.72,1.33,0.66,0.56,80.28
2023/6/8,1102,"1,272",2,558,"1,832",1,1,3,5,27.36,"970,385","1,381",4,0.29,0,-3.76,,,,,
2023/6/7,1102,-285,-50,525,190,-1,-1,2,4,27.36,"970,385","1,435",4,0.28,0,0.56,,,,,
2023/6/6,1102,690,217,8,915,3,1,1,3,27.36,"970,385","1,427",4,0.28,0,-0.35,,,,,
2023/6/5,1102,243,-41,-80,123,2,-1,-2,2,27.36,"970,385","1,432",4,0.28,0,0.21,,,,,
2023/6/2,1102,477,554,-48,983,1,7,-1,1,27.36,"970,385","1,429",4,0.28,0,-0.07,1.72,1.39,0.62,0.57,80.14
2023/6/1,1102,-573,215,0,-358,-7,6,,-7,27.36,"970,385","1,430",4,0.28,0,-2.46,,,,,
2023/6/30,1103,189,0,1,190,1,,5,1,17.15,"132,871","2,434",0,0,-100,-1.93,2.72,1.79,0.97,0.95,74.41
2023/6/29,1103,-55,0,42,-13,-7,,4,-7,17.15,"132,871","2,482",2,0.08,0,-3.46,,,,,
2023/6/28,1103,-104,0,18,-86,-6,,3,-6,17.15,"132,871","2,571",0,0,0,0.12,,,,,
2023/6/27,1103,-264,0,25,-239,-5,,2,-5,17.15,"132,871","2,568",0,0,0,-1.46,,,,,
2023/6/26,1103,-423,0,8,-415,-4,,1,-4,17.15,"132,871","2,606",0,0,0,-11,,,,,
2023/6/21,1103,-410,0,-351,-761,-3,,-1,-3,17.15,"132,871","2,928",0,0,-100,-1.28,2.92,1.72,0.98,1.29,74.31
2023/6/20,1103,"-1,273",0,345,-928,-2,,3,-2,17.15,"132,871","2,966",52,1.75,126.09,32.06,,,,,
2023/6/19,1103,-369,0,65,-304,-1,,2,-1,17.15,"132,871","2,246",23,1.02,130,55.43,,,,,
2023/6/16,1103,"1,005",0,14,"1,019",4,,1,4,17.15,"132,871","1,445",10,0.69,0,1.76,,,,,
2023/6/15,1103,7,0,0,7,3,,,3,17.15,"132,871","1,420",0,0,0,-2.61,,,,,
2023/6/14,1103,168,0,14,182,2,,2,2,17.15,"132,871","1,458",0,0,0,1.67,,,,,
2023/6/13,1103,69,0,32,101,1,,1,1,17.15,"132,871","1,434",0,0,0,-0.97,,,,,
2023/6/12,1103,-44,0,-1,-45,-1,,-1,-1,17.15,"132,871","1,448",0,0,-100,-1.03,,,,,
2023/6/9,1103,132,0,0,132,5,,,5,17.15,"132,871","1,463",1,0.07,0,-0.95,2.91,1.65,0.96,1.05,74.58
2023/6/8,1103,123,0,9,132,4,,1,4,17.15,"132,871","1,477",1,0.07,0,2,,,,,
2023/6/7,1103,451,0,-14,437,3,,-1,3,17.15,"132,871","1,448",1,0.07,0,-0.69,,,,,
2023/6/6,1103,212,0,0,212,2,,,2,17.15,"132,871","1,458",1,0.07,0,-3.7,,,,,
2023/6/5,1103,191,0,0,191,1,,,1,17.15,"132,871","1,514",1,0.07,0,-2.95,,,,,
2023/6/2,1103,-91,0,0,-91,-2,,,-2,17.15,"132,871","1,560",1,0.06,0,-1.02,2.97,1.64,0.88,1.05,74.58
