date,company_id,foreign_investors,investment_banks ,dealer,all_institutional_investors,foreign_investors_day,investment_banks_days,dealer_days,all_institutional_investors_days,directors_stock_ratio,directors_stock,financing_balance,margin_balance,sale_margin_purchase_ratio,margin_balance_ratio,financing_balance_ratio,200_400_ratio,400_600_ratio,600_800_ratio,800_1000_ratio,1000up_ratio
2023/11/30,1101,-483,"8,159",-47,"7,630",-7,8,-2,1,7.48,"564,677","18,187","4,993",27.45,0.28,-5.75,,,,,
2023/11/29,1101,"-10,214","4,945",-996,"-6,265",-6,7,-1,-2,7.48,"564,677","19,297","4,979",25.8,-0.06,-0.4,,,,,
2023/11/28,1101,"-23,357","4,496","1,829","-17,032",-5,6,2,-1,7.48,"564,677","19,374","4,982",25.71,-0.24,2.84,,,,,
2023/11/27,1101,"-2,683","4,361",8,"1,686",-4,5,1,3,7.48,"564,677","18,839","4,994",26.51,0.22,-0.08,,,,,
2023/11/24,1101,"-3,074","4,471",-523,874,-3,4,-3,2,7.48,"564,677","18,855","4,983",26.43,-0.1,0.16,3.03,1.69,1.08,0.95,54.17
2023/11/23,1101,"-4,874","5,320",-194,252,-2,3,-2,1,7.48,"564,677","18,824","4,988",26.5,-0.18,0.21,,,,,
2023/11/22,1101,"-4,356","1,178",-149,"-3,327",-1,2,-1,-1,7.48,"564,677","18,785","4,997",26.6,0.22,0.41,,,,,
2023/11/21,1101,"2,966","1,477",236,"4,679",1,1,2,1,7.48,"564,677","18,709","4,986",26.65,0.34,-1.37,,,,,
2023/11/20,1101,-165,0,127,-38,-1,,1,-1,7.48,"564,677","18,969","4,969",26.2,0.22,-0.07,,,,,
2023/11/17,1101,980,53,-119,914,1,2,-1,1,7.48,"564,677","18,982","4,958",26.12,-0.04,-0.71,3.06,1.7,1.11,0.95,54.08
2023/11/16,1101,"-4,043",658,132,"-3,253",-1,1,3,-1,7.48,"564,677","19,117","4,960",25.95,-0.02,1.52,,,,,
2023/11/15,1101,"12,698",-974,"1,276","13,000",1,-1,2,1,7.89,"564,677","18,830","4,961",26.35,-0.1,-0.2,,,,,
2023/11/14,1101,"-4,813",423,71,"-4,319",-3,4,1,-3,7.89,"564,677","18,867","4,966",26.32,-0.02,0.37,,,,,
2023/11/13,1101,-849,691,-205,-363,-2,3,-2,-2,7.89,"564,677","18,797","4,967",26.42,-0.02,-0.74,,,,,
2023/11/10,1101,"-1,646",527,-65,"-1,184",-1,2,-1,-1,7.89,"564,677","18,937","4,968",26.23,0.2,-0.29,2.98,1.66,1.09,0.98,54.56
2023/11/9,1101,46,419,200,665,2,1,6,2,7.89,"564,677","18,993","4,958",26.1,-0.04,0.31,,,,,
2023/11/8,1101,"2,787",-11,239,"3,015",1,-1,5,1,7.89,"564,677","18,934","4,960",26.2,0,-0.25,,,,,
2023/11/7,1101,"-1,014",352,28,-633,-3,21,4,-2,7.89,"564,677","18,981","4,960",26.13,0.02,-0.91,,,,,
2023/11/6,1101,"-2,891",152,114,"-2,624",-2,20,3,-1,7.89,"564,677","19,155","4,959",25.89,-0.08,-0.1,,,,,
2023/11/3,1101,-436,480,218,262,-1,19,2,2,7.89,"564,677","19,174","4,963",25.88,-0.28,0.12,2.9,1.62,1.06,0.95,55.44
2023/11/2,1101,121,304,221,646,1,18,1,1,7.89,"564,677","19,151","4,977",25.99,0.16,-0.47,,,,,
2023/11/1,1101,"-4,053","1,123",-115,"-3,046",-14,17,-3,-14,7.89,"564,677","19,242","4,969",25.82,-9.93,-0.58,,,,,
2023/11/30,1102,-127,334,-25,182,-1,4,-2,8,27.36,"970,385","1,522",3,0.2,0,0.93,,,,,
2023/11/29,1102,591,314,-128,777,7,3,-1,7,27.36,"970,385","1,508",3,0.2,200,-0.59,,,,,
2023/11/28,1102,"2,027",420,1,"2,448",6,2,3,6,27.36,"970,385","1,517",1,0.07,0,-0.85,,,,,
2023/11/27,1102,827,441,35,"1,302",5,1,2,5,27.36,"970,385","1,530",1,0.07,0,0.86,,,,,
2023/11/24,1102,624,-75,40,589,4,-6,1,4,27.36,"970,385","1,517",1,0.07,0,0.2,1.86,1.17,0.83,0.61,78.55
2023/11/23,1102,920,-10,-103,806,3,-5,-3,3,27.36,"970,385","1,514",1,0.07,-99.12,-0.46,,,,,
2023/11/22,1102,850,-148,-32,670,2,-4,-2,2,27.36,"970,385","1,521",114,7.5,0,-0.2,,,,,
2023/11/21,1102,"2,351",-225,-461,"1,665",1,-3,-1,1,27.36,"970,385","1,524",114,7.48,-0.87,-0.85,,,,,
2023/11/20,1102,"-1,205",-84,12,"-1,277",-1,-2,1,-1,27.36,"970,385","1,537",115,7.48,-0.86,0.39,,,,,
2023/11/17,1102,"1,285",-132,-230,923,3,-1,-2,3,27.36,"970,385","1,531",116,7.58,-2.52,-0.52,1.88,1.14,0.79,0.68,78.44
2023/11/16,1102,"1,345",19,-138,"1,226",2,1,-1,2,27.36,"970,385","1,539",119,7.73,"1,883.33",-1.72,,,,,
2023/11/15,1102,"7,345",-731,47,"6,662",1,-1,1,1,27.36,"970,385","1,566",6,0.38,-14.29,-1.63,,,,,
2023/11/14,1102,-730,205,-94,-619,-1,2,-1,-1,27.36,"970,385","1,592",7,0.44,0,0.63,,,,,
2023/11/13,1102,245,40,30,315,12,1,1,12,27.36,"970,385","1,582",7,0.44,0,-0.44,,,,,
2023/11/10,1102,936,-161,-4,771,11,-1,-3,11,27.36,"970,385","1,589",7,0.44,0,0.51,1.92,1.19,0.75,0.66,78.16
2023/11/9,1102,"1,031",123,-25,"1,128",10,1,-2,10,27.36,"970,385","1,581",7,0.44,0,-0.88,,,,,
2023/11/8,1102,542,-178,-44,319,9,-1,-1,9,27.36,"970,385","1,595",7,0.44,16.67,0.19,,,,,
2023/11/7,1102,190,153,36,379,8,1,10,8,27.36,"970,385","1,592",6,0.38,0,0.51,,,,,
2023/11/6,1102,"1,422",-218,12,"1,217",7,-1,9,7,27.36,"970,385","1,584",6,0.38,0,-0.06,,,,,
2023/11/3,1102,"1,283",55,92,"1,430",6,3,8,6,27.36,"970,385","1,585",6,0.38,0,-2.46,1.89,1.16,0.84,0.66,78.04
2023/11/2,1102,500,315,24,839,5,2,7,5,27.36,"970,385","1,625",6,0.37,0,0.18,,,,,
2023/11/1,1102,554,129,127,810,4,1,6,4,27.36,"970,385","1,622",6,0.37,-14.29,-0.31,,,,,
2023/11/30,1103,599,0,-2,597,21,,-1,14,17.15,"135,530","1,623",0,0,0,-1.81,,,,,
2023/11/29,1103,125,0,0,125,20,,,13,17.15,"135,530","1,653",0,0,0,-0.06,,,,,
2023/11/28,1103,201,0,9,210,19,,1,12,17.15,"135,530","1,654",0,0,0,0.49,,,,,
2023/11/27,1103,1,0,0,1,18,,,11,17.15,"135,530","1,646",0,0,0,0,,,,,
2023/11/24,1103,23,0,2,25,17,,1,10,17.15,"135,530","1,646",0,0,0,0.18,3.23,1.55,1.01,0.78,74.51
2023/11/23,1103,22,0,-4,18,16,,-1,9,17.15,"135,530","1,643",0,0,0,0.31,,,,,
2023/11/22,1103,25,0,0,25,15,,,8,17.15,"135,530","1,638",0,0,0,-0.43,,,,,
2023/11/21,1103,102,0,0,102,14,,,7,17.15,"135,530","1,645",0,0,0,0,,,,,
2023/11/20,1103,101,0,-1,100,13,,-1,6,17.15,"135,530","1,645",0,0,0,-1.08,,,,,
2023/11/17,1103,136,0,0,136,12,,,5,17.15,"135,530","1,663",0,0,0,1.03,3.24,1.62,0.94,0.78,74.5
2023/11/16,1103,111,0,0,111,11,,,4,17.15,"135,530","1,646",0,0,0,0.37,,,,,
2023/11/15,1103,214,0,58,272,10,,3,3,17.15,"135,530","1,640",0,0,0,1.36,,,,,
2023/11/14,1103,88,0,13,101,9,,2,2,17.15,"135,530","1,618",0,0,0,-0.74,,,,,
2023/11/13,1103,63,0,18,81,8,,1,1,17.15,"135,530","1,630",0,0,0,-0.79,,,,,
2023/11/10,1103,2,0,-5,-3,7,,-1,-1,17.15,"135,530","1,643",0,0,0,0.12,3.24,1.67,0.93,0.78,74.43
2023/11/9,1103,41,0,0,41,6,,,6,17.15,"135,530","1,641",0,0,0,-0.36,,,,,
2023/11/8,1103,33,0,0,33,5,,,5,17.15,"135,530","1,647",0,0,0,0.49,,,,,
2023/11/7,1103,52,0,0,52,4,,,4,17.15,"135,530","1,639",0,0,0,0,,,,,
2023/11/6,1103,151,0,0,151,3,,,3,17.15,"135,530","1,639",0,0,0,-0.97,,,,,
2023/11/3,1103,149,0,0,149,2,,,2,17.15,"135,530","1,655",0,0,0,-0.12,3.22,1.67,0.85,0.78,74.45
2023/11/2,1103,30,0,0,30,1,,,1,17.15,"135,530","1,657",0,0,0,1.22,,,,,
2023/11/1,1103,-4,0,0,-4,-1,,,-1,17.15,"135,530","1,637",0,0,0,-0.24,,,,,
2023/11/30,1104,55,0,-14,41,1,,-2,1,24.14,"162,493","1,443",7,0.49,-12.5,-1.37,,,,,
2023/11/29,1104,-269,0,-40,-309,-1,,-1,-1,24.14,"162,493","1,463",8,0.55,14.29,-1.81,,,,,
2023/11/28,1104,588,0,56,644,3,,2,11,24.14,"162,493","1,490",7,0.47,0,3.62,,,,,
2023/11/27,1104,348,0,6,354,2,,1,10,24.14,"162,493","1,438",7,0.49,0,-2.51,,,,,
2023/11/24,1104,19,0,-8,11,1,,-1,9,24.14,"162,493","1,475",7,0.47,0,0.14,3.43,1.6,2.2,0.52,69.94
2023/11/23,1104,-6,0,12,6,-1,,1,8,24.14,"162,493","1,473",7,0.48,0,0.68,,,,,
2023/11/22,1104,251,0,-6,245,7,,-6,7,24.14,"162,493","1,463",7,0.48,0,5.86,,,,,
2023/11/21,1104,310,0,-17,293,6,,-5,6,24.14,"162,493","1,382",7,0.51,16.67,5.1,,,,,
2023/11/20,1104,268,0,-14,254,5,,-4,5,24.14,"162,493","1,315",6,0.46,0,-2.81,,,,,
2023/11/17,1104,71,0,-9,62,4,,-3,4,24.14,"162,493","1,353",6,0.44,0,-2.03,3.42,1.89,1.79,0.65,69.92
2023/11/16,1104,563,0,-3,560,3,,-2,3,24.14,"162,493","1,381",6,0.43,-72.73,-1.29,,,,,
2023/11/15,1104,162,0,-75,87,2,,-1,2,24.14,"162,493","1,399",22,1.57,0,0.43,,,,,
2023/11/14,1104,290,0,300,590,1,,2,1,24.14,"162,493","1,393",22,1.58,266.67,-5.37,,,,,
2023/11/13,1104,-77,0,4,-73,-1,,1,-1,24.14,"162,493","1,472",6,0.41,-14.29,-2.77,,,,,
2023/11/10,1104,165,0,-11,154,1,,-2,1,24.14,"162,493","1,514",7,0.46,-30,-4.48,3.32,1.88,1.69,0.65,69.87
2023/11/9,1104,-41,0,-19,-60,-1,,-1,-1,24.14,"162,493","1,585",10,0.63,0,-5.26,,,,,
2023/11/8,1104,104,0,28,132,1,,1,1,24.14,"162,493","1,673",10,0.6,0,0.06,,,,,
2023/11/7,1104,-32,0,0,-32,-1,,,-1,24.14,"162,493","1,672",10,0.6,0,1.09,,,,,
2023/11/6,1104,54,-1,-5,48,4,-3,-3,1,24.14,"162,493","1,654",10,0.6,0,0.3,,,,,
2023/11/3,1104,23,-80,-46,-103,3,-2,-2,-1,24.14,"162,493","1,649",10,0.61,-9.09,-0.54,3.28,1.88,1.69,0.66,69.89
2023/11/2,1104,209,-78,-32,99,2,-1,-1,2,24.14,"162,493","1,658",11,0.66,0,5.34,,,,,
2023/11/1,1104,46,0,64,110,1,,4,1,24.14,"162,493","1,574",11,0.7,0,-0.38,,,,,
2023/11/30,1108,-56,0,0,-56,-2,,,-2,3.95,"16,006","1,953",6,0.31,0,2.09,,,,,
2023/11/29,1108,-95,0,1,-94,-1,,2,-1,3.95,"16,006","1,913",6,0.31,0,3.02,,,,,
2023/11/28,1108,102,0,24,126,1,,1,1,3.95,"16,006","1,857",6,0.32,0,-0.7,,,,,
2023/11/27,1108,-44,0,0,-44,-1,,,-1,3.95,"16,006","1,870",6,0.32,0,0.16,,,,,
2023/11/24,1108,3,0,1,4,2,,1,2,3.95,"16,006","1,867",6,0.32,0,-3.31,2.15,0.85,0.89,1.32,79.5
2023/11/23,1108,14,0,0,14,1,,,1,3.95,"16,006","1,931",6,0.31,0,-2.08,,,,,
2023/11/22,1108,-52,0,0,-52,-1,,,-1,3.95,"16,006","1,972",6,0.3,0,0.97,,,,,
2023/11/21,1108,463,0,0,463,1,,,5,3.95,"16,006","1,953",6,0.31,0,-2.54,,,,,
2023/11/20,1108,0,0,1,1,,,1,4,3.95,"16,006","2,004",6,0.3,0,1.57,,,,,
2023/11/17,1108,52,0,-2,50,3,,-1,3,3.95,"16,006","1,973",6,0.3,100,-4.92,2.45,0.75,0.89,1.13,79.56
2023/11/16,1108,63,0,28,91,2,,1,2,3.95,"16,006","2,075",3,0.14,0,0.48,,,,,
2023/11/15,1108,195,0,-138,57,1,,-2,1,3.95,"16,006","2,065",3,0.15,0,1.72,,,,,
2023/11/14,1108,-227,0,-6,-233,-12,,-1,-12,3.95,"16,006","2,030",3,0.15,-50,0.64,,,,,
2023/11/13,1108,-140,0,19,-121,-11,,1,-11,3.95,"16,006","2,017",6,0.3,500,-2.18,,,,,
2023/11/10,1108,-50,0,0,-50,-10,,,-10,3.95,"16,006","2,062",1,0.05,0,-0.15,2.33,0.75,0.87,0.89,79.82
2023/11/9,1108,-22,0,-6,-28,-9,,-1,-9,3.95,"16,006","2,065",1,0.05,0,-4.79,,,,,
2023/11/8,1108,-37,0,0,-37,-8,,,-8,3.95,"16,006","2,169",1,0.05,0,2.21,,,,,
2023/11/7,1108,-93,0,20,-73,-7,,2,-7,3.95,"16,006","2,122",1,0.05,-66.67,0.38,,,,,
2023/11/6,1108,-40,0,9,-31,-6,,1,-6,3.95,"16,006","2,114",3,0.14,200,0.28,,,,,
2023/11/3,1108,-202,0,-31,-233,-5,,-1,-5,3.95,"16,006","2,108",1,0.05,0,0.81,2.36,0.85,0.86,0.89,79.83
2023/11/2,1108,-362,0,23,-339,-4,,1,-4,3.95,"16,006","2,091",1,0.05,-50,7.62,,,,,
2023/11/1,1108,-125,0,-19,-144,-3,,-1,-3,3.95,"16,006","1,943",2,0.1,0,1.25,,,,,
2023/11/30,1109,-24,0,1,-23,-7,,1,-7,36.37,"124,089","1,033",0,0,0,-0.1,,,,,
2023/11/29,1109,-10,0,0,-10,-6,,,-6,36.37,"124,089","1,034",0,0,0,-0.29,,,,,
2023/11/28,1109,-74,0,7,-67,-5,,1,-5,36.37,"124,089","1,037",0,0,0,0.58,,,,,
