證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,法人買賣超日數,董監持股％,董監持股數,融資餘額(張),融券餘額(張),券資比,融券增減比率,融資增減比率,200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101 台泥,2023/4/28,1101,"-4,790",15,-3,"-4,778",-5,13,-2,-2,7.89,"564,677","21,234",324,1.53,-4.14,-4.12,2.76,1.6,1.03,0.94,58.96
1101 台泥,2023/4/27,1101,"-8,914",152,"-1,062","-9,824",-4,12,-1,-1,7.89,"564,677","22,147",338,1.53,3.36,4.52,,,,,
1101 台泥,2023/4/26,1101,"-1,500",282,"1,522",304,-3,11,5,1,7.89,"564,677","21,189",327,1.54,-1.51,8.82,,,,,
1101 台泥,2023/4/25,1101,"-5,854",367,"1,165","-4,322",-2,10,4,-2,7.89,"564,677","19,472",332,1.71,-26.39,-5.59,,,,,
1101 台泥,2023/4/24,1101,"-5,714","1,471","1,849","-2,395",-1,9,3,-1,7.89,"564,677","20,626",451,2.19,67.66,17.49,,,,,
1101 台泥,2023/4/21,1101,"9,130",266,"1,910","11,306",1,8,2,1,7.89,"564,677","17,556",269,1.53,64.02,17.83,2.78,1.56,1.02,0.97,58.87
1101 台泥,2023/4/20,1101,"-2,087",19,164,"-1,904",-5,7,1,-3,7.89,"564,677","14,899",164,1.1,3.14,0.05,,,,,
1101 台泥,2023/4/19,1101,"-2,412",83,-311,"-2,640",-4,6,-2,-2,7.89,"564,677","14,892",159,1.07,-3.05,-0.2,,,,,
1101 台泥,2023/4/18,1101,"-3,440",150,-706,"-3,996",-3,5,-1,-1,7.89,"564,677","14,922",164,1.1,-2.96,-2.21,,,,,
1101 台泥,2023/4/17,1101,-541,3,"1,503",966,-2,4,2,1,7.89,"564,677","15,259",169,1.11,8.33,10.21,,,,,
1101 台泥,2023/4/14,1101,-378,108,55,-215,-1,3,1,-1,7.89,"564,677","13,846",156,1.13,-9.3,0.37,2.76,1.53,0.99,0.99,59
1101 台泥,2023/4/13,1101,"1,061",118,-137,"1,042",1,2,-2,1,7.89,"564,677","13,795",172,1.25,5.52,-1.6,,,,,
1101 台泥,2023/4/12,1101,"-3,185",89,-168,"-3,263",-1,1,-1,-1,7.89,"564,677","14,020",163,1.16,0,1.85,,,,,
1101 台泥,2023/4/11,1101,"1,959",-5,667,"2,621",2,-2,1,2,7.89,"564,677","13,766",163,1.18,-19.7,5.21,,,,,
1101 台泥,2023/4/10,1101,925,-12,-457,457,1,-1,-1,1,7.89,"564,677","13,084",203,1.55,-5.58,-0.98,,,,,
