company_id,market_type,industry,company_name,industry_name,capital
6532 ,OTC,24,瑞耘,半導體,374451470
6533 ,TSE,24,晶心科,半導體,506509110
6535 ,OTC,22,順藥,生技醫療,1632438250
6538 ,OTC,28,倉和,電子零組件,381870000
6541 ,TSE,22,泰福-KY,生技醫療,1338653670
6542 ,OTC,32,隆中,文化創意業,420006300
6546 ,OTC,27,正基,通信網路業,662269370
6547 ,OTC,22,高端疫苗,生技醫療,3286080500
6548 ,OTC,24,長科*,半導體,380215480
6550 ,TSE,22,北極星藥業-KY,生技醫療,7434633140
6552 ,TSE,24,易華電,半導體,830000000
6556 ,OTC,26,勝品,光電業,287500000
6558 ,TSE,31,興能高,其他電子業,937508750
6560 ,OTC,26,欣普羅,光電業,258747150
6561 ,OTC,27,是方,通信網路業,778193700
6568 ,OTC,24,宏觀,半導體,307399200
6569 ,OTC,22,醫揚,生技醫療,335063000
6570 ,OTC,25,維田,電腦及週邊,371191700
6573 ,TSE,24,虹揚-KY,半導體,804993250
6574 ,OTC,22,霈方,生技醫療,219900000
6576 ,OTC,22,逸達,生技醫療,1357811420
6577 ,OTC,25,勁豐,電腦及週邊,382548700
6578 ,OTC,33,達邦蛋白,農業科技,597103190
6579 ,TSE,25,研揚,電腦及週邊,1602418300
6581 ,TSE,35,鋼聯,綠能環保,1112708870
6582 ,TSE,11,申豐,橡膠工業,1061741410
6584 ,OTC,28,南俊國際,電子零組件,656426000
6585 ,TSE,20,鼎基,其他,692430000
6588 ,OTC,27,東典,通信網路業,267008250
6589 ,OTC,22,台康生技,生技醫療,3058216840
6590 ,OTC,30,普鴻,資訊服務業,212912500
6591 ,TSE,25,動力-KY,電腦及週邊,355681360
6592 ,TSE,20,和潤企業,其他,6665004610
6593 ,OTC,30,台灣銘板,資訊服務業,229127560
6596 ,OTC,32,寬宏藝術,文化創意業,330000000
6598 ,TSE,22,ABC-KY,生技醫療,817973520
6603 ,OTC,5,富強鑫,電機機械,1569859270
6605 ,TSE,12,帝寶,汽車工業,1658163970
6606 ,TSE,5,建德工業,電機機械,1103037830
6609 ,OTC,5,瀧澤科,電機機械,724562460
6612 ,OTC,22,奈米醫材,生技醫療,391639000
6613 ,OTC,31,朋億*,其他電子業,358897045
6615 ,OTC,22,慧智,生技醫療,213624000
6616 ,OTC,38,特昇-KY,居家生活,342319270
6624 ,OTC,35,萬年清,綠能環保,180000000
6625 ,TSE,20,必應,其他,443404440
6629 ,OTC,38,泰金-KY,居家生活,357141660
6640 ,OTC,24,均華,半導體,282765000
6641 ,TSE,35,基士德-KY,綠能環保,370000000
6642 ,OTC,28,富致,電子零組件,373996620
6643 ,OTC,24,M31,半導體,348658000
6649 ,OTC,22,台生材,生技醫療,420000000
6651 ,OTC,24,全宇昕,半導體,346015410
6654 ,OTC,31,天正國際,其他電子業,369627200
6655 ,TSE,20,科定,其他,740334070
6657 ,TSE,22,華安,生技醫療,760250000
6661 ,OTC,22,威健生技,生技醫療,233042480
6662 ,OTC,22,樂斯科,生技醫療,256124000
6664 ,OTC,28,群翊,電子零組件,577916090
6666 ,TSE,22,羅麗芬-KY,生技醫療,473880000
6667 ,OTC,31,信紘科,其他電子業,447788780
6668 ,TSE,26,中揚光,光電業,832128600
6669 ,TSE,25,緯穎,電腦及週邊,1748407910
6670 ,TSE,37,復盛應用,運動休閒,1325735680
6671 ,TSE,38,三能-KY,居家生活,607500000
6672 ,TSE,28,騰輝電子-KY,電子零組件,714347450
