index_name,date,index_open,index_high,index_low,index_close,index_volume,index_ma5,index_ma10,index_ma20,index_ma60,index_mavol_5,index_mavol_10,index_mavol_20,index_mavol_60
TSE,2023/10/3,16520.24,16571.66,16453.8,16454.34,5892350,16390.36,16423.63,16548.76,16741.29,5305316,5429936,5703301,6536870
OTC,2023/10/2,213.45,216,213.45,215.86,1696151,213.68,214.12,214.85,215.58,1446858,1429005,1511759,1673944
TSE,2023/10/2,16382.96,16575.31,16382.96,16557.31,5734001,16389.94,16448.02,16565.52,16744.78,5084957,5448528,5683371,6551801
OTC,2023/9/28,212.66,214.34,212.66,213.1,1377875,213.16,214.43,214.74,215.73,1399439,1453330,1508592,1680545
TSE,2023/9/28,16330.71,16411.28,16311.41,16353.74,5113712,16347.38,16484.38,16569.9,16748.2,4981098,5690934,5689580,6586508
OTC,2023/9/27,212.08,212.67,211.47,212.52,1180356,212.77,214.99,214.75,215.95,1383035,1484849,1520766,1688622
TSE,2023/9/27,16273.84,16324.22,16212.86,16310.36,4601829,16339.96,16529.76,16583.94,16759.91,5185110,5815550,5750774,6621568
OTC,2023/9/26,214.69,214.96,212.14,212.14,1470828,213.08,215.25,214.72,216.18,1417961,1501464,1534543,1701643
TSE,2023/9/26,16440.26,16440.26,16276.07,16276.07,5184686,16384.84,16556.88,16604.42,16773.75,5462451,5906904,5809856,6676069
OTC,2023/9/25,213.34,215.5,213.34,214.8,1509078,213.91,215.34,214.57,216.4,1403065,1491864,1513719,1708176
TSE,2023/9/25,16345.78,16498.38,16345.78,16452.23,4790555,16456.89,16586.54,16621.79,16787.22,5554555,5929251,5802106,6711853
OTC,2023/9/22,211.06,213.23,209.58,213.23,1459057,214.55,215.07,214.19,216.56,1411152,1493162,1496009,1710852
TSE,2023/9/22,16267.32,16360.96,16202.43,16344.48,5214709,16506.09,16584.61,16624.65,16794.94,5812099,6055369,5845109,6743208
OTC,2023/9/21,213.94,213.94,211,211.16,1295858,215.7,215.18,213.93,216.71,1507221,1492510,1482021,1710957
TSE,2023/9/21,16475.42,16475.42,16300.54,16316.67,6133771,16621.38,16607.77,16631.5,16804.9,6400769,6044672,5891833,6759180
OTC,2023/9/20,216.41,216.8,214.06,214.09,1354983,217.21,215.65,213.81,216.87,1586663,1527526,1492199,1715047
TSE,2023/9/20,16626.61,16665.27,16522.38,16534.75,5988536,16719.56,16638.01,16654.21,16815.22,6445989,5984290,5964972,6755959
OTC,2023/9/19,218.1,219.06,216.28,216.28,1396347,217.41,215.89,213.52,216.96,1584968,1564607,1491485,1722887
TSE,2023/9/19,16706.48,16762.52,16636.32,16636.32,5645206,16728.91,16658.35,16656.32,16821.11,6351357,6002208,5942096,6767245
OTC,2023/9/18,218.81,219.32,217.99,217.99,1549513,216.76,215.88,213.08,217.04,1580663,1588990,1490226,1725708
TSE,2023/9/18,16893.97,16893.97,16698.24,16698.24,6078273,16716.19,16673.88,16646.38,16828.16,6303946,5976666,5931264,6784210
OTC,2023/9/15,218.79,219.4,218.3,219,1939402,215.6,215.58,212.59,217.12,1575172,1594514,1473732,1726485
TSE,2023/9/15,16809.74,16920.92,16787.74,16920.92,8158060,16663.13,16683.03,16630.55,16836.56,6298639,5918214,5898655,6797625
OTC,2023/9/14,215.28,218.72,215.28,218.7,1693072,214.66,215.05,212.05,217.19,1477799,1563855,1459194,1722111
TSE,2023/9/14,16581.62,16807.56,16581.62,16807.56,6359872,16594.15,16655.43,16603.56,16840.96,5688574,5688226,5853086,6775195
OTC,2023/9/13,213.05,215.09,213.05,215.09,1346504,214.08,214.5,211.63,217.28,1468389,1556683,1471226,1719558
TSE,2023/9/13,16578.13,16653.3,16542.72,16581.51,5515375,16556.47,16638.12,16589.02,16848.74,5522590,5685999,5891377,6794136
OTC,2023/9/12,212.33,213.66,212.11,213.04,1374824,214.36,214.19,211.26,217.43,1544247,1567621,1481276,1727766
TSE,2023/9/12,16433.82,16579.86,16422.91,16572.71,5408148,16587.8,16651.96,16582.28,16860.53,5653059,5712808,5938564,6864260
OTC,2023/9/11,214.44,214.95,212.16,212.16,1522059,214.99,213.8,210.97,217.61,1597317,1535574,1477416,1734400
TSE,2023/9/11,16579.83,16600.03,16398.3,16432.95,6051740,16631.58,16657.05,16576.39,16873.24,5649387,5674961,5966119,6909909
OTC,2023/9/8,215.81,215.81,213.88,214.33,1452536,215.56,213.31,210.63,217.8,1613856,1498855,1474014,1739721
TSE,2023/9/8,16609.93,16609.93,16505.64,16576.02,5107734,16702.92,16664.68,16574.42,16886.66,5537789,5634850,6031416,6931869
OTC,2023/9/7,216.4,217.01,215.71,215.78,1646023,215.43,212.67,210.43,217.96,1649911,1471532,1474453,1748723
TSE,2023/9/7,16715.45,16715.45,16609.94,16619.14,5529953,16716.71,16655.24,16575.68,16897.33,5687878,5738995,6057492,6971536
OTC,2023/9/6,216.39,217.14,216.21,216.48,1725791,214.93,211.98,210.17,218.05,1644978,1456871,1477598,1753496
TSE,2023/9/6,16796.37,16841.19,16732.69,16738.16,6167718,16719.78,16670.41,16576.46,16902.94,5849407,5945654,6140101,6992797
OTC,2023/9/5,214.96,216.35,214.87,216.19,1640177,214.01,211.15,210.09,218.15,1590996,1418363,1467157,1754260
TSE,2023/9/5,16784.12,16791.61,16727.44,16791.61,5389791,16716.11,16654.28,16583.1,16905.41,5772557,5881983,6129587,6992776
OTC,2023/9/4,213.69,215,213.44,215,1604755,212.61,210.28,210.08,218.21,1473831,1391463,1471221,1760500
TSE,2023/9/4,16649.67,16789.69,16648.51,16789.69,5493751,16682.52,16618.88,16587.37,16904.44,5700536,5885861,6197623,7013496
OTC,2023/9/1,213.43,214.9,213.43,213.68,1632809,211.07,209.61,210.24,218.33,1383854,1352950,1480626,1765150
TSE,2023/9/1,16640.92,16730.13,16619.23,16644.94,5858177,16626.44,16578.06,16597.69,16906.65,5731910,5879095,6236167,7031436
OTC,2023/8/31,212.02,213.28,212.02,213.28,1621356,209.91,209.05,210.39,218.42,1293152,1354534,1487434,1767204
TSE,2023/8/31,16707.35,16712.22,16630.67,16634.51,6337598,16593.76,16551.7,16607.63,16908.6,5790112,6017947,6308997,7043183
OTC,2023/8/30,209.38,212.44,209.38,211.92,1455884,209.04,208.76,210.5,218.53,1268765,1385769,1509604,1771392
TSE,2023/8/30,16666.33,16780.42,16666.33,16719.82,5783468,16621.04,16539.92,16620.59,16909.93,6041901,6096756,6451638,7069253
OTC,2023/8/29,207.41,209.18,207.41,209.17,1054353,208.28,208.33,210.92,218.64,1245729,1394930,1527290,1776471
TSE,2023/8/29,16528.49,16627.7,16495.76,16623.65,5029684,16592.45,16512.61,16645.24,16909.72,5991409,6164320,6515638,7105463
OTC,2023/8/28,208.06,208.78,207.12,207.28,1154870,207.95,208.14,211.54,218.76,1309094,1419258,1595594,1784992
TSE,2023/8/28,16498.86,16582.96,16498.86,16509.26,5650625,16555.24,16495.73,16671.33,16907.87,6071186,6257277,6720574,7130293
OTC,2023/8/25,208.68,208.89,207.41,207.89,1179298,208.15,207.95,212.37,218.91,1322046,1449172,1661354,1790350
TSE,2023/8/25,16708.53,16708.53,16481.58,16481.58,6149183,16529.69,16484.17,16710.51,16909.03,6026280,6427981,6825290,7167581
OTC,2023/8/24,208.44,210.64,208.4,208.92,1499418,208.2,208.19,213.06,219.03,1415916,1477375,1706348,1796809
TSE,2023/8/24,16651.03,16822.36,16651.03,16770.87,7596547,16509.64,16496.13,16748.53,16911.38,6245782,6375990,6897781,7173130
OTC,2023/8/23,207.58,208.31,207.2,208.15,1340708,208.49,208.35,213.6,219.15,1502774,1498324,1733546,1801938
TSE,2023/8/23,16440.39,16588.51,16440.39,16576.9,5531007,16458.79,16482.52,16768.11,16909.14,6151610,6334547,6873472,7166379
OTC,2023/8/22,208.49,210.01,207.51,207.51,1371177,208.38,209.03,214.33,219.22,1544131,1515952,1767401,1806589
TSE,2023/8/22,16429.69,16535.07,16407.83,16437.61,5428567,16432.77,16511.92,16799.21,16907.94,6337231,6377190,6965487,7195117
OTC,2023/8/21,208.29,209.48,207.81,208.26,1219629,208.33,209.88,215.03,219.3,1529421,1550979,1793016,1807768
TSE,2023/8/21,16414.14,16485.25,16347.77,16381.49,5426098,16436.21,16555.87,16829.01,16905.51,6443369,6509385,7053177,7214970
OTC,2023/8/18,210.3,211.17,207.57,208.15,1648646,207.76,210.86,215.78,219.37,1576298,1608302,1821657,1812974
TSE,2023/8/18,16508.46,16583.95,16344.29,16381.31,7246690,16438.64,16617.32,16861.47,16901.81,6829682,6593239,7166621,7214798
OTC,2023/8/17,207.44,210.39,206.16,210.39,1933709,208.18,211.73,216.59,219.46,1538834,1620335,1836848,1814204
TSE,2023/8/17,16411.63,16550.11,16264.65,16516.66,7125689,16482.63,16663.55,16900.65,16898.59,6506197,6600048,7119986,7185905
OTC,2023/8/16,206.94,207.83,205.31,207.59,1547493,208.21,212.23,217.22,219.47,1493874,1633439,1840158,1807185
TSE,2023/8/16,16422.2,16446.78,16304.44,16446.78,6459109,16506.24,16701.26,16930.64,16892.99,6517484,6806519,7167928,7165288
OTC,2023/8/15,205.76,207.78,205.76,207.24,1297627,209.69,213.5,218,219.51,1487773,1659651,1877511,1809244
TSE,2023/8/15,16438.63,16546.01,16437.63,16454.8,5959257,16591.07,16777.87,16969.69,16888.46,6417149,6866956,7333744,7177762
OTC,2023/8/14,210.06,210.06,204.38,205.44,1454015,211.44,214.94,218.89,219.55,1572536,1771931,1920164,1814219
TSE,2023/8/14,16585.41,16585.41,16307.28,16393.66,7357665,16675.52,16846.93,17013.67,16882.58,6575401,7183870,7454209,7188625
OTC,2023/8/11,210.65,212.19,210.17,210.25,1461324,213.96,216.78,219.84,219.62,1640305,1873537,1956528,1816268
TSE,2023/8/11,16644.65,16766.84,16601.25,16601.25,5629266,16795.99,16936.86,17058.17,16874.77,6356797,7222598,7503483,7168683
OTC,2023/8/10,214.92,214.92,210.35,210.51,1708912,215.28,217.93,220.36,219.56,1701836,1935321,1998056,1814973
TSE,2023/8/10,16827.11,16827.11,16601.17,16634.7,7182123,16844.48,17000.92,17081.18,16859.32,6693898,7419573,7686362,7159602
OTC,2023/8/9,215.93,216.39,214.74,215,1516987,216.26,218.84,220.89,219.47,1773004,1968769,2011903,1808702
TSE,2023/8/9,16836.64,16956.73,16798.5,16870.94,5957436,16896.28,17053.7,17097.55,16839.99,7095555,7412397,7693974,7118950
OTC,2023/8/8,218.18,218.71,215.87,215.98,1721444,217.31,219.63,221.24,219.33,1831528,2018851,2024091,1805140
TSE,2023/8/8,17006.46,17043.56,16812.59,16877.07,6750517,16964.67,17086.5,17098.94,16817.18,7316763,7553784,7744196,7105204
OTC,2023/8/7,216.91,218.14,216.14,218.08,1792859,218.45,220.18,221.48,219.16,1971326,2035052,2022825,1801100
TSE,2023/8/7,16870.81,17032.32,16868.74,16996,6264641,17018.34,17102.15,17087.73,16794.47,7792339,7596968,7709686,7073912
OTC,2023/8/4,215.47,217.14,213.98,216.85,1768977,219.59,220.69,221.67,219.03,2106768,2035013,2029446,1792249
TSE,2023/8/4,16847.24,16887.38,16748.51,16843.68,7314773,17077.73,17105.62,17071.14,16771.9,8088399,7740003,7735864,7046594
OTC,2023/8/2,220.27,220.89,214.7,215.37,2064755,220.58,221.46,222.06,218.92,2168807,2053361,2045609,1789249
TSE,2023/8/2,17207.22,17212.55,16844.57,16893.73,9190407,17157.36,17137.74,17067.07,16753.3,8145248,7639924,7760946,7011225
OTC,2023/8/1,221.89,223.53,219.71,220.26,1809606,221.43,222.2,222.61,218.88,2164533,2046876,2035495,1779068
TSE,2023/8/1,17141.97,17252.32,17095.86,17212.87,7063479,17211.12,17160.01,17075.2,16733.4,7729240,7529336,7662293,6947974
OTC,2023/7/31,224.26,226.01,220.98,221.69,2420434,221.95,222.5,222.9,218.76,2206173,2095372,2043096,1775880
TSE,2023/7/31,17341.04,17463.76,17081.48,17145.43,9128395,17208.32,17161.52,17071.59,16706.95,7790805,7800531,7702712,6906694
OTC,2023/7/28,221.95,223.84,221.3,223.79,2470067,221.92,222.84,223.1,218.6,2098779,2068397,2015216,1760984
TSE,2023/7/28,17244.51,17328.21,17179.94,17292.93,7744942,17185.96,17180.4,17068.53,16681.35,7401597,7724548,7612880,6836074
OTC,2023/7/27,219.61,222.45,219.61,221.81,2079173,221.79,222.9,223.11,218.4,1963259,2039520,1975194,1744055
TSE,2023/7/27,17189.3,17282.86,17189.3,17241.82,7599016,17133.51,17179.48,17049.66,16652.36,7391607,7784367,7559224,6791871
OTC,2023/7/26,223.09,223.72,219.55,219.58,2043385,222.33,222.79,223.15,218.24,1937914,2060790,1944501,1738909
TSE,2023/7/26,17205.47,17247.02,17121.99,17162.55,7110367,17118.13,17161.44,17034.69,16625.6,7134600,7953152,7487925,6758019
OTC,2023/7/25,221.5,223.81,221.5,222.88,2017807,222.98,222.95,223.2,218.07,1929219,2055038,1919397,1730515
TSE,2023/7/25,17061.88,17270.2,17061.88,17198.89,7371305,17108.91,17141.39,17023.34,16599.21,7329433,7975552,7429433,6732549
OTC,2023/7/24,223.01,224,220.86,221.53,1883461,223.04,222.85,223.04,217.79,1984570,2029332,1909774,1718825
TSE,2023/7/24,17036.79,17098.73,16941.15,17033.61,7182357,17114.71,17111.39,17007.79,16569.42,7810257,7934607,7394153,6693366
OTC,2023/7/21,223.85,223.85,221.8,223.16,1792468,223.76,222.78,223.01,217.51,2038015,2010597,1893883,1709348
TSE,2023/7/21,17106.29,17106.29,16859.13,17030.7,7694988,17174.85,17073.31,17009.07,16541.77,8047499,7822404,7368190,6662136
OTC,2023/7/20,222.94,224.63,222.94,224.48,1952451,224.01,222.65,222.98,217.2,2115781,2023879,1884066,1706069
TSE,2023/7/20,17104.91,17214.41,17098.65,17164.89,6313982,17225.45,17036.66,17017.66,16514.1,8177128,7731726,7327600,6641834
OTC,2023/7/19,223.17,226.33,222.86,222.86,1999908,223.25,222.67,222.93,216.96,2183665,2037858,1870290,1693772
TSE,2023/7/19,17265.38,17340.82,17082.54,17116.44,8084533,17204.75,16996.39,17018.66,16488.47,8771704,7881968,7352513,6613735
OTC,2023/7/18,225.25,226.7,221.97,223.17,2294562,222.91,223.01,222.99,216.72,2180857,2024114,1847290,1688720
TSE,2023/7/18,17368.36,17401.59,17164.92,17227.91,9775425,17173.87,16990.39,17026.57,16463.25,8621670,7795249,7323103,6579942
OTC,2023/7/17,224.22,225.97,224.05,225.15,2150684,222.66,223.31,223.02,216.55,2074094,1990820,1824512,1681190
TSE,2023/7/17,17279.11,17346.66,17235.92,17334.29,8368565,17108.07,16981.67,17029.62,16437.91,8058958,7604893,7320473,6509342
OTC,2023/7/14,221.13,224.5,221.13,224.38,2181298,221.8,223.36,222.97,216.41,1983180,1962035,1805620,1675638
TSE,2023/7/14,17152.81,17287.4,17128.07,17283.71,8343133,16971.77,16956.66,17029.65,16411.84,7597310,7501213,7309399,6466457
OTC,2023/7/13,221.32,223.23,220.71,220.71,2291874,221.29,223.32,222.92,216.29,1931978,1910869,1788623,1671301
TSE,2023/7/13,16994.59,17223.86,16994.59,17061.4,9286862,16847.87,16919.85,17027.37,16388.27,7286324,7334081,7260709,6423721
OTC,2023/7/12,222.07,222.66,221.06,221.14,1985865,222.08,223.5,223.09,216.25,1892050,1828212,1773661,1663600
TSE,2023/7/12,16903.25,16962.03,16864.01,16962.03,7334366,16788.02,16907.94,17035.13,16369.97,6992231,7022698,7170752,6367260
OTC,2023/7/11,221.18,222.62,221.18,221.91,1760749,223.11,223.45,223.09,216.17,1867371,1783756,1770988,1659294
TSE,2023/7/11,16675.69,16898.91,16675.69,16898.91,6961862,16806.9,16905.3,17034.8,16352.76,6968828,6883314,7144315,6345836
OTC,2023/7/10,222.03,222.94,220.8,220.85,1696115,223.96,223.24,223.11,216.06,1907546,1790216,1771531,1662448
TSE,2023/7/10,16667.43,16798.81,16635.83,16652.8,6060325,16855.28,16904.2,17034.17,16334.53,7150828,6853700,7104545,6334468
OTC,2023/7/7,224.31,224.31,220.59,221.82,1925285,224.93,223.23,223.06,215.99,1940890,1777169,1787453,1665059
TSE,2023/7/7,16736.94,16762.39,16593.84,16664.21,6788204,16941.56,16944.84,17038.22,16322.53,7405116,6913976,7133178,6324060
OTC,2023/7/6,225.86,227.48,224.6,224.67,2092235,225.35,223.32,223.07,215.89,1889760,1744254,1785379,1659508
TSE,2023/7/6,17017.09,17017.09,16749.29,16762.17,7816400,16991.82,16998.66,17051.13,16310.03,7381837,6923475,7122275,6294574
OTC,2023/7/5,225.93,227.19,225.52,226.32,1862470,224.93,223.2,222.8,215.72,1764374,1702723,1768568,1649087
TSE,2023/7/5,17130.26,17153.17,17020.01,17056.43,7217347,17027.85,17040.93,17051.11,16295.26,7053165,6823058,7059606,6236905
OTC,2023/7/4,225.7,226.77,224.97,226.15,1961624,223.79,222.97,222.49,215.49,1700140,1670466,1769078,1640027
TSE,2023/7/4,17055.19,17154.1,17042.6,17140.77,7871863,17003.69,17062.75,17034.01,16274.93,6797801,6850956,7093828,6187265
OTC,2023/7/3,224.05,226.1,224.05,225.67,1862834,222.51,222.73,222.09,215.26,1672886,1658204,1759027,1629909
TSE,2023/7/3,16946.71,17103.73,16946.71,17084.2,7331767,16953.11,17077.56,17012.31,16252.76,6556571,7036053,7098040,6140256
OTC,2023/6/30,222.72,224.09,222.35,223.94,1669636,221.53,222.58,221.64,215.04,1613449,1649205,1744167,1621419
TSE,2023/6/30,16870.27,16919.95,16792.34,16915.54,6671810,16948.12,17102.64,16983.74,16232.49,6422836,7117586,7057425,6098989
OTC,2023/6/29,220.72,223.44,220.72,222.57,1465308,221.29,222.53,221.25,214.85,1598747,1666377,1734501,1616060
TSE,2023/6/29,16930.41,17077.44,16911.38,16942.3,6173036,17005.49,17134.9,16966.91,16214.72,6465113,7187338,7118231,6060204
OTC,2023/6/28,220.05,222.02,220.05,220.64,1541299,221.47,222.68,220.87,214.64,1641071,1719109,1739579,1612546
TSE,2023/6/28,16906.23,17011.12,16903.71,16935.63,5940529,17054.02,17162.33,16950.93,16195.18,6592951,7318807,7133684,6031740
OTC,2023/6/27,220.58,222.87,219.73,219.73,1825354,222.14,222.73,220.64,214.48,1640791,1758220,1752870,1613924
TSE,2023/6/27,17022.15,17035.49,16887.9,16887.9,6665715,17121.8,17164.3,16935.96,16174.61,6904111,7405316,7196233,6012486
OTC,2023/6/26,222.6,222.6,219.79,220.77,1565647,222.96,222.99,220.29,214.38,1643522,1752847,1742593,1610393
TSE,2023/6/26,17182.48,17182.48,17011.28,17059.24,6663091,17202,17164.15,16916.82,16156.98,7515535,7355391,7225710,5986595
OTC,2023/6/21,223.59,223.9,222.58,222.73,1596129,223.64,222.88,219.87,214.26,1684961,1797738,1736406,1612054
TSE,2023/6/21,17186.72,17246.77,17131.45,17202.4,6883193,17257.15,17131.6,16878.46,16137.91,7812335,7352380,7223542,5968788
OTC,2023/6/20,223.93,224.31,222.59,223.49,1676926,223.77,222.82,219.36,214.09,1734006,1826504,1733198,1614865
TSE,2023/6/20,17233.8,17247.16,17121.59,17184.91,6812226,17264.3,17103.6,16826.3,16115.6,7909562,7321076,7150174,5944007
OTC,2023/6/19,223.88,224.85,223.12,223.99,1539900,223.88,222.4,218.85,213.89,1797147,1834414,1735473,1614946
TSE,2023/6/19,17274.07,17306.81,17210.87,17274.56,7496332,17270.64,17061.28,16776.46,16091.86,8044662,7296154,7085218,5922593
OTC,2023/6/16,224.23,224.98,223.3,223.81,1839007,223.31,222.01,218.21,213.63,1875649,1867689,1734108,1612709
TSE,2023/6/16,17342.86,17342.86,17250.79,17288.91,9722832,17206.8,17005.27,16721.78,16062.51,7906520,7336700,7004833,5881112
OTC,2023/6/15,223.61,224.69,223.47,224.16,1772845,223.01,221.45,217.5,213.36,1862172,1859850,1725708,1603996
TSE,2023/6/15,17259.37,17346.32,17259.37,17334.98,8147091,17126.3,16947.07,16666.08,16031.36,7195247,7160026,6879068,5801844
OTC,2023/6/14,224.15,225.05,223.27,223.39,1841351,222.13,220.71,216.79,213.06,1910514,1839129,1716874,1595271
TSE,2023/6/14,17190.7,17259.23,17182.18,17238.14,7369331,17006.04,16864.83,16604.42,15999.99,6892426,6997264,6802265,5768394
OTC,2023/6/13,221.79,224.2,221.79,224.07,1992634,221.88,219.96,216.09,212.73,1919003,1802626,1703654,1587729
TSE,2023/6/13,17135.84,17254.96,17129.23,17216.6,7487726,16942.91,16798.92,16538.78,15966.38,6732589,7049125,6741858,5757044
OTC,2023/6/12,222.56,223.01,221.01,221.13,1932410,220.92,219.07,215.24,212.41,1871680,1760049,1673203,1575918
TSE,2023/6/12,16899.49,16999.72,16899.49,16955.37,6805620,16851.92,16739.53,16461.64,15935.89,6547646,6948562,6621692,5726195
OTC,2023/6/9,220.14,222.5,220.14,222.32,1771618,220.72,218.55,214.42,212.12,1859729,1747519,1643215,1563443
TSE,2023/6/9,16775.92,16895.99,16775.92,16886.4,6166466,16803.73,16707.62,16387.63,15909.31,6766880,6987150,6518560,5714919
OTC,2023/6/8,222.12,222.27,219.6,219.74,2014556,219.88,217.59,213.65,211.83,1857528,1732338,1619797,1556768
TSE,2023/6/8,16864.18,16899.51,16694.21,16733.69,6632985,16767.83,16669.49,16318.43,15887.21,7124806,7096030,6466872,5714724
OTC,2023/6/7,219.57,222.26,219.57,222.14,1883797,219.28,216.85,212.95,211.62,1767744,1675075,1593022,1550087
TSE,2023/6/7,16771.76,16922.48,16771.76,16922.48,6570149,16723.63,16625.32,16257.47,15867.09,7102103,7094705,6378873,5724325
OTC,2023/6/6,220.25,220.95,218.59,219.29,1756019,218.05,215.89,212.35,211.45,1686249,1639891,1561923,1546356
TSE,2023/6/6,16712.98,16793.81,16699.83,16761.66,6563012,16654.92,16549,16193.44,15847.89,7365660,6979271,6281641,5712953
OTC,2023/6/5,218.56,220.92,218.56,220.09,1872656,217.21,215.29,211.89,211.32,1648418,1636533,1553568,1545260
TSE,2023/6/5,16714.48,16781.19,16703.6,16714.43,7901788,16627.14,16491.64,16141.74,15832.17,7349478,6874282,6213123,5704413
OTC,2023/6/2,217.06,218.85,217.06,218.16,1760611,216.39,214.41,211.54,211.17,1635308,1600527,1532632,1541477
TSE,2023/6/2,16525,16752.2,16525,16706.91,7956094,16611.51,16438.29,16091,15817.89,7207419,6672967,6087801,5664605
OTC,2023/6/1,215.95,216.92,215.54,216.72,1565639,215.3,213.54,211.28,211.05,1607149,1591567,1525518,1538494
TSE,2023/6/1,16511,16555.5,16477.43,16512.65,6519472,16571.14,16385.09,16036.95,15802.17,7067254,6598111,5919330,5633514
OTC,2023/5/31,215.3,216.58,215.3,215.97,1476322,214.41,212.88,211.07,210.9,1582405,1594619,1523569,1536407
TSE,2023/5/31,16593.53,16636.65,16491.9,16578.96,7887933,16527.01,16344.01,15991.77,15787.1,7087306,6607267,5837916,5614361
OTC,2023/5/30,216.14,216.67,214.87,215.11,1566860,213.74,212.22,210.83,210.76,1593532,1604682,1522469,1532133
TSE,2023/5/30,16648.77,16681.19,16579.13,16622.74,6482103,16443.08,16278.64,15940.5,15770.76,6592883,6434591,5698159,5565230
OTC,2023/5/29,213.26,216.41,213.26,215.98,1807109,213.37,211.4,210.7,210.63,1624648,1586358,1532648,1526088
TSE,2023/5/29,16610.86,16683.76,16597.38,16636.3,7191495,16356.14,16183.76,15891.18,15753.69,6399085,6294821,5652449,5551775
OTC,2023/5/26,212.75,214.08,212.66,212.73,1619815,212.43,210.29,210.36,210.46,1565746,1538911,1519280,1521611
TSE,2023/5/26,16509.14,16537.79,16457.74,16505.05,7255266,16265.06,16067.63,15838.33,15734.81,6138514,6049971,5571981,5530269
OTC,2023/5/25,212.8,213.8,212,212.28,1441917,211.78,209.71,210.02,210.36,1575985,1507255,1504108,1520390
TSE,2023/5/25,16163.95,16323.77,16163.95,16292,6619735,16199.03,15967.36,15783.65,15719.99,6128967,5837714,5460236,5507215
OTC,2023/5/24,213.28,213.36,211.78,212.6,1531959,211.34,209.05,209.66,210.21,1606833,1510969,1497756,1520688
TSE,2023/5/24,16186.62,16186.62,16070.16,16159.32,5415815,16161.01,15889.63,15737.78,15705.43,6127227,5663041,5394676,5486927
OTC,2023/5/23,211.46,213.64,211.46,213.24,1722439,210.7,208.8,209.26,210.09,1615831,1483956,1500942,1519934
TSE,2023/5/23,16186.15,16239.5,16121.45,16188.03,5513115,16114.2,15837.87,15698.35,15695.49,6276299,5584010,5447729,5484220
OTC,2023/5/22,209.62,211.65,209.62,211.29,1512600,209.44,208.49,209.1,209.94,1548067,1470604,1475552,1516048
TSE,2023/5/22,16168.74,16202.92,16131.55,16180.89,5888637,16011.38,15791.84,15670.29,15684.88,6190557,5551964,5403475,5480228
OTC,2023/5/19,210.28,211.07,209.45,209.5,1671010,208.16,208.66,208.95,209.79,1512076,1464736,1484763,1515093
TSE,2023/5/19,16146.29,16189.81,16099.9,16174.92,7207535,15870.21,15743.71,15641.4,15673.19,5961429,5502635,5411889,5466140
OTC,2023/5/18,209.87,211.3,209.87,210.06,1596157,207.63,209.02,209.12,209.67,1438526,1459469,1493349,1511343
TSE,2023/5/18,16060.26,16128.72,16015.62,16101.88,6611031,15735.7,15688.82,15618.03,15662.79,5546460,5240549,5328483,5439653
OTC,2023/5/17,207.11,209.72,207.11,209.4,1576951,206.76,209.25,209.48,209.48,1415104,1452520,1504420,1504167
