index_name,date,index_open,index_high,index_low,index_close,index_volume,index_ma5,index_ma10,index_ma20,index_ma60,index_mavol_5,index_mavol_10,index_mavol_20,index_mavol_60
OTC,2023/10/17,214.88,216.6,214.2,214.2,1654456,215.12,215.2,214.81,214.49,1578155,1589452,1521391,1605811
TSE,2023/10/17,16678.28,16770.64,16618.3,16642.55,5405131,16715.06,16583.44,16533.91,16679.37,5878653,5671629,5681281,6218118
OTC,2023/10/16,216.19,216.19,214.59,214.59,1484434,215.47,215.09,215.04,214.63,1525811,1561794,1523322,1611569
TSE,2023/10/16,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774
OTC,2023/10/13,216.58,217.15,216.12,216.23,1734416,215.76,214.88,215.06,214.77,1534946,1531386,1516425,1625071
TSE,2023/10/13,16815.91,16815.91,16726.43,16782.57,5853685,16650.92,16520.37,16538.62,16696.87,5707125,5551924,5729414,6333907
OTC,2023/10/12,214.28,216.61,214.28,216.61,1430952,215.27,214.47,214.91,214.92,1500503,1505028,1498446,1632009
TSE,2023/10/12,16698.85,16825.91,16684.43,16825.91,5883086,16549.08,16469.72,16528.13,16706.06,5664732,5485024,5707137,6375822
OTC,2023/10/11,215.95,217.51,213.99,213.99,1586518,214.9,214.29,214.68,215.05,1578823,1512840,1503001,1644514
TSE,2023/10/11,16567.43,16729.5,16567.43,16672.03,6743900,16474.77,16432.36,16508.48,16713.69,5666585,5375771,5715570,6416823
OTC,2023/10/6,216.11,216.97,215.89,215.95,1392733,215.27,214.21,214.7,215.16,1600749,1500094,1496302,1656270
TSE,2023/10/6,16482.93,16539.13,16482.93,16520.57,4802052,16451.82,16399.6,16503.68,16720.18,5464605,5222852,5633762,6459205
OTC,2023/10/5,214.1,216.39,214.1,216.01,1530109,214.7,213.74,214.69,215.25,1597778,1490407,1508966,1666156
TSE,2023/10/5,16313.89,16477.61,16313.89,16453.52,5252903,16418.46,16379.21,16508.61,16727.54,5526937,5356024,5670157,6501411
OTC,2023/10/4,214.49,214.49,212.24,213.78,1562204,214,213.54,214.71,215.35,1527827,1472894,1518751,1670000
TSE,2023/10/4,16419.48,16419.48,16203.34,16273.38,5641720,16389.83,16387.33,16522.84,16734.96,5396722,5429587,5715897,6529893
OTC,2023/10/3,215.91,216.74,214.74,214.75,1822550,213.67,213.79,214.84,215.47,1509552,1456308,1522649,1672232
