證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,法人買賣超日數,董監持股％,董監持股數,融資餘額(張),融券餘額(張),券資比,融券增減比率,融資增減比率,200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101 台泥,2023/8/31,1101,"-8,742",34,42,"-8,666",-5,5,3,-5,7.89,"564,677","15,235","3,358",22.04,-0.09,1.56,,,,,
1101 台泥,2023/8/30,1101,"-3,174",8,47,"-3,120",-4,4,2,-4,7.89,"564,677","15,001","3,361",22.41,0,0.8,,,,,
1101 台泥,2023/8/29,1101,-972,41,129,-802,-3,3,1,-3,7.89,"564,677","14,882","3,361",22.58,-0.3,-0.13,,,,,
1101 台泥,2023/8/28,1101,"-1,481",67,-107,"-1,521",-2,2,-8,-2,7.89,"564,677","14,902","3,371",22.62,-0.35,-0.21,,,,,
1101 台泥,2023/8/25,1101,"-3,852",62,-94,"-3,883",-1,1,-7,-1,7.89,"564,677","14,934","3,383",22.65,0.21,-1.98,2.84,1.59,1.01,1.03,56.94
1101 台泥,2023/8/24,1101,"1,148",-32,-32,"1,084",1,-1,-6,1,7.89,"564,677","15,236","3,376",22.16,-0.82,-0.09,,,,,
1101 台泥,2023/8/23,1101,"-1,180",21,-6,"-1,165",-2,1,-5,-2,7.89,"564,677","15,250","3,404",22.32,4.16,0.85,,,,,
1101 台泥,2023/8/22,1101,-516,-778,-30,"-1,324",-1,-1,-4,-1,7.89,"564,677","15,122","3,268",21.61,9.41,-0.34,,,,,
1101 台泥,2023/8/21,1101,"1,057",41,-38,"1,060",1,2,-3,1,7.89,"564,677","15,173","2,987",19.69,0.95,-0.43,,,,,
1101 台泥,2023/8/18,1101,"-6,992",72,-94,"-7,014",-1,1,-2,-5,7.89,"564,677","15,239","2,959",19.42,43.15,-3.2,2.86,1.52,1.07,1.04,56.93
1101 台泥,2023/8/17,1101,153,-167,-126,-139,1,-2,-1,-4,7.89,"564,677","15,742","2,067",13.13,458.65,-2.28,,,,,
1101 台泥,2023/8/16,1101,"-4,094",-114,121,"-4,088",-3,-1,1,-3,7.89,"564,677","16,110",370,2.3,27.59,-2.81,,,,,
1101 台泥,2023/8/15,1101,"-3,873",41,-146,"-3,978",-2,5,-7,-2,7.89,"564,677","16,576",290,1.75,13.28,-2.18,,,,,
1101 台泥,2023/8/14,1101,"-3,176",252,-115,"-3,040",-1,4,-6,-1,7.89,"564,677","16,945",256,1.51,24.27,0.86,,,,,
1101 台泥,2023/8/11,1101,"5,767",43,-93,"5,717",1,3,-5,1,7.89,"564,677","16,800",206,1.23,-13.45,-1.51,2.84,1.57,1.05,1.06,56.94
