公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,date,Year,股價變化,股價變化率
3004 豐達科,3004,3004,2023-03-31,10,機車船製造,M22B,,86.2,1.0,1.27,3.5,1.49,64.02,153.63,153.63,5503.84,434.08,386.69,386.69,703.1,7.62,11.47,-7.02,1.98,2023-03-31,2023,3.2,3.24
3005 神基,3005,3005,2023-03-31,25,電子零組件,M23D,TEJT12  電子- 機殼,53.5,1.0,1.27,3.49,1.95,7.91,16.52,16.52,31.24,50.61,56.14,56.14,32.31,3.62,6.58,-5.08,0.83,2023-03-31,2023,9.1,13.7
3013 晟銘電,3013,3013,2023-03-31,25,電子零組件,M23D,TEJT12  電子- 機殼,22.09,1.0,0.13,1.03,0.46,30.36,68.15,68.15,594.04,20.04,241.52,241.52,241.52,-11.48,7.72,-5.11,0.31,2023-03-31,2023,3.65,8.94
3022 威強電,3022,3022,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,81.92,1.0,2.14,4.87,3.43,38.4,36.43,36.44,54.59,38.06,54.57,54.57,55.2,13.74,14.9,9.0,1.06,2023-03-31,2023,2.0,2.53
3023 信邦,3023,3023,2023-03-31,28,電子零組件,M23D,TEJT10  電子- 連接器,342.0,1.0,3.75,7.15,3.04,21.59,23.5,23.5,47.27,33.19,32.92,32.92,41.96,16.85,18.78,5.94,0.76,2023-03-31,2023,2.52,0.81
3024 憶聲,3024,3024,2023-03-31,26,家電製品,M15C,TEJN07  傳產- 電機及家電,14.7,1.0,0.09,1.36,0.82,9.97,29.45,29.45,170.08,110.3,38.06,38.06,29.51,7.26,-1.14,-0.74,0.18,2023-03-31,2023,-0.05,-0.3
3025 星通,3025,3025,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,27.7,1.0,0.61,4.93,3.9,22.03,35.58,35.58,179.69,70.75,109.46,109.46,106.86,4.11,8.25,-5.42,2.09,2023-03-31,2023,3.84,9.81
3027 盛達,3027,3027,2023-03-31,27,通訊設備,M23K,,45.74,1.0,-0.18,-0.82,-0.45,18.22,6.59,6.59,-241.41,-127.05,-157.47,-157.47,-158.64,45.54,42.2,47.28,-0.86,2023-03-31,2023,-1.0,-2.32
3029 零壹,3029,3029,2023-03-31,30,軟體服務,M23X,,55.1,1.0,1.17,5.08,2.45,21.06,14.49,14.49,15.58,21.03,21.76,21.76,17.77,0.91,2.25,,0.4,2023-03-31,2023,-0.4,-0.65
3032 偉訓,3032,3032,2023-03-31,28,電子零組件,M23D,TEJT12  電子- 機殼,44.52,1.0,0.86,3.68,1.81,18.3,34.92,34.92,113.97,26.88,23.78,23.78,40.99,-0.09,3.31,-18.02,0.19,2023-03-31,2023,0.2,0.31
3038 全台,3038,3038,2023-03-31,26,光電/ IO,M23C,TEJT08  電子- 面板,24.99,1.0,0.6,5.22,2.78,10.15,29.47,29.47,86.67,12.81,15.58,15.58,14.48,12.99,9.57,38.08,0.36,2023-03-31,2023,-2.8,-7.99
3043 科風,3043,3043,2023-03-31,31,電子零組件,M23D,TEJT11  電子- 電源供應器,38.1,1.0,0.24,1.48,0.41,71.23,34.27,34.27,120.22,13.14,13.14,13.14,10.22,24.12,145.03,-9.09,0.03,2023-03-31,2023,-0.4,-0.87
3045 台灣大,3045,3045,2023-03-31,27,通訊設備,M23K,TEJT19  電子- 電信業,96.68,1.0,0.96,4.39,1.7,8.11,5.21,5.21,4.58,1.96,0.88,0.88,1.09,1.08,-0.28,-1.06,0.06,2023-03-31,2023,1.9,2.03
3046 建碁,3046,3046,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,68.64,1.0,0.74,6.25,2.61,61.55,46.14,46.14,200.32,76.04,72.95,72.95,72.95,31.94,14.37,,1.22,2023-03-31,2023,7.4,10.69
3050 鈺德,3050,3050,2023-03-31,26,光電/ IO,M23C,TEJT05  電子- PC週邊,15.21,1.0,0.2,1.27,0.68,1.25,14.5,14.5,58.19,101.6,214.34,214.34,105.18,-3.97,-0.85,-3.36,0.49,2023-03-31,2023,0.35,2.38
3056 總太,3056,3056,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,29.83,1.0,0.06,0.2,0.07,508.69,1374.05,1374.05,106.23,130.77,127.51,127.51,103.93,-6.18,34.9,0.64,0.32,2023-03-31,2023,,
3062 建漢,3062,3062,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,23.2,1.0,-0.37,-1.97,-1.34,10.5,140.49,140.49,-9.55,-41.65,-29.64,-29.64,-26.3,-6.75,-7.38,12.39,-0.29,2023-03-31,2023,2.7,13.6
3067 全域,3067,3067,2023-03-31,31,消費性電子,M23U,TEJT21  電子- 消費性電子,32.55,1.0,0.06,0.55,0.4,153.16,90.39,90.39,200.0,320.91,278.33,278.33,278.33,7.9,-2.03,-6.3,0.59,2023-03-31,2023,-1.15,-2.93
3078 僑威,3078,3078,2023-03-31,28,電子零組件,M23D,TEJT11  電子- 電源供應器,44.3,1.0,1.18,4.89,2.76,35.75,98.55,98.55,217.77,58.45,50.3,50.3,50.1,11.27,1.23,,0.97,2023-03-31,2023,-3.46,-4.2
3083 網龍,3083,3083,2023-03-31,32,軟體服務,M23X,TEJT22  電子- 軟體,43.8,1.0,-0.07,2.78,2.5,3.66,0.03,0.03,45.95,53.77,53.72,53.72,53.72,-0.34,0.0,,0.7,2023-03-31,2023,0.0,0.0
3088 艾訊,3088,3088,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,76.8,1.0,1.35,3.45,1.97,6.24,4.83,4.85,7.14,-8.68,-7.36,-7.36,-7.4,17.69,17.0,29.74,-0.07,2023-03-31,2023,5.89,6.8
3118 進階,3118,3118,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,28.73,1.0,0.51,2.98,2.0,23.49,15.22,15.22,31.04,49.51,49.45,49.45,49.76,3.01,0.54,-8.0,0.66,2023-03-31,2023,0.0,0.0
3128 昇銳,3128,3128,2023-03-31,26,光電/ IO,M23C,TEJT09  電子- 其他光電,40.4,1.0,0.3,2.16,1.1,2.63,10.6,10.6,35.85,-1.04,-1.05,-1.05,-1.05,15.5,8.0,11.45,0.05,2023-03-31,2023,-1.15,-3.48
3138 耀登,3138,3138,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,155.89,1.0,1.1,3.45,1.76,13.17,30.83,30.83,166.87,78.84,65.54,65.54,63.38,5.12,8.8,-34.27,0.57,2023-03-31,2023,7.5,5.43
3162 精確,3162,3162,2023-03-31,5,自行車組件,M15E,TEJN23  傳產- 運動休閒,60.5,1.0,-0.06,0.72,0.3,143.37,114.02,114.02,63.61,79.4,70.35,70.35,70.35,87.43,39.15,205.43,1.0,2023-03-31,2023,2.7,5.39
3178 公準,3178,3178,2023-03-31,24,電子設備,M23H,TEJT18  電子- 電子設備,78.7,1.0,1.03,4.06,1.81,9.27,17.31,17.31,33.49,4.84,0.77,0.77,1.21,9.9,17.78,1.98,0.02,2023-03-31,2023,5.58,6.57
3188 鑫龍騰,3188,3188,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,12.68,1.0,0.09,0.74,0.25,211.54,155.86,155.86,357.45,343.86,338.18,338.18,334.85,8.5,38.95,,0.19,2023-03-31,2023,0.9,6.25
