公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,date,Year,股價變化,股價變化率
3664 安瑞-KY,3664,3664,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,22.85,1.0,-0.65,-12.34,-4.46,44.54,55.55,55.55,58.53,59.49,57.6,57.6,57.44,12.29,-9.61,,6.09,2023-03-31,2023,,
3665 貿聯-KY,3665,3665,2023-03-31,31,電子零組件,M23D,TEJT10  電子- 連接器,266.18,1.0,4.01,3.95,1.57,8.87,14.7,14.7,32.87,8.44,20.19,20.19,33.36,12.35,18.59,22.05,0.56,2023-03-31,2023,,
3680 家登,3680,3680,2023-03-31,24,電子設備,M23H,TEJT18  電子- 電子設備,370.37,1.0,3.94,8.78,3.87,40.54,51.75,51.75,80.3,74.14,75.46,75.46,55.19,30.99,31.11,32.43,1.44,2023-03-31,2023,,
3684 榮昌,3684,3684,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,52.47,1.0,0.5,1.98,1.13,0.9,0.68,0.68,-13.75,-43.39,-43.42,-43.42,-43.65,-4.03,6.71,-0.86,-0.73,2023-03-31,2023,,
3693 營邦,3693,3693,2023-03-31,25,電子零組件,M23D,TEJT12  電子- 機殼,128.5,1.0,3.75,6.47,2.74,101.98,163.04,163.04,1731.02,584.84,788.99,788.99,788.99,45.51,31.82,-5.9,2.56,2023-03-31,2023,,
3701 大眾控,3701,3701,2023-03-31,25,PC系統,M23A,TEJT01  電子- PC,49.99,1.0,0.12,1.97,1.04,2.71,60.03,60.03,4955.95,-24.57,-42.61,-42.61,124.24,7.94,15.79,-2.94,-0.51,2023-03-31,2023,,
3704 合勤控,3704,3704,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,37.15,1.0,1.17,4.69,1.87,25.95,39.91,39.91,169.18,31.53,43.23,43.23,66.32,4.3,13.41,,0.6,2023-03-31,2023,,
4102 永日,4102,4102,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,27.88,1.0,0.43,1.1,0.74,25.54,80.09,80.09,2218.86,187.6,195.18,195.18,195.18,6.88,18.04,-7.61,1.2,2023-03-31,2023,,
4104 佳醫,4104,4104,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,76.85,1.0,1.36,3.32,2.03,17.45,5.88,6.07,4.69,21.82,23.19,23.19,12.61,8.49,5.1,,0.34,2023-03-31,2023,,
4105 東洋,4105,4105,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,76.2,1.0,0.96,3.98,2.46,12.46,9.26,10.04,-0.47,2.12,2.9,2.9,2.92,3.2,-7.03,,0.13,2023-03-31,2023,,
4106 雃博,4106,4106,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,28.01,1.0,0.5,2.85,2.01,17.53,19.86,19.86,29.09,53.49,63.32,63.32,64.39,-0.42,7.6,,0.64,2023-03-31,2023,,
4109 加捷生醫,4109,4109,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,14.7,1.0,-0.26,-0.89,-0.82,2.56,16.94,16.94,-759.1,-1024.61,-1085.96,-1085.96,-1085.96,-3.84,-2.98,-0.81,-2.05,2023-03-31,2023,,
4114 健喬,4114,4114,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,40.87,1.0,0.39,1.16,0.68,30.11,26.24,26.24,24.99,15.69,-5.16,-5.16,-0.04,9.54,8.09,-2.23,0.04,2023-03-31,2023,,
4116 明基醫,4116,4116,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,58.31,1.0,0.51,2.12,1.06,11.58,20.46,21.46,122.73,-55.55,-63.87,-63.87,106.97,2.86,1.89,-4.79,-1.78,2023-03-31,2023,,
4119 旭富,4119,4119,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,105.1,1.0,0.67,1.64,1.18,81.78,123.0,123.0,332.25,51.37,54.08,54.08,39.99,18.56,9.16,91.06,0.71,2023-03-31,2023,,
4120 友華,4120,4120,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,36.85,1.0,0.32,7.34,2.49,0.64,5.8,5.8,-39.64,99.79,19.74,19.74,19.03,6.91,3.82,-8.47,0.18,2023-03-31,2023,,
4121 優盛,4121,4121,2023-03-31,22,醫藥通路,M17X,,22.85,1.0,0.11,0.98,0.47,2.27,6.0,6.0,-18.03,-34.96,-45.75,-45.75,-52.52,4.75,7.86,5.43,-0.27,2023-03-31,2023,,
4123 晟德,4123,4123,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,46.15,1.0,1.67,4.86,3.67,120.39,87.24,87.24,-92.85,1.93,15.14,15.14,90.23,-5.41,-6.92,71.15,0.6,2023-03-31,2023,,
4126 太醫,4126,4126,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,80.42,1.0,1.56,4.09,3.07,26.4,81.64,81.64,150.09,102.87,102.91,102.91,102.81,-0.42,2.49,-6.18,1.53,2023-03-31,2023,,
4129 聯合,4129,4129,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,52.37,1.0,0.85,2.28,1.25,25.46,30.91,32.34,67.03,65.53,84.46,84.46,67.75,7.36,9.37,7.27,0.75,2023-03-31,2023,,
4130 健亞,4130,4130,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,25.96,1.0,0.12,7.66,6.93,32.02,60.55,60.55,324.61,394.88,239.03,239.03,237.9,6.28,9.27,-4.47,1.46,2023-03-31,2023,,
4138 曜亞,4138,4138,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,72.26,1.0,1.84,6.78,3.92,27.12,27.07,27.07,35.34,38.02,41.27,41.27,41.27,13.18,9.97,,0.94,2023-03-31,2023,,
4139 馬光-KY,4139,4139,2023-03-31,22,生物科技,M17H,TEJN09  傳產- 西藥,37.45,1.0,-0.05,-0.72,-0.23,23.59,12.39,12.39,-57.95,-154.58,-2116.81,-2116.81,-2156.64,10.97,-10.51,41.05,0.55,2023-03-31,2023,,
4142 國光生,4142,4142,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,39.45,1.0,-0.59,-4.09,-2.87,221.43,47.66,47.66,-2.28,-8.98,-8.98,-8.98,-8.98,13.54,1.81,1.87,-0.29,2023-03-31,2023,,
4147 中裕,4147,4147,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,92.1,1.0,-0.32,-3.06,-2.01,76.46,7397.33,7397.33,30.39,32.53,32.53,32.53,18.65,-14.68,-6.73,-6.81,0.99,2023-03-31,2023,,
4153 鈺緯,4153,4153,2023-03-31,22,光電/ IO,M23C,TEJT05  電子- PC週邊,45.44,1.0,0.37,2.16,1.73,28.97,87.65,91.0,2980.59,1036.43,1052.74,1052.74,154.88,5.68,-1.06,-1.63,1.55,2023-03-31,2023,,
4161 聿新科,4161,4161,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,29.35,1.0,0.16,0.67,0.33,5.77,44.7,44.7,241.36,369.26,348.95,348.95,-39.34,-2.38,11.03,-3.08,0.42,2023-03-31,2023,,
4163 鐿鈦,4163,4163,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,122.35,1.0,2.51,5.15,2.62,29.37,60.38,60.38,140.6,48.05,46.5,46.5,56.71,16.32,17.58,27.74,0.91,2023-03-31,2023,,
4164 承業醫,4164,4164,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,66.99,1.0,0.49,1.35,0.66,32.02,7.73,7.73,17.76,6.05,13.22,13.22,7.25,7.17,4.04,10.56,0.27,2023-03-31,2023,,
4173 久裕,4173,4173,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,18.88,1.0,0.23,0.99,0.38,3.65,1.87,1.87,42.08,42.51,43.9,43.9,43.9,9.09,3.81,30.98,0.12,2023-03-31,2023,,
4175 杏一,4175,4175,2023-03-31,22,醫藥通路,M17X,,83.83,1.0,0.49,1.39,0.27,9.3,8.45,8.45,-18.75,-39.81,-40.45,-40.45,-43.01,9.09,19.65,-3.9,0.06,2023-03-31,2023,,
4190 佐登-KY,4190,4190,2023-03-31,22,其他化學,M17Z,TEJN11  傳產- 其他化學,92.62,1.0,0.09,0.58,0.15,22.51,18.2,18.2,5.17,-4.11,-44.86,-44.86,-106.9,-0.64,-1.76,26.95,0.24,2023-03-31,2023,,
4192 杏國,4192,4192,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,73.93,1.0,-0.21,-10.81,-6.09,10.17,7.75,7.75,42.79,43.52,43.52,43.52,43.35,-48.93,-44.65,-32.58,2.89,2023-03-31,2023,,
4198 欣大健康,4198,4198,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,26.65,1.0,-0.61,-6.19,-2.52,4.51,81.98,81.98,47.71,59.06,59.06,59.06,59.06,62.09,242.83,57.02,3.93,2023-03-31,2023,,
4205 中華食,4205,4205,2023-03-31,2,其他食品,M12Z,TEJN02  傳產- 食品,103.01,1.0,0.93,4.26,3.55,8.28,2.18,2.18,-0.7,0.38,0.35,0.35,-0.14,4.67,4.69,74.18,0.01,2023-03-31,2023,,
4207 環泰,4207,4207,2023-03-31,2,其他食品,M12Z,TEJN02  傳產- 食品,13.92,1.0,0.36,2.74,1.54,9.63,7.4,7.4,9.09,0.7,2.03,2.03,7.74,3.68,6.74,4.75,0.18,2023-03-31,2023,,
4304 勝昱,4304,4304,2023-03-31,3,石化,M13A,TEJN04  傳產- 塑膠製品,9.9,1.0,-0.43,-7.7,-2.92,81.69,90.98,90.98,24.72,-5.84,-16.18,-16.18,-16.18,8.34,-22.84,-12.29,-0.39,2023-03-31,2023,,
4416 三圓,4416,4416,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,87.9,1.0,-0.33,-0.93,-0.11,4.66,8.77,8.77,1.66,61.46,53.32,53.32,53.32,10.73,-21.71,-21.3,0.21,2023-03-31,2023,,
4419 元勝,4419,4419,2023-03-31,4,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,21.5,1.0,0.0,2.13,0.49,26.87,21.19,21.19,206.8,15.23,-31.81,-31.81,189.18,-3.08,-15.18,-9.31,-0.8,2023-03-31,2023,,
4426 利勤,4426,4426,2023-03-31,4,成衣,M14C,TEJN05  傳產- 紡織,25.8,1.0,0.06,0.14,0.08,56.93,269.58,269.58,126.94,119.85,111.16,111.16,111.04,-4.38,1.65,0.67,1.88,2023-03-31,2023,,
4503 金雨,4503,4503,2023-03-31,5,其他電製品,M15Z,TEJN07  傳產- 電機及家電,48.65,1.0,-0.29,-2.38,-2.05,51.92,17.17,17.17,7.31,-23.2,-19.55,-19.55,-2.06,40.65,114.14,11.3,-0.28,2023-03-31,2023,,
4506 崇友,4506,4506,2023-03-31,5,電機製品,M15B,TEJN07  傳產- 電機及家電,71.08,1.0,1.36,4.92,2.77,5.65,8.96,8.96,13.67,-4.73,-11.04,-11.04,-23.39,4.96,4.58,-1.37,-0.33,2023-03-31,2023,,
4526 東台,4526,4526,2023-03-31,5,機械業,M15A,TEJN06  傳產- 工具機,16.73,1.0,-0.02,0.48,0.18,4.34,20.9,20.9,108.59,-99.44,-106.81,-106.81,-80.42,-2.59,0.7,-12.82,-0.03,2023-03-31,2023,,
4527 方方土霖,4527,4527,2023-03-31,5,家電製品,M15C,TEJN07  傳產- 電機及家電,29.13,1.0,0.42,1.98,1.0,18.03,19.91,19.91,56.76,79.38,100.61,100.61,96.97,10.59,-3.57,-1.26,0.56,2023-03-31,2023,,
4529 淳紳,4529,4529,2023-03-31,20,汽車製造,M22A,TEJN16  傳產- 汽車,10.05,1.0,-0.2,5.4,5.14,67.4,104.75,104.75,23.96,-147.57,-147.57,-147.57,22.45,-48.68,-43.01,9.98,-9.51,2023-03-31,2023,,
4533 協易機,4533,4533,2023-03-31,5,機械業,M15A,TEJN06  傳產- 工具機,11.33,1.0,0.3,2.15,0.84,13.79,37.16,37.16,320.14,43.22,47.35,47.35,10.35,1.83,1.07,-9.8,0.25,2023-03-31,2023,,
4536 拓凱,4536,4536,2023-03-31,37,其他,M99Z,TEJO99  其它業別,197.01,1.0,3.6,4.11,2.25,26.3,33.94,33.94,57.76,8.35,5.82,5.82,4.4,12.41,29.32,37.51,0.23,2023-03-31,2023,,
4538 大詠城,4538,4538,2023-03-31,5,機械業,M15A,TEJN06  傳產- 工具機,19.96,1.0,0.61,4.03,3.06,3.74,157.82,157.82,466.67,525.5,568.44,568.44,393.74,27.82,12.89,-1.18,2.53,2023-03-31,2023,,
4542 科嶠,4542,4542,2023-03-31,28,電子設備,M23H,TEJT18  電子- 電子設備,28.07,1.0,0.21,1.06,0.5,66.03,224.93,224.93,148.52,180.5,141.93,141.93,141.25,1.69,-2.33,67.58,1.41,2023-03-31,2023,,
4549 桓達,4549,4549,2023-03-31,5,儀器設備,M15H,,88.85,1.0,1.07,3.21,2.46,13.45,0.56,0.56,-5.19,-17.09,-13.78,-13.78,-20.12,3.82,9.07,-2.57,-0.32,2023-03-31,2023,,
4550 長佳,4550,4550,2023-03-31,5,電機製品,M15B,TEJN07  傳產- 電機及家電,29.84,1.0,0.34,1.62,0.83,53.9,66.27,66.27,143.19,61.91,65.87,65.87,65.9,-3.98,7.87,-3.23,0.27,2023-03-31,2023,,
4557 永新-KY,4557,4557,2023-03-31,12,汽車組件,M15D,TEJN16  傳產- 汽車,102.01,1.0,1.4,3.01,1.83,1.44,22.97,22.97,40.21,-8.17,-10.64,-10.64,-9.78,17.5,19.05,35.55,0.22,2023-03-31,2023,,
4562 穎漢,4562,4562,2023-03-31,5,機械業,M15A,TEJN06  傳產- 工具機,16.2,1.0,-0.07,-0.42,-0.2,12.15,46.18,46.18,78.38,38.71,67.75,67.75,67.75,-13.5,1.1,-9.12,0.56,2023-03-31,2023,,
4572 駐龍,4572,4572,2023-03-31,5,機車船製造,M22B,,139.0,1.0,1.65,3.36,2.71,58.25,59.96,59.96,108.35,58.07,58.61,58.61,58.61,8.98,1.5,-8.09,1.11,2023-03-31,2023,,
4580 捷流閥業,4580,4580,2023-03-31,5,其他電製品,M15Z,TEJN07  傳產- 電機及家電,85.7,1.0,1.9,3.86,2.42,7.2,6.04,6.04,4.75,-6.26,-7.81,-7.81,-8.4,-3.09,8.49,-2.43,-0.17,2023-03-31,2023,,
4581 光隆精密-KY,4581,4581,2023-03-31,12,汽車組件,M15D,TEJN16  傳產- 汽車,42.8,1.0,1.4,5.23,3.15,31.08,90.52,90.52,277.01,217.81,122.26,122.26,122.26,16.81,8.58,-17.58,1.56,2023-03-31,2023,,
4609 唐鋒,4609,4609,2023-03-31,38,家電製品,M15C,TEJN07  傳產- 電機及家電,7.8,1.0,-0.22,-6.85,-1.87,16.26,130.37,130.37,6.09,-742.71,-742.71,-742.71,-376.68,-2.35,2.17,,-1.71,2023-03-31,2023,,
4728 雙美,4728,4728,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,135.35,1.0,2.35,9.2,6.74,21.04,22.21,22.21,14.48,13.55,-3.6,-3.6,-3.59,22.95,24.47,23.94,-0.13,2023-03-31,2023,,
4743 合一,4743,4743,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,234.58,1.0,-0.68,-0.54,-0.52,10.48,57.56,57.56,-11.79,-168.95,-169.09,-169.09,-168.94,-1.65,4.94,-1.81,-3.91,2023-03-31,2023,,
4746 台耀,4746,4746,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,76.7,1.0,-0.21,-0.89,-0.55,11.62,61.27,61.27,365.38,94.22,84.9,84.9,202.7,10.12,8.1,0.11,3.08,2023-03-31,2023,,
4747 強生,4747,4747,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,45.23,1.0,0.75,2.95,2.49,34.73,36.94,36.94,72.17,75.14,76.03,76.03,76.03,6.03,4.74,34.17,1.0,2023-03-31,2023,,
4754 國碳科,4754,4754,2023-03-31,21,其他化學,M17Z,TEJN11  傳產- 其他化學,39.1,1.0,0.59,3.73,2.24,31.04,20.98,20.98,32.09,4.2,4.2,4.2,4.2,4.42,8.14,,0.11,2023-03-31,2023,,
4763 材料-KY,4763,4763,2023-03-31,21,其他化學,M17Z,TEJN11  傳產- 其他化學,340.4,1.0,7.44,14.29,9.75,94.22,235.26,235.26,444.57,43.99,36.98,36.98,472.12,57.84,109.09,43.48,2.71,2023-03-31,2023,,
4768 晶呈科技,4768,4768,2023-03-31,21,其他化學,M17Z,TEJN11  傳產- 其他化學,167.08,1.0,1.17,3.75,2.87,32.19,56.93,56.93,91.02,85.89,115.39,115.39,115.39,14.71,82.67,68.41,1.62,2023-03-31,2023,,
4770 上品,4770,4770,2023-03-31,21,樹脂,M17F,TEJN11  傳產- 其他化學,302.0,1.0,6.81,8.41,5.53,23.1,36.69,36.69,49.59,46.46,49.73,49.73,49.4,19.83,18.73,18.69,1.97,2023-03-31,2023,,
4904 遠傳,4904,4904,2023-03-31,27,通訊設備,M23K,TEJT19  電子- 電信業,72.01,1.0,0.85,4.49,1.74,1.83,6.15,6.15,12.55,17.0,17.95,17.95,16.1,-3.2,-0.79,-3.52,0.27,2023-03-31,2023,,
4905 台聯電,4905,4905,2023-03-31,27,通訊設備,M23K,,51.0,1.0,2.19,5.94,5.8,5.56,0.76,0.76,-124.08,579.49,577.42,577.42,-180.51,1.19,-0.72,-14.06,2.85,2023-03-31,2023,,
4906 正文,4906,4906,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,29.43,1.0,0.16,2.53,1.39,36.55,33.43,33.43,4539.86,-48.11,-63.87,-63.87,-65.09,3.32,-6.18,13.47,-0.1,2023-03-31,2023,,
4909 新復興,4909,4909,2023-03-31,27,主機板,M23B,TEJT03  電子- PCB,17.6,1.0,-0.04,-0.21,-0.2,28.19,165.35,165.35,67.79,-136.77,-134.43,-134.43,-141.19,-3.08,-2.67,,-0.55,2023-03-31,2023,,
4911 德英,4911,4911,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,63.5,1.0,0.27,2.16,1.94,462.37,2002.12,2002.12,466.02,483.11,400.68,400.68,400.74,12.78,4.05,-3.19,2.56,2023-03-31,2023,,
4916 事欣科,4916,4916,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,32.86,1.0,0.31,0.88,0.39,53.21,8.21,8.21,122.21,101.31,38.43,38.43,5.46,6.64,23.17,,0.32,2023-03-31,2023,,
4934 太極,4934,4934,2023-03-31,26,光電/ IO,M23C,TEJT07  電子- 太陽能,30.9,1.0,0.21,0.68,0.51,93.75,459.89,459.89,95.22,119.47,119.14,119.14,117.18,-16.73,45.43,-16.02,2.92,2023-03-31,2023,,
4973 廣穎,4973,4973,2023-03-31,24,半導體,M23G,TEJT16  電子- 晶圓製造,27.06,1.0,0.38,10.77,7.37,2.58,41.92,41.92,246.51,30.75,46.83,46.83,49.19,-9.79,-4.99,-4.53,0.33,2023-03-31,2023,,
4976 佳凌,4976,4976,2023-03-31,26,消費性電子,M23U,TEJT21  電子- 消費性電子,49.05,1.0,-0.36,-1.81,-1.47,5.0,7.15,7.15,-6.61,-157.61,-157.61,-157.61,-157.61,-4.17,-4.84,12.44,-0.95,2023-03-31,2023,,
4977 眾達-KY,4977,4977,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,112.82,1.0,2.52,6.91,5.25,43.31,84.35,84.35,143.46,376.84,385.52,385.52,148.45,61.0,67.12,-14.23,3.21,2023-03-31,2023,,
4979 華星光,4979,4979,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,51.48,1.0,0.3,5.49,3.97,140.15,146.65,146.65,992.86,2339.93,2339.93,2339.93,2339.93,8.13,21.18,-20.86,1.87,2023-03-31,2023,,
5009 榮剛,5009,5009,2023-03-31,10,金屬基本,M20A,TEJN14  傳產- 鋼鐵,49.3,1.0,1.2,4.96,2.37,25.5,10.56,10.56,48.13,64.13,57.07,57.07,29.03,12.72,41.05,3.32,0.92,2023-03-31,2023,,
5201 凱衛,5201,5201,2023-03-31,30,軟體服務,M23X,TEJT22  電子- 軟體,26.79,1.0,1.24,10.33,8.28,3.23,28.39,28.39,57.17,3311.31,3502.09,3502.09,172.55,-6.85,10.67,-14.14,8.05,2023-03-31,2023,,
5203 訊連,5203,5203,2023-03-31,30,軟體服務,M23X,,101.7,1.0,0.69,0.66,0.52,12.92,12.46,12.46,77.39,23.39,28.68,28.68,16.86,43.65,66.01,0.87,0.21,2023-03-31,2023,,
5209 新鼎,5209,5209,2023-03-31,20,工程承攬,M25C,TEJN17  傳產- 營建,108.69,1.0,2.89,12.99,2.21,71.54,82.54,82.54,160.91,119.08,118.61,118.61,153.89,28.22,-22.68,-4.97,1.31,2023-03-31,2023,,
5211 蒙恬,5211,5211,2023-03-31,30,軟體服務,M23X,,28.79,1.0,-4.08,-25.53,-22.49,5.82,34.63,34.63,74.66,-11331.46,-8912.71,-8912.71,9488.01,-26.6,-21.47,-24.23,-19.93,2023-03-31,2023,,
5213 亞昕,5213,5213,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,25.88,1.0,-0.09,-0.58,-0.11,55.02,121.5,121.5,-6.45,57.28,57.28,57.28,-21.65,14.33,10.8,-3.71,0.18,2023-03-31,2023,,
5222 全訊,5222,5222,2023-03-31,24,通訊設備,M23K,TEJT15  電子- 網通,183.5,1.0,0.68,2.38,1.91,17.82,17.92,17.92,8.05,-16.57,-20.35,-20.35,2.83,-1.64,2.79,25.0,-0.32,2023-03-31,2023,,
5227 立凱-KY,5227,5227,2023-03-31,28,電子零組件,M23D,TEJT14  電子- 電子零組件其他,62.37,1.0,-1.37,-14.58,-7.1,154.32,394.61,394.61,32.61,32.24,5.25,5.25,5.3,25.16,47.67,3.78,0.46,2023-03-31,2023,,
5243 乙盛-KY,5243,5243,2023-03-31,26,電子零組件,M23D,TEJT14  電子- 電子零組件其他,65.8,1.0,0.96,4.12,2.4,2.32,26.22,26.22,59.97,17.57,6.88,6.88,6.6,15.14,13.25,20.93,0.59,2023-03-31,2023,,
5258 虹堡,5258,5258,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,86.4,1.0,2.18,7.33,3.49,22.64,43.02,43.02,54.22,52.1,52.48,52.48,52.58,35.48,71.07,2.94,1.33,2023-03-31,2023,,
5263 智崴,5263,5263,2023-03-31,32,其他電子,M23Z,TEJO99  其它業別,126.1,1.0,-0.15,-0.83,-0.54,14.34,2.02,2.02,20.01,-155.05,22.3,22.3,36.54,0.71,7.74,-7.91,0.09,2023-03-31,2023,,
5276 達輝-KY,5276,5276,2023-03-31,20,汽車組件,M15D,TEJN16  傳產- 汽車,14.85,1.0,-0.02,1.43,0.95,15.63,86.88,86.88,2111.48,1239.6,78.16,78.16,78.16,1.77,5.68,-20.37,0.45,2023-03-31,2023,,
5278 尚凡,5278,5278,2023-03-31,36,通訊設備,M23K,TEJT15  電子- 網通,175.22,1.0,3.18,15.24,6.2,3.3,17.06,17.06,67.39,52.0,40.2,40.2,41.28,17.27,9.97,,1.88,2023-03-31,2023,,
5284 jpp-KY,5284,5284,2023-03-31,20,電子零組件,M23D,TEJT14  電子- 電子零組件其他,110.18,1.0,2.52,6.25,3.7,42.85,66.96,66.96,124.04,118.7,147.67,147.67,160.98,18.57,26.04,,2.13,2023-03-31,2023,,
5287 數字,5287,5287,2023-03-31,36,通訊設備,M23K,TEJT15  電子- 網通,197.67,1.0,3.27,8.48,4.68,10.61,6.21,6.21,8.39,8.88,10.47,10.47,8.7,0.19,14.41,36.7,0.51,2023-03-31,2023,,
5288 豐祥-KY,5288,5288,2023-03-31,5,汽車組件,M15D,TEJN16  傳產- 汽車,173.0,1.0,3.57,4.5,2.51,2.43,26.3,26.22,37.29,35.38,35.09,35.09,37.93,12.97,24.19,1.17,1.03,2023-03-31,2023,,
5301 寶得利,5301,5301,2023-03-31,16,貿易業,M29B,TEJN21  傳產- 百貨貿易,12.8,1.0,-0.14,-2.36,-1.87,100.28,90.81,90.81,9.43,-33.06,-33.06,-33.06,-35.83,28.43,38.92,199.62,-0.25,2023-03-31,2023,,
5309 系統電,5309,5309,2023-03-31,28,汽車組件,M15D,TEJN16  傳產- 汽車,46.35,1.0,0.45,4.12,2.4,16.69,25.89,25.89,16.63,3.81,4.11,4.11,2.55,49.02,92.33,11.09,0.31,2023-03-31,2023,,
5312 寶島科,5312,5312,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,61.37,1.0,1.96,8.18,3.45,18.56,21.01,21.01,140.61,72.31,85.25,85.25,73.86,8.49,-0.37,-1.5,0.96,2023-03-31,2023,,
5321 美而快,5321,5321,2023-03-31,36,通訊設備,M23K,TEJT15  電子- 網通,85.6,1.0,1.06,5.17,1.44,11.16,7.64,7.64,-27.73,-25.07,-21.65,-21.65,-24.12,5.31,21.53,11.43,-0.15,2023-03-31,2023,,
5324 士開,5324,5324,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,9.01,1.0,-0.2,-2.65,-0.47,29.42,115.71,115.71,50.03,32.96,32.86,32.86,32.78,4.47,-11.5,-9.3,0.28,2023-03-31,2023,,
5353 台林,5353,5353,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,45.07,1.0,0.63,4.84,2.89,29.35,63.49,63.49,119.35,111.89,128.27,128.27,117.07,12.76,0.46,45.3,1.52,2023-03-31,2023,,
5355 佳總,5355,5355,2023-03-31,28,主機板,M23B,TEJT03  電子- PCB,7.05,1.0,-0.12,-1.61,-1.35,14.72,105.9,105.9,51.82,36.53,38.47,38.47,39.1,-28.22,-5.63,4.75,0.85,2023-03-31,2023,,
5381 合正,5381,5381,2023-03-31,28,主機板,M23B,TEJT04  電子- PCB原材料,15.7,1.0,0.01,-1.21,-0.54,158.76,93.04,93.04,964.47,50.25,37.63,37.63,38.14,246.65,23.56,1763.8,0.31,2023-03-31,2023,,
5388 中磊,5388,5388,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,90.28,1.0,1.97,5.39,1.2,23.55,30.61,30.61,74.32,60.25,56.54,56.54,95.46,7.86,12.82,18.11,0.5,2023-03-31,2023,,
5432 新門,5432,5432,2023-03-31,26,光電/ IO,M23C,TEJT08  電子- 面板,26.39,1.0,0.17,0.97,0.82,18.34,15.68,15.68,-10.22,-59.04,-59.04,-59.04,-54.94,25.08,4.25,-98.72,-1.29,2023-03-31,2023,,
5439 高技,5439,5439,2023-03-31,28,主機板,M23B,TEJT03  電子- PCB,64.82,1.0,1.21,4.64,2.79,23.53,30.87,30.87,36.47,7.84,7.84,7.84,8.04,8.35,1.63,-5.74,0.23,2023-03-31,2023,,
5464 霖宏,5464,5464,2023-03-31,28,主機板,M23B,TEJT03  電子- PCB,29.3,1.0,0.1,0.51,0.13,5.4,3025.5,3025.5,86.41,-113.97,-90.17,-90.17,-77.93,19.61,6.05,66.22,-0.97,2023-03-31,2023,,
5465 富驊,5465,5465,2023-03-31,25,電子零組件,M23D,TEJT12  電子- 機殼,26.39,1.0,0.47,3.4,2.25,16.91,30.11,30.11,52.48,18.92,20.66,20.66,25.77,-3.49,5.98,-24.13,0.03,2023-03-31,2023,,
5478 智冠,5478,5478,2023-03-31,32,軟體服務,M23X,TEJT22  電子- 軟體,86.09,1.0,2.17,3.75,1.76,12.49,12.43,12.43,28.65,35.64,36.52,36.52,34.62,8.75,3.03,,0.44,2023-03-31,2023,,
