證券代碼,年月日,收盤價(元),季別,市值(百萬元),每股盈餘,ROE－綜合損益,營業毛利,營業收入淨額,營業費用,營業利益,營業毛利率,營業利益率,營業費用率,營收成長率,營業毛利成長率,營業利益成長率,營收變動率,營業利益變動率,流動比率,速動比率,負債比率,等級,評鑑結果,屆次
5236 凌陽創新,2021/6/30,,2,,3.62,13.65,"411,823","651,086","178,496","233,327",63.25,35.84,27.42,45.34,68.7,77.79,15.23,30.34,230.34,211.55,45.05,,,
6684 安格,2021/6/30,,2,,1.77,8.58,"92,507","155,534","44,411","48,096",59.48,30.92,28.55,84.65,135.54,343.16,13.82,35.75,438.66,377,24.99,,,
6693 廣閎科,2021/6/30,,2,,0.54,4.97,"69,719","290,784","38,423","31,296",23.98,10.76,13.21,,,,11.87,24.25,187.44,122.58,59.86,,,
6695 芯鼎,2021/6/30,,2,,0.93,13.17,"149,759","328,957","113,825","35,934",45.53,10.92,34.6,,,,49.7,387.77,344.66,150.06,38.25,,,
6708 天擎,2021/6/30,,2,,0.63,5.25,"55,767","98,202","34,509","21,258",56.79,21.65,35.14,,,,20.89,109.01,283.46,228.39,35.63,,,
6719 力智,2021/6/30,,2,,3.82,12.76,"587,248","1,438,881","263,022","324,226",40.81,22.53,18.28,,,,23.05,71.01,222.64,134.66,42.76,,,
6770 力積電,2021/6/30,,2,,1.07,8.04,"6,056,804","15,334,840","2,017,910","4,227,060",39.5,27.57,13.16,33.17,139.57,247.04,15.83,48.82,209.82,161.35,49.54,,,
6788 華景電,2021/6/30,,2,,1.7,6.29,"128,599","243,063","58,244","70,355",52.91,28.95,23.96,54.09,57.25,71.2,10.61,17.43,334.46,212.83,30.93,,,
6789 采鈺,2021/6/30,,2,,1.58,5.85,"771,426","2,139,294","200,337","577,910",36.06,27.01,9.36,,,,29.46,26.14,216.78,193.8,39.16,,,
6799 來頡,2021/6/30,,2,,1.66,12.47,"120,147","241,377","42,032","78,115",49.78,32.36,17.41,,,,3.11,14.93,352.2,282.58,27.27,,,
6823 濾能,2021/6/30,,2,,1.47,9.86,"53,188","180,529","21,912","31,276",29.46,17.32,12.14,,,,17.58,195.42,331.29,223.53,31.76,,,
8227 巨有科技,2021/6/30,,2,,0.11,1.27,"30,636","130,148","25,841","4,795",23.54,3.68,19.86,,,,-0.61,-55.95,205.71,147.1,39.66,,,
2302 麗正,2021/3/31,19.1388,1,"3,501",0.03,0.33,"45,614","163,693","43,017","2,597",27.87,1.59,26.28,65.49,116.1,112.73,-48.65,-97.61,161.67,111.01,19.03,,,
2303 聯電,2021/3/31,42.5678,1,"623,605",0.85,5.54,"12,494,302","47,097,012","5,932,203","7,621,747",26.53,16.18,12.6,11.43,53.83,123.25,3.98,35.74,228.04,177.06,36.67,,,
