證券代碼,年月日,收盤價(元),季別,市值(百萬元),每股盈餘,ROE－綜合損益,營業毛利,營業收入淨額,營業費用,營業利益,營業毛利率,營業利益率,營業費用率,營收成長率,營業毛利成長率,營業利益成長率,營收變動率,營業利益變動率,流動比率,速動比率,負債比率,等級,評鑑結果,屆次
2816 旺旺保,2022/12/30,15.8,4,"3,533",-2.3,-9.43,"-2,587","2,369,690","524,351","-526,938",-0.11,-22.24,22.13,1.38,-100.3,-256.3,5.14,"-6,749.06",,,73.75,C,36%至50%,9
2820 華票,2022/12/30,14.0338,4,"19,473",0.09,1.66,,"239,799","119,843",,,,49.98,-63.23,,,-48.83,,,,89.42,B,21%至35%,9
2832 台產,2022/12/30,19.5609,4,"7,407",0.14,0.76,"430,807","1,468,918","364,521","66,286",29.33,4.51,24.82,-22.01,-51.87,-88.22,-6.95,-79.03,,,52.39,B,21%至35%,9
2834 臺企銀,2022/12/30,12.95,4,"103,985",0.38,4.52,,"7,777,174","3,445,150",,,,44.3,28.97,,,-0.62,,,,94.98,A,6%至20%,9
2836 高雄銀,2022/12/30,12.0833,4,"14,919",0.12,2.96,,"922,200","657,540",,,,71.3,-3.32,,,1.33,,,,94.24,B,21%至35%,9
2838 聯邦銀,2022/12/30,15.1362,4,"57,505",0.33,3.83,,"4,434,153","2,939,378",,,,66.29,3.63,,,-2.63,,,,92.53,A,6%至20%,9
2845 遠東銀,2022/12/30,10.6178,4,"44,764",0.32,2.89,,"3,370,120","1,936,838",,,,57.47,40.08,,,17.14,,,,92.58,A+,前5%,9
2849 安泰銀,2022/12/30,14.3681,4,"28,875",-0.28,-0.6,,"1,360,551","744,664",,,,54.73,-8,,,-8.36,,,,90.62,A,6%至20%,9
2850 新產,2022/12/30,46.5264,4,"15,435",1.56,4.48,"1,678,016","4,808,381","1,082,953","595,063",34.9,12.38,22.52,2.19,-2.52,-8.12,-1.32,-15.05,,,65.84,A,6%至20%,9
2851 中再保,2022/12/30,17,4,"13,607",0.29,-0.72,"280,629","4,774,456","137,225","143,404",5.88,3,2.87,-1.12,-57.04,-70.7,-3.34,"1,370.75",,,66.19,A,6%至20%,9
2852 第一保,2022/12/30,15.1147,4,"4,758",0.09,3,"416,864","1,672,729","375,843","41,021",24.92,2.45,22.47,0.74,-17.58,-59.77,-9.62,-85.81,,,57.16,C,36%至50%,9
2867 三商壽,2022/12/30,5.489,4,"22,670",-2.54,-12.33,"-8,467,059","26,236,183","1,454,710","-9,921,769",-32.27,-37.82,5.54,-27.54,"-2,240.95","-1,068.16",-14.35,"-25,327.39",,,98.02,A,6%至20%,9
2880 華南金,2022/12/30,22.45,4,"306,280",0.25,3.86,,"11,824,143","6,880,838",,,,58.19,0.51,,,-26.23,,,,94.91,A,6%至20%,9
2881 富邦金,2022/12/30,54.9968,4,"697,850",-2.97,2.12,,"-31,137,831","18,664,265",,,,,-129.43,,,-148.31,,,,94.58,A,6%至20%,9
2882 國泰金,2022/12/30,39.1846,4,"586,768",-1.25,54.53,,"34,942,939","23,663,218",,,,67.72,-76.45,,,-49.13,,,,94.93,A+,前5%,9
2883 開發金,2022/12/30,12.6,4,"212,252",-0.24,21.42,,"-3,546,990","6,562,538",,,,,-108.07,,,-114.09,,,,94.1,A,6%至20%,9
2884 玉山金,2022/12/30,22.7437,4,"343,316",0.29,6.02,,"14,774,126","9,127,735",,,,61.78,0.72,,,2.97,,,,94.34,A+,前5%,9
2885 元大金,2022/12/30,20.9797,4,"271,284",0.15,3.35,,"16,271,338","10,276,226",,,,63.16,-29.18,,,-34.75,,,,90.8,A+,前5%,9
2886 兆豐金,2022/12/30,30.35,4,"423,074",0.34,2.37,,"13,950,486","7,667,915",,,,54.97,-7.4,,,-5.83,,,,92.62,A+,前5%,9
2887 台新金,2022/12/30,14.1064,4,"180,810",0.51,4.71,,"19,040,406","7,483,431",,,,39.3,15.44,,,15.92,,,,92.66,A,6%至20%,9
2888 新光金,2022/12/30,8.77,4,"135,826",-0.54,18.29,,"-7,072,916","6,633,520",,,,,-115.3,,,-122.37,,,,95.63,A,6%至20%,9
2889 國票金,2022/12/30,11.3,4,"38,955",0.03,2.8,,"1,158,276","913,139",,,,78.84,-52.83,,,-27.26,,,,88.23,B,21%至35%,9
2890 永豐金,2022/12/30,16.6052,4,"190,678",0.27,4.19,,"10,209,656","5,923,748",,,,58.02,-3.28,,,-21.03,,,,94.05,A,6%至20%,9
2891 中信金,2022/12/30,21.2464,4,"432,808",-0.05,11.14,,"2,494,598","19,664,902",,,,788.3,-94.98,,,-93.1,,,,94.91,A,6%至20%,9
2892 第一金,2022/12/30,26.5,4,"350,421",0.32,3.04,,"15,556,874","7,819,364",,,,50.26,2.3,,,-21.55,,,,94.61,A+,前5%,9
2897 王道銀行,2022/12/30,8.079,4,"22,938",1.22,7.15,,"5,140,834","1,350,363",,,,26.27,125.92,,,97.4,,,,90.65,A+,前5%,9
5876 上海商銀,2022/12/30,42.3282,4,"214,154",0.43,1.04,,"11,146,726","4,666,887",,,,41.87,26.03,,,-15.13,,,,90.3,A,6%至20%,9
5878 台名,2022/12/30,45.2058,4,"1,196",0.73,3.79,"46,867","206,683","24,637","22,230",22.68,10.76,11.92,-4.87,-14.42,-28.41,30.34,165.53,244.93,220.73,30.97,A,6%至20%,9
5880 合庫金,2022/12/30,26,4,"364,232",0.39,6.59,,"13,970,858","7,717,363",,,,55.24,8.67,,,-9.42,,,,95.07,A+,前5%,9
2302 麗正,2022/9/30,15.4763,3,"2,677",0.33,3.3,"90,640","244,166","46,577","44,063",37.12,18.05,19.08,20.03,23.38,35.9,14.29,-18.85,263.97,182.22,13.35,,,
2303 聯電,2022/9/30,33.3287,3,"446,236",2.19,10.59,"35,663,931","75,391,589","6,793,579","30,157,259",47.3,40,9.01,34.85,73.6,99.25,4.63,7.08,247.15,213.99,39.32,,,
2329 華泰,2022/9/30,15.6923,3,"9,053",0.65,3.8,"611,548","3,808,937","259,509","352,296",16.06,9.25,6.81,-3.57,-11.04,-13.9,-11.18,-21.55,185.89,139.43,43.54,,,
2330 台積電,2022/9/30,415.3814,3,"10,942,621",10.83,11.9,"370,498,717","613,142,743","60,186,462","310,324,214",60.43,50.61,9.82,47.86,74.15,81.47,14.79,18.39,249.46,218.04,40.73,,,
2337 旺宏,2022/9/30,29.5434,3,"57,811",1.35,5.6,"5,071,907","11,471,525","2,654,827","2,417,080",44.21,21.07,23.14,-23.39,-21.01,-30.88,1.16,-18.9,231.8,146.06,39.21,,,
2338 光罩,2022/9/30,53.4598,3,"14,113",2.93,15.78,"541,581","2,068,331","237,255","304,326",26.18,14.71,11.47,28.44,47.88,89.3,3.71,-29.65,87.5,77.54,78.94,,,
2340 台亞,2022/9/30,33.0136,3,"14,738",0.24,0.81,"288,752","1,058,831","206,459","82,293",27.27,7.77,19.5,-41.48,-53.13,-75.38,-20.3,-58.4,341.24,262.44,20.89,,,
2342 茂矽,2022/9/30,32.8266,3,"5,387",1.27,7.49,"166,932","552,917","69,191","97,741",30.19,17.68,12.51,3.84,6.17,-0.18,-3.84,-5.01,404.61,364.78,34.58,,,
2344 華邦電,2022/9/30,19.75,3,"78,605",0.67,5.36,"10,085,493","22,145,430","6,612,698","3,472,795",45.54,15.68,29.86,-18.02,-16.63,-41.62,-16.89,-40.12,210.96,141.01,44.54,,,
2351 順德,2022/9/30,102.7227,3,"19,307",1.41,4.27,"480,214","2,997,809","230,775","249,439",16.02,8.32,7.7,3.35,-13.47,-24.46,-2.87,-30.29,223.5,91.96,48.47,,,
2363 矽統,2022/9/30,15.8943,3,"12,593",-0.12,-8.28,"-3,690","34,900","109,576","-113,266",-10.57,-324.54,313.97,-52.08,-113.19,-22.04,-41.92,23.77,911.13,758.93,0.8,,,
2369 菱生,2022/9/30,12.707,3,"4,903",-0.08,-0.54,"32,082","1,358,219","110,372","-78,290",2.36,-5.76,8.13,-34.1,-92.59,-128.77,-17.65,-197.47,242.17,174.05,33.17,,,
2379 瑞昱,2022/9/30,270,3,"138,473",8.2,18.81,"14,303,787","29,772,018","10,267,851","4,035,936",48.04,13.56,34.49,2.82,-6.14,-24.61,-2.38,-12.57,140.1,109.43,65.31,,,
2388 威盛,2022/9/30,78.8553,3,"39,264",0.41,5.87,"858,496","2,595,420","785,788","72,708",33.08,2.8,30.28,38.36,8.1,135.98,13.39,"1,182.55",301.11,237.17,39.37,,,
2401 凌陽,2022/9/30,22.0271,3,"13,320",0.03,1.51,"649,852","1,437,262","727,221","-77,373",45.21,-5.38,50.6,-32.59,-43.52,-124.99,-27.58,-129.5,425.95,304.68,21.36,,,
2408 南亞科,2022/9/30,47.4704,3,"151,647",0.85,3.25,"3,596,560","11,021,725","2,676,525","920,035",32.63,8.35,24.28,-53.76,-69.35,-89.86,-38.87,-82.85,752.15,611.4,10,,,
2434 統懋,2022/9/30,27.5,3,"1,018",0.62,4.91,"-5,365","23,155","15,705","-21,070",-23.17,-91,67.83,-38.83,"-1,010.87",-77.18,-13.45,-15.93,207.18,140.2,26.2,,,
2436 偉詮電,2022/9/30,39.7631,3,"7,236",-0.15,-1.45,"163,836","606,384","162,458","1,378",27.02,0.23,26.79,-37.8,-46.34,-99.04,-8.63,-98.53,200.49,123.56,40.86,,,
2441 超豐,2022/9/30,49.25,3,"28,016",1.07,2.39,"682,382","3,508,793","128,921","553,461",19.45,15.77,3.67,-34.13,-62.81,-66.16,-25.18,-58.16,226.37,157.5,18.35,,,
2449 京元電子,2022/9/30,29.0669,3,"37,661",1.22,3.62,"3,110,342","9,020,335","974,124","2,136,218",34.48,23.68,10.8,0.26,4.47,4.39,-9.14,-21.04,207.3,188.84,53.17,,,
2451 創見,2022/9/30,59.9104,3,"27,674",1.13,1.83,"437,073","3,066,213","280,450","156,623",14.25,5.11,9.15,-12.98,-60.57,-80.49,1.99,-72.48,"1,150.97",847.3,9.41,,,
2454 聯發科,2022/9/30,497.6478,3,"881,304",19.54,8.28,"70,095,409","142,161,276","37,041,379","33,054,030",49.31,23.25,26.06,8.46,14.5,12.86,-8.71,-15.64,169.68,122.01,33.06,,,
2458 義隆,2022/9/30,78.6855,3,"25,283",1.83,5.04,"1,311,402","2,819,194","778,763","532,639",46.52,18.89,27.62,-43.33,-48.34,-68.14,-32.04,-52.44,245.14,149.78,35.79,,,
2481 強茂,2022/9/30,54.8021,3,"21,820",1.11,4.43,"940,793","3,168,567","639,436","301,357",29.69,9.51,20.18,-14.41,-26.8,-57.66,-9.08,-41.2,151.42,105.5,49.95,,,
3006 晶豪科,2022/9/30,62.3909,3,"18,257",0.3,1.16,"432,649","3,500,631","466,285","-33,636",12.36,-0.96,13.32,-48.85,-85.72,-101.56,-29.41,-104.66,204.8,89.79,40.33,,,
3014 聯陽,2022/9/30,55.6942,3,"9,439",1.93,2.99,"534,259","1,083,334","285,692","248,567",49.32,22.94,26.37,-48.91,-53.11,-62.98,-21.07,-34.41,390.92,268.5,19.2,,,
3016 嘉晶,2022/9/30,70.4699,3,"20,954",0.7,3.97,"306,068","1,544,038","90,349","215,719",19.82,13.97,5.85,14.53,38.15,41.9,0.67,-9.64,326.91,264.67,33.3,,,
3034 聯詠,2022/9/30,200.1776,3,"133,264",7.07,6.9,"8,344,293","19,563,686","4,089,317","4,254,976",42.65,21.75,20.9,-48.98,-58.11,-71.86,-37.82,-57.38,394.05,286.61,35.43,,,
3035 智原,2022/9/30,130.3978,3,"33,306",2.41,6.4,"1,576,026","3,243,705","866,150","709,876",48.59,21.88,26.7,46.26,37.69,57.93,-3.6,-13.91,203.66,133.9,39.76,,,
3041 揚智,2022/9/30,20.1,3,"3,903",0,0.23,"261,047","548,565","226,156","34,891",47.59,6.36,41.23,-22.8,-11.8,"1,607.17",-25.93,-45.09,367.53,262.16,15.73,,,
3094 聯傑,2022/9/30,24.6551,3,"2,111",0.23,2.5,"58,947","80,589","42,953","15,994",73.15,19.85,53.3,4.63,3.15,-20.55,-0.89,-20.19,"1,699.57","1,587.42",10.01,,,
3105 穩懋,2022/9/30,121.6174,3,"52,357",0.83,1.13,"624,334","3,908,742","824,775","-200,441",15.97,-5.13,21.1,-42.19,-76.2,-111.08,-26.21,-126.82,337.76,234.7,49.75,,,
3122 笙泉,2022/9/30,25.2655,3,998,-0.28,-2.03,"24,840","102,055","38,901","-14,061",24.34,-13.78,38.12,-55.56,-77.36,-129.02,-22.1,-454.99,677.15,459.02,36.37,,,
3141 晶宏,2022/9/30,88.2,3,"6,614",1.29,3.42,"271,752","618,994","155,878","115,874",43.9,18.72,25.18,-24.58,-41.75,-61.46,-19.21,-51.89,346.95,157.18,40.22,,,
3169 亞信,2022/9/30,88.0775,3,"5,743",1.62,6.66,"176,324","311,757","68,245","108,079",56.56,34.67,21.89,-15.98,-20.08,-23.01,-12.19,-14.7,792.18,678.55,12.28,,,
3178 公準,2022/9/30,60.5,3,"2,726",1.35,5.38,"87,537","383,707","44,406","43,131",22.81,11.24,11.57,8.22,4.56,7.28,-1.95,-36.28,132.63,87.05,57.68,,,
3189 景碩,2022/9/30,87.6904,3,"42,108",4.79,6.92,"4,497,867","11,544,421","1,579,780","2,918,087",38.96,25.28,13.68,18.19,39.61,72.53,0.79,6.9,156.72,127.52,45.17,,,
3227 原相,2022/9/30,81.1154,3,"12,496",5.11,6.01,"624,939","1,222,244","877,473","-252,534",51.13,-20.66,71.79,-48.27,-54.54,-147.21,-23.1,-230.82,344.82,283.32,20.45,,,
3228 金麗科,2022/9/30,291.5,3,"19,762",-0.2,-1.83,"39,841","66,370","64,994","-25,153",60.03,-37.9,97.93,-26.46,-41.4,-568.96,-36.3,-470.44,441.55,251.12,12.21,,,
3257 虹冠電,2022/9/30,39.0153,3,"3,179",0.08,1.13,"44,558","99,010","47,441","-2,883",45,-2.91,47.92,-73.88,-79.05,-101.9,-38.12,-109.55,"1,231.33",791.54,7.01,,,
3259 鑫創,2022/9/30,18.2,3,"1,359",-0.46,-5.91,"22,784","89,275","59,946","-37,162",25.52,-41.63,67.15,-47.98,-59.67,-645.94,-8.52,-57.71,441.15,112.37,19.37,,,
3260 威剛,2022/9/30,50.7055,3,"13,880",0.55,2.35,"1,099,006","8,920,568","916,338","182,668",12.32,2.05,10.27,-7.88,8.1,-51.08,1.97,15.61,165.64,96.52,63.91,,,
3264 欣銓,2022/9/30,39.5664,3,"20,489",2.38,8.31,"1,748,052","3,975,251","437,643","1,310,409",43.97,32.96,11.01,21.21,31.73,39.43,10.78,20.53,197.35,174.73,47.75,,,
3265 台星科,2022/9/30,36.5285,3,"5,314",1.82,8.62,"326,497","970,363","61,510","264,987",33.65,27.31,6.34,12.2,39.94,56.79,-13,-16.29,501.3,476.97,22.18,,,
3268 海德威,2022/9/30,19.7293,3,680,0.87,6.18,"19,428","255,752","18,007","1,421",7.6,0.56,7.04,-36,-38.73,-87.99,-32.72,-89.69,322.85,296.39,45.92,,,
3317 尼克森,2022/9/30,49.5,3,"3,032",1.71,4.04,"175,680","555,258","107,100","68,580",31.64,12.35,19.29,-20.04,-13.67,-34.12,-24.26,-41.08,357.69,259.64,23.11,,,
3372 典範,2022/9/30,10.5,3,"1,842",0.03,0.21,"-4,747","246,958","25,301","-30,048",-1.92,-12.17,10.25,-53.96,-103.03,-123.2,-31.77,-253.05,367.86,271.37,18.01,,,
3374 精材,2022/9/30,93.7674,3,"26,051",2.22,9.1,"824,153","2,124,910","139,481","701,172",38.79,33,6.56,-3.15,6.35,3.16,-0.53,-5.16,346.95,304.09,22.33,,,
3413 京鼎,2022/9/30,171.9047,3,"17,858",8.14,8.16,"1,227,957","4,055,096","400,043","827,914",30.28,20.42,9.87,27.45,47.19,53.21,26.85,35.13,305.27,213.94,45.42,,,
3438 類比科,2022/9/30,45.6811,3,"2,198",0.4,0.03,"65,148","202,381","78,626","-13,478",32.19,-6.66,38.85,-53.29,-67.71,-113.1,-34.81,-137.06,522.71,310.3,11.51,,,
3443 創意,2022/9/30,583.6277,3,"78,933",7.9,17.36,"2,114,284","6,061,843","967,934","1,146,350",34.88,18.91,15.97,69.1,48.79,135.84,12.66,37.88,152.52,92.12,62.53,,,
3450 聯鈞,2022/9/30,40.0587,3,"5,915",0.6,4.32,"387,655","1,782,283","191,445","196,210",21.75,11.01,10.74,-2.58,-11.27,-32.99,-1.52,31.07,167.44,139.13,38.97,,,
3527 聚積,2022/9/30,90.7574,3,"4,200",0.6,1.09,"208,587","507,174","196,941","11,646",41.13,2.3,38.83,-51.43,-62.22,-96.02,-36.5,-91.89,418.66,247.33,20.56,,,
3529 力旺,2022/9/30,"1,133.80",3,"87,231",5.45,16.19,"790,608","790,608","345,160","445,448",100,56.34,43.66,33.04,33.04,40.67,-0.71,-3.18,424.13,419.31,20.25,,,
3530 晶相光,2022/9/30,71.2,3,"5,569",-0.04,0.02,"71,919","350,537","83,966","-12,047",20.52,-3.44,23.95,-68.53,-83.22,-104.04,-38.82,-114.34,394.56,80.4,30.93,,,
3532 台勝科,2022/9/30,130.7688,3,"53,135",3.98,6.72,"1,622,539","4,204,270","258,536","1,364,003",38.59,32.44,6.15,32.38,127.75,152.3,3.81,2.17,470.65,385.98,30.23,,,
3545 敦泰,2022/9/30,60.6032,3,"13,209",-13.57,-25.93,"-1,999,293","2,370,317","954,931","-2,954,224",-84.35,-124.63,40.29,-62.21,-158.54,-222.2,-28.76,"-13,290.27",187.44,85.87,61.12,,,
3555 重鵬,2022/9/30,25.35,3,653,-0.61,-7.35,920,"3,193","10,489","-9,569",28.81,-299.69,328.5,-46.67,-50.22,63.18,-34.74,-5.27,315.74,308.71,31.47,,,
3556 禾瑞亞,2022/9/30,49.0142,3,"3,357",0.84,4.22,"146,622","275,649","91,451","55,171",53.19,20.01,33.18,-39.99,-40,-59.63,-31.96,-50.08,408.24,236.07,23.01,,,
