date,company_id,foreign_investors,investment_banks ,dealer,all_institutional_investors,foreign_investors_day,investment_banks_days,dealer_days,all_institutional_investors_days,directors_stock_ratio,directors_stock,financing_balance,margin_balance,sale_margin_purchase_ratio,margin_balance_ratio,financing_balance_ratio,200_400_ratio,400_600_ratio,600_800_ratio,800_1000_ratio,1000up_ratio
2023/12/29,1101,637,-100,-334,203,6,-7,-3,5,7.48,"564,677","18,026",117,0.65,-1.68,-0.3,2.98,1.71,1.03,1.01,53.66
2023/12/28,1101,"3,239",-13,-257,"2,968",5,-6,-2,4,7.48,"564,677","18,081",119,0.66,0,-0.03,,,,,
2023/12/27,1101,"3,511",-96,-255,"3,161",4,-5,-1,3,7.48,"564,677","18,086",119,0.66,3.48,-1.68,,,,,
2023/12/26,1101,"1,294",-28,44,"1,310",3,-4,2,2,7.48,"564,677","18,395",115,0.63,0,-0.17,,,,,
2023/12/25,1101,"1,344",-4,113,"1,453",2,-3,1,1,7.48,"564,677","18,427",115,0.62,-8.73,-1.24,,,,,
2023/12/22,1101,26,-13,-329,-316,1,-2,-4,-2,7.48,"564,677","18,659",126,0.68,8.62,-0.76,2.97,1.69,1.04,1.02,53.56
2023/12/21,1101,-744,-210,-805,"-1,760",-1,-1,-3,-1,7.48,"564,677","18,801",116,0.62,4.5,0.21,,,,,
2023/12/20,1101,858,4,-829,33,1,1,-2,1,7.48,"564,677","18,761",111,0.59,-2.63,0.06,,,,,
2023/12/19,1101,"-2,445",-30,-151,"-2,625",-1,-1,-1,-1,7.48,"564,677","18,750",114,0.61,0,0.25,,,,,
2023/12/18,1101,"1,167",475,235,"1,877",1,1,1,1,7.48,"564,677","18,704",114,0.61,0,0.01,,,,,
2023/12/15,1101,-713,-111,-157,-981,-1,-3,-1,-1,7.48,"564,677","18,703",114,0.61,6.54,0.6,2.95,1.71,1.05,1.02,53.66
