公司,年月,證期會代碼,季別,財報發布日,每股盈餘,當季季底P/B,當季季底PSR,當季季底P/E,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,ROE(B)－常續利益,營業利益率,營業利益成長率,營業利益變動率,營業利益 /實收資本比,常續利益率－稅後,淨利變動率（單季）,稅前息前折舊前淨利率,稅前淨利率,稅前淨利成長率,稅後淨利率,稅後淨利成長率,季底普通股市值,營收成長率,營收變動率,淨值/資產,總資產成長率,總資產週轉次數,業外收支/營收,營業毛利率,營業毛利成長率,已實現銷貨毛利成長率,已實現銷貨毛利率,自由現金流量(D),營業收入淨額,股東權益總額,來自營運之現金流量
1213 大飲,2023/9/28,1213,3,2023/11/14,-0.66,1.39,1.83,,-5.55,-3.56,-6.99,-12.91,-25.32,,-289.27,-65.53,-10.03,"1,007.28",8.45,232.22,,-48.38,,-120.46,"373,705",-106.92,-126.45,29.3,-13.5,,,,"-44,696.88","-44,696.88",594.9,"27,206","-7,229","269,005","-44,178"
1215 卜蜂,2023/9/28,1215,3,2023/11/9,2.2,3.01,0.94,10.99,4.32,2.72,3.52,7.01,6.89,11.13,73.51,5.22,27.58,8.79,9.03,15.15,10.8,64.25,8.93,70.96,"27,739,739",1.3,-1.43,37.56,5.25,0.29,-0.33,17.9,39.53,39.53,17.9,"317,931","7,306,357","9,697,384","756,921"
1216 統一,2023/9/28,1216,3,2023/11/9,0.98,3.14,0.71,10.72,1.7,1.41,2.67,4.44,4.42,5.74,5.37,20.66,16.68,5.1,-20.06,13.51,6.62,-3.83,5.11,-0.27,"398,309,251",16.42,20.12,29.57,22.19,0.25,0.88,32.34,17.79,17.79,32.34,"2,899,463","165,046,296","196,651,802","33,942,517"
1217 愛之味,2023/9/28,1217,3,2023/11/10,0.18,0.9,1.24,30.06,1.25,0.84,1.07,1.23,1.34,5.06,-25.73,150.56,1.67,6.24,261.35,10.62,6.61,-62.39,5.73,-64.52,"6,107,236",0.87,40.28,52.26,3.2,0.11,1.55,29.76,-0.32,-0.32,29.76,"36,658","1,626,633","7,541,371","195,152"
1218 泰山,2023/9/28,1218,3,2023/11/14,0.36,0.93,1,,1.51,1.28,1.48,1.46,1.45,3.11,707.29,148.42,2.05,5.25,145.7,6.73,5.29,10.04,5.29,11.37,"11,174,978",5.26,25.8,85.36,30.56,0.23,2.18,15.88,15.27,14.76,15.88,"-55,165","3,300,411","11,969,609","-404,872"
1219 福壽,2023/9/28,1219,3,2023/11/9,0.29,1.48,0.4,20.12,2.26,1.17,1.81,2.25,2.24,2.99,295.16,50.28,3.67,2.46,10.3,5.55,3.16,384.75,2.48,390.72,"6,616,677",-2.2,0.1,46.03,-5.05,0.41,0.17,10.01,91.35,89.42,9.99,"-318,596","4,070,038","4,528,676","344,522"
1220 台榮,2023/9/28,1220,3,2023/11/13,0.23,1.1,0.74,21.68,2.39,1.55,2.13,1.92,1.95,5.89,467.56,18.67,2.88,5.5,10.05,9.34,6.78,"2,279.38",5.42,"1,204.14","2,470,224",-4.08,4.01,80.02,-7.78,0.28,0.89,13.58,137.91,137.91,13.58,976,"865,272","2,464,211","85,327"
1225 福懋油,2023/9/28,1225,3,2023/11/14,0.56,3.65,0.83,38.52,2.96,1.94,2.41,3.97,3.97,4.62,489.04,261.61,7.3,4.06,205.38,6.78,4.95,841.59,4.06,887.97,"12,354,524",-7.57,4.31,47.25,-13.14,0.44,0.33,9.07,231.1,222.79,9.04,"227,702","3,632,729","3,786,209","619,259"
1227 佳格,2023/9/28,1227,3,2023/11/14,0.55,1.98,1.2,23.37,2.98,1.97,2.47,3.02,3.06,7.01,-0.18,231.7,6.07,6.69,182.76,10.74,8.34,0.52,6.6,0.25,"34,453,101",3.24,25.34,64.66,3.25,0.29,1.33,22.75,0.25,0.25,22.75,"187,753","7,925,667","17,658,999","2,774,711"
1229 聯華,2023/9/28,1229,3,2023/11/13,0.68,2.3,8.81,20.78,1.68,1.49,1.6,1.87,1.88,2.32,223.49,-92.54,0.41,39.53,-37.87,46.1,40.44,72.53,39.34,68.8,"98,825,314",4.9,-23.74,78.11,16.7,0.04,38.12,14.67,63.51,63.51,14.67,"358,862","2,775,712","60,789,808","2,009,607"
1231 聯華食,2023/9/28,1231,3,2023/11/13,0.67,4.11,1.98,22.96,2.02,1.49,2.13,3.17,3.49,8.8,-13.12,47.58,9.97,6.51,70.14,10.76,7.87,-22.85,5.93,-28.38,"21,755,059",0.2,15.48,44.12,19.95,0.24,-0.93,21.38,-4.58,-4.58,21.38,"-126,508","2,795,238","5,308,523","487,414"
1232 大統益,2023/9/28,1232,3,2023/10/27,1.69,4.47,0.92,15.33,4.85,3.7,4.11,5.58,5.26,5.66,373.92,-0.39,20.66,4.57,4.35,7.07,5.96,100.09,4.85,106.91,"22,636,321",-3.58,3.12,66.26,16.67,0.75,0.3,9.97,106.28,106.28,9.97,"37,941","5,838,356","5,206,517","577,293"
1233 天仁,2023/9/28,1233,3,2023/11/9,0.22,2.19,1.53,24.59,2.83,0.9,2.28,1.35,1.35,3.86,"4,412.68",-20.51,2.29,3.65,-34.44,12.34,4.55,169.27,3.66,160.15,"3,193,333",18.19,6.49,62.4,2.54,0.23,0.69,57.8,22.01,22.01,57.8,"45,500","537,101","1,461,399","59,943"
1234 黑松,2023/9/28,1234,3,2023/11/9,0.94,0.84,1.46,12.58,2.42,1.66,1.96,2.08,2.08,10.65,-1.87,143.99,8.27,12.11,85.94,18.05,15.08,-0.65,12.14,-3.18,"15,391,659",7,35.74,79.59,-1.24,0.14,4.43,32.5,5.05,5.05,32.5,"9,804","3,122,070","18,395,874","160,834"
1235 興泰,2023/9/28,1235,3,2023/11/14,1.62,6.89,279.05,64.82,4.68,2.43,2.11,5.36,4.57,2.5,-98.15,235,0.03,463.35,231.78,614.35,556.48,-28.11,542.89,-29.86,"11,823,456",-56.34,82.98,43.05,-7.13,0,553.97,19.7,-87.94,-87.94,19.7,"-100,183","17,251","1,866,386","-7,783"
1236 宏亞,2023/9/28,1236,3,2023/11/10,0.28,0.93,1.08,35.78,1.87,0.76,1.72,1.1,1.1,3.56,57.72,176.11,2.22,5.01,260.59,13.5,4.91,81.31,5.01,81.62,"2,231,845",1.63,38.54,64.67,-6.13,0.14,1.35,27.91,5.15,5.15,27.91,"269,154","541,258","2,397,914","78,904"
1240 茂生農經,2023/9/28,1240,3,2023/11/13,1.31,1.44,0.61,16.76,3.08,2.23,2.66,3.32,3.37,5.73,237.85,6.96,10.22,6.39,30.56,9.68,7.94,226.35,6.29,207.17,"1,840,548",-14.95,4.47,65.61,-9.22,0.34,2.21,13.03,152.5,152.5,13.03,"32,356","701,854","1,346,046","119,190"
1256 鮮活果汁-KY,2023/9/28,1256,3,2023/11/10,5.33,2.37,2.01,11.9,7.11,4.06,5.26,4.93,5.15,17.57,1.53,8.59,81.87,13.75,-10.5,22.58,18.37,-12.1,13.18,-17.95,"9,171,182",2.4,4.91,84.7,5.7,0.31,0.8,30.1,0.38,0.38,30.1,"18,500","1,576,662","4,380,823","290,068"
1259 安心,2023/9/28,1259,3,2023/11/3,1.83,1,0.4,18.91,3.43,1.11,3.2,2.43,1.52,2.65,-18.06,125.53,13.04,2.33,9.53,16.02,4.28,-7.86,3.71,-4.32,"2,416,219",4.64,6.51,41.52,13.35,0.27,1.64,25.36,0.77,0.77,25.36,"92,387","1,595,610","2,445,415","351,831"
1264 德麥,2023/9/28,1264,3,2023/11/13,4.8,3.52,1.83,10.57,6.26,4.46,4.86,5.71,5.72,16.9,9.57,2.49,69.13,13.54,6.26,19.09,17.5,11.19,13.54,11.43,"10,618,836",12.55,9.52,79.6,-0.31,0.33,0.59,33.03,11.05,11.05,33.03,"-35,745","1,515,752","3,719,236","93,453"
1268 漢來美食,2023/9/28,1268,3,2023/11/9,2.01,3.2,1.39,14.3,3.16,1.35,2.51,4.17,4.43,7.08,41.77,2.99,20.11,7.51,12.33,16.48,8.5,-13.33,7.06,-16.97,"6,607,900",15.43,7.74,30.17,14.14,0.18,1.42,44,22.92,22.92,44,"263,210","1,199,999","2,065,525","211,940"
1301 台塑,2023/9/28,1301,3,2023/11/9,1.05,1.45,2.51,199.63,1.7,1.37,1.65,1.93,1.9,0.35,-63.36,107.11,0.28,12.95,444.58,18.49,13.48,11.99,13.15,15.82,"507,986,052",-8.84,4.72,67.03,-0.18,0.1,13.13,7.22,-14.75,-14.75,7.22,"-3,591,519","50,735,787","349,788,209","12,403,035"
1303 南亞,2023/9/28,1303,3,2023/11/10,0.55,1.45,1.94,46.99,1.84,0.85,1.53,1.25,1.24,0.53,-88.76,229.63,0.45,6.92,230.9,18.04,7.93,-16.08,6.95,-10.23,"528,192,679",-18.57,5.51,58.01,-3.31,0.1,7.4,7.43,-40.91,-41,7.41,"-15,016,259","67,251,415","382,060,208","9,168,268"
1304 台聚,2023/9/28,1304,3,2023/11/13,0.21,1.03,0.45,,1.26,0.32,1.05,0.39,0.44,2.69,-45.33,-34.74,3.05,1.6,150.77,7.36,2,137.32,1.42,125.82,"24,666,832",-17.37,5.81,65.31,-5.89,0.18,-0.69,10.38,-28.62,-28.62,10.38,"387,474","13,500,353","49,313,057","2,596,930"
1305 華夏,2023/9/28,1305,3,2023/11/8,0.25,1.5,1.03,30.48,2.11,0.93,1.78,1.49,1.42,4.26,114.73,"3,877.92",2.47,4.3,655.41,11.87,5.58,121.16,4.51,121.33,"14,468,145",-15.52,0.77,58.81,6.3,0.19,1.32,14.01,180.79,180.79,14.01,"589,158","3,365,608","10,296,761","565,494"
1307 三芳,2023/9/28,1307,3,2023/11/9,0.79,1.14,1.04,10.93,3.59,2.09,3.09,3.55,3.94,9.46,255.41,48.15,6.59,12.58,66.51,19.38,13.1,52.34,11.36,71.93,"10,462,613",-9.59,20.88,57.03,0.32,0.18,3.64,24.69,44.9,44.9,24.69,"2,559","2,770,162","9,139,869","515,766"
1308 亞聚,2023/9/28,1308,3,2023/11/9,0.28,1.06,1.92,20.59,1.78,1.07,1.54,1.21,1.27,11.73,-78.29,-38.25,3.58,9.56,28.19,15.51,10.94,-65.58,9.08,-63.64,"14,517,016",-35.8,9.17,89.52,-5.4,0.12,-0.79,14.81,-74.21,-74.21,14.81,"-101,479","1,811,511","13,669,961","381,304"
1309 台達化,2023/9/28,1309,3,2023/11/9,-0.18,1.03,0.47,,-0.4,-0.77,-0.26,-1.05,-1.02,-4.04,-148.87,-88.82,-4.05,-1.75,-337.7,-0.88,-2.33,-295.72,-1.81,-299.05,"7,077,031",-15.09,10.96,76.3,-7.86,0.45,1.71,2.09,-76.78,-76.78,2.09,"204,453","3,980,713","6,865,686","279,952"
1310 台苯,2023/9/28,1310,3,2023/11/8,0.01,1.34,0.9,,0.96,0.1,0.81,0.06,0.17,1.22,111.23,107.32,0.53,0.49,101.39,4.09,0.83,108.75,0.18,102.39,"8,498,691",-24.03,-0.29,73.04,6.15,0.26,-0.39,3.49,140.99,140.99,3.49,"-55,345","2,310,075","6,615,578","166,784"
1312 國喬,2023/9/28,1312,3,2023/11/10,-0.23,0.48,0.95,,0.19,-0.28,0.14,-0.58,-0.58,-0.86,93.6,92.16,-0.36,-5.17,71.04,3.05,-6.07,62.9,-5.17,62.88,"15,095,223",-7.62,-0.23,56.47,3.28,0.06,-5.2,8.57,300.01,300.01,8.57,"1,475,826","3,878,270","34,879,245","-165,673"
1313 聯成,2023/9/28,1313,3,2023/11/9,0.39,0.67,0.29,,2.3,1.1,1.84,1.79,1.8,2.39,143.56,226.65,3.49,2.63,180.76,6.34,3.26,161.7,2.62,161.06,"20,249,118",20.79,12.95,52.87,13.94,0.36,0.87,5.48,351.45,351.45,5.48,"92,338","19,856,440","30,047,664","-734,817"
1314 中石化,2023/9/28,1314,3,2023/11/10,-0.15,0.46,1.55,,-0.04,-0.3,-0.11,-0.73,-0.74,-10.18,47.96,11.58,-1.86,-8.27,30.77,-0.38,-7.97,-134.02,-8.23,-135.23,"35,501,893",23.28,-0.46,53.62,3.82,0.05,2.21,-2.77,72.8,72.8,-2.77,"-1,993,384","6,931,115","77,756,554","-1,233,752"
1315 達新,2023/9/28,1315,3,2023/11/10,1.37,0.67,3.06,15.61,1.39,1.14,1.29,1.22,1.22,-0.46,-103.87,-108.84,-0.24,24.89,-44.42,32.03,27.89,-72.98,24.97,-74.14,"7,065,759",-29.94,-16.28,93.47,-0.32,0.05,28.35,15.71,-45.86,-45.86,15.71,"665,177","525,000","10,543,491","370,868"
1316 上曜,2023/9/28,1316,3,2023/11/10,-0.15,1.03,2.91,,-0.73,-0.21,-0.16,-0.9,-0.99,-23.41,-140.06,5.05,-1.51,-29.7,-139.77,-5.65,-29.66,-157.42,-27.05,-154.03,"2,999,863",-76.9,10.85,46.28,6.89,0.01,-6.25,22.93,-81.54,-81.54,22.93,"-743,948","180,344","5,738,799","-192,674"
1319 東陽,2023/9/28,1319,3,2023/11/10,1.65,1.86,2.05,13.61,6.01,2.92,4.74,4,4.2,16.54,82.44,27.82,17.21,16.86,30.13,32.02,20.15,43.56,16.05,44.81,"46,312,649",11.35,10.86,73.94,1.35,0.18,3.6,30.19,36.59,36.59,30.19,"48,627","6,154,072","25,333,907","1,803,158"
1321 大洋,2023/9/28,1321,3,2023/11/7,0.22,1.39,1.63,76.69,0.43,0.44,0.95,0.85,1.15,-0.96,87.78,83.52,-0.47,5.96,157.26,9.74,4.19,-45.77,4.39,-43.08,"8,032,510",-24.29,-4.99,47.04,1.9,0.09,5.15,6.7,48.9,48.9,6.7,"-156,118","1,109,232","5,762,509","128,804"
1323 永裕,2023/9/28,1323,3,2023/11/10,0.19,1.18,0.84,12.26,2.4,0.86,1.8,1.44,1.44,5.44,-46.89,-21.92,5.11,4.83,-7.5,15.53,7.01,-41.1,4.83,-45.65,"2,875,131",-11.14,1.21,52.77,-2.18,0.15,1.56,17.93,-31.65,-31.65,17.93,"-106,604","857,105","2,924,348","116,367"
1324 地球,2023/9/28,1324,3,2023/11/13,0.24,1.09,1.12,22.43,2.08,1.52,2.11,1.88,1.82,5.21,425.72,21.66,1.64,7.39,102.3,11.06,7.08,"3,017.47",7.6,"1,953.81","1,059,206",6.6,3.13,81.05,1.78,0.2,1.87,21.4,65.08,65.08,21.4,"-2,191","237,046","972,551","20,991"
1325 恒大,2023/9/28,1325,3,2023/11/13,0.34,0.7,4.58,50.49,1.66,0.92,1.32,0.96,0.96,-13,-121.35,10.46,-1.48,28.26,49.1,52.04,36.54,25.22,28.36,21.5,"1,952,935",-29.16,-5.93,96.13,-0.39,0.03,49.54,0.29,-96.03,-96.03,0.29,"-27,370","97,071","2,889,290","65,139"
1326 台化,2023/9/28,1326,3,2023/11/3,1.28,1.08,1.09,,2.17,1.38,1.97,1.9,1.88,2.38,133.46,165.53,3.53,8.15,323.41,14.33,8.54,336.33,8.24,213.94,"360,462,939",-4.31,15.51,67.23,-2.72,0.15,6.16,6.74,409.69,409.69,6.74,"185,936","86,824,127","379,678,774","15,096,745"
1336 台翰,2023/9/28,1336,3,2023/11/13,0.5,0.96,0.7,9.17,4.05,1.59,2.61,2.15,2.15,7.19,-52.93,-8.14,5.64,6.22,46.96,17.73,11.23,-37.88,6.22,-46.33,"1,753,701",-18.81,8,67.57,-5.65,0.23,4.04,17.6,-30.48,-30.48,17.6,"93,713","618,160","1,825,305","122,161"
1337 再生-KY,2023/9/28,1337,3,2023/11/9,-0.45,0.42,2.69,,-1.36,-2.53,-1.49,-2.62,-2.1,-49.9,15.69,-1.54,-3.8,-46.97,-28.78,-43.22,-58.7,15.99,-58.7,15.99,"1,920,332",15.17,8.47,96.44,-8.97,0.04,-8.81,-17.69,40.04,40.04,-17.69,"-61,345","204,607","4,597,377","-70,026"
1338 廣華-KY,2023/9/28,1338,3,2023/11/10,0.21,0.49,0.52,,2.4,0.48,1.67,0.35,0.43,3.24,-28.58,283.81,5.56,1.93,121.66,17.11,3.68,-37.53,1.56,-57.18,"3,064,352",-26.57,9.23,59.33,-5.99,0.13,0.45,24.43,-15.14,-15.14,24.43,"76,390","1,440,564","6,577,790","286,368"
1339 昭輝,2023/9/28,1339,3,2023/11/13,2.03,1.17,2.23,10.27,5.48,2.84,4.36,3.88,4.07,18.17,156.94,32.74,13.41,28.6,26.32,53.06,35.08,-9.68,27.28,-10.65,"4,469,617",6.51,12.61,73.4,-5.21,0.1,16.91,34.49,38.76,38.76,34.49,"104,642","546,909","3,924,133","153,915"
1340 勝悅-KY,2023/9/28,1340,3,2023/11/13,-0.68,0.42,3.23,,-1.73,-2.3,-1.85,-2.4,-2.4,-75.2,1.35,-4.02,-7.17,-71.26,-5.88,-53.76,-71.27,10.86,-71.29,11.19,"1,819,772",21.7,-12.12,94.58,-7.18,0.03,3.94,-42.37,-10.43,-10.43,-42.37,"-145,137","145,864","4,334,440","-68,996"
1341 富林-KY,2023/9/28,1341,3,2023/11/13,0.95,2.65,1.33,10.34,4.46,2.4,3.16,3.84,3.61,9.5,-9.74,-11.91,11.83,7.14,-17.44,14.96,10.25,-21.55,7.59,-31.05,"3,456,255",-6.87,6.17,61.74,-13.59,0.29,0.76,19.75,1.42,1.42,19.75,"-7,731","643,509","1,303,706","236,239"
1342 八貫,2023/9/28,1342,3,2023/11/9,2.19,3.55,2.86,11.22,7.12,5.09,5.7,7.59,7.61,25.03,21,12.94,23.29,23.26,9.03,32.63,29.01,18.3,23.2,18.36,"7,491,435",2.83,9.23,67.35,7.8,0.22,3.98,33.43,11.23,11.23,33.43,"8,862","663,501","2,111,272","61,108"
1402 遠東新,2023/9/28,1402,3,2023/11/14,0.4,0.71,0.61,10.23,1.91,0.74,1.65,1.37,1.41,6.37,52.15,10.52,7.78,5.98,-10.13,19.52,7.04,5.99,5.81,7.34,"153,895,156",-2.69,3.27,44.13,-3.77,0.1,0.67,18.51,3.92,3.92,18.51,"2,566,422","65,385,496","280,879,326","14,810,019"
1409 新纖,2023/9/28,1409,3,2023/11/13,0.26,0.69,0.65,16.7,0.67,0.38,0.6,1.23,1.22,2.66,-70.45,-31.26,1.71,5.39,57.68,12.37,5.53,-64.57,5.43,-57.79,"24,761,658",-7.24,11.51,24.59,1.63,0.06,2.87,12.63,-37.56,-37.44,12.66,"-393,133","10,389,525","46,234,925","-760,408"
1410 南染,2023/9/28,1410,3,2023/11/13,0.12,2.2,8.77,64.21,0.41,0.54,0.87,0.66,0.63,-6.49,-207.55,-5.92,-0.57,12.86,17.31,29.61,18.93,-45.57,13.42,-54.71,"2,362,500",-39.19,-3.8,84,-2.23,0.04,25.43,26.92,-47.67,-47.67,26.92,"3,054","54,817","1,118,350","10,175"
1413 宏洲,2023/9/28,1413,3,2023/11/3,-0.3,0.96,0.51,,-0.66,-1.4,-0.83,-3.49,-3.49,-7.79,-325.02,-16.58,-3.15,-7.44,-14.5,-3.02,-7.43,-497.41,-7.43,-497.41,"1,070,107",-26.26,19.09,44,-5.65,0.21,0.36,-5.13,-210.31,-210.31,-5.13,"18,378","534,078","1,118,716","113,061"
1414 東和,2023/9/28,1414,3,2023/11/9,0.07,1.26,6.94,,0.39,0.38,0.6,0.48,0.49,-6.64,-134.1,6.86,-0.44,10.51,-13.15,20.37,9.76,-71.51,10.16,-65.58,"3,905,000",-10.06,5.63,67.21,4.03,0.03,16.41,7.01,-80.14,-80.14,7.01,"15,615","145,167","3,088,493","76,010"
1416 廣豐,2023/9/28,1416,3,2023/11/10,0.64,0.54,7.22,13.91,3.01,2.68,2.79,3.28,3.23,-5.86,-30.8,17.14,-0.22,170.29,"2,120.39",204.32,190.24,54.84,172.58,60.27,"1,909,023",7.88,10.73,81.03,0.72,0.02,196.1,35.76,-10.44,-10.44,35.76,"219,098","69,900","3,632,561","109,869"
1417 嘉裕,2023/9/28,1417,3,2023/11/8,-0.02,0.92,1.58,,0.26,0.28,0.14,0.29,-0.61,-18.21,-435.73,-381.72,-2.96,-5.21,-175.86,11.53,2.72,-81.87,-1.5,-109.27,"2,440,742",-15.62,-5.78,68.17,-16.23,0.08,20.94,24.05,-45.16,-45.16,24.05,"-44,170","308,796","2,662,548","-65,017"
1418 東華,2023/9/28,1418,3,2023/11/13,-0.4,1.16,51.3,,-0.18,-0.16,-0.17,-1.85,-1.97,-457.9,13.71,4.37,-3.05,-607.79,27.68,-52.32,-569.23,18.12,-569.23,18.12,"1,338,441",87.52,19.89,27.1,14.19,0,-111.33,2.85,104.33,104.33,2.85,"-33,100","3,786","1,154,705","-24,272"
1419 新紡,2023/9/28,1419,3,2023/11/14,0.97,1.03,3.91,17.8,1.88,1.73,1.91,2.39,2.39,9.45,-24.18,34.04,2.57,35.5,72.97,44.97,38.76,3.9,35.52,9.87,"12,841,755",-12.41,19.55,71.16,6.65,0.05,29.3,28.28,-4.89,-4.89,28.28,"611,146","816,555","12,444,174","136,362"
1423 利華,2023/9/28,1423,3,2023/11/10,0.45,1.19,25.04,31.91,1.18,1.56,1.32,1.82,1.47,-41.12,73.48,65.96,-1.19,149.17,"4,882.96",210.3,201.44,269.16,184.68,173.73,"3,280,080",-15.77,11.38,80.14,4.23,0.01,242.55,-5.46,95.6,95.6,-5.46,"412,768","28,721","2,753,908","60,790"
1432 大魯閣,2023/9/28,1432,3,2023/11/13,0.48,1.87,1.14,30.74,3.3,1.12,2.85,5.25,5.34,12.74,-0.75,115.67,5.38,11.28,440.64,43.6,11.08,9.09,11.08,9.09,"1,489,500",15.95,17.24,16.09,5.91,0.08,-1.66,45.72,7.97,7.97,45.72,"96,737","379,950","806,073","217,907"
1434 福懋,2023/9/28,1434,3,2023/11/3,0.03,0.79,1.44,45.4,0.68,0.16,0.54,0.09,0.09,0.47,-87.18,298.99,0.2,0.71,-89.25,7.16,1.05,-89.23,0.7,-91.45,"42,874,699",-18.36,-1.18,74.9,-6.15,0.1,0.58,8.55,-29.5,-29.5,8.55,"-1,197,511","7,143,501","54,573,010","1,851,662"
1435 中福,2023/9/28,1435,3,2023/11/10,-0.08,6.84,712.33,,-1.42,-1.01,-0.77,-1.2,-0.97,-658,21.91,29.96,-1.01,-446.01,37.39,-521.82,-552.12,90.94,-552.12,90.94,"6,709,440",-32.57,-4.71,83.88,-21.76,0,105.87,88.86,-34.95,-34.95,88.86,"39,091","2,145","980,904","-13,036"
1436 華友聯,2023/9/28,1436,3,2023/11/13,0.26,2.29,6.42,68.83,0.45,0.29,0.33,0.77,0.77,27.85,-91.23,"1,267.08",5.61,11.17,254.75,32.6,17.2,-94.4,11.04,-95.54,"6,378,107",-91.98,155.49,20.12,12.96,0.01,-10.66,58.04,-85.43,-85.43,58.04,"-2,168,396","197,254","2,904,899","-366,963"
1437 勤益控,2023/9/28,1437,3,2023/11/10,0.99,0.77,7.54,10,1.69,1.71,1.87,2.73,2.72,56.15,41.39,127.72,9.24,60.33,56.61,81.43,66.61,71.49,60.45,76.02,"5,755,399",32.48,97.99,57.91,2.69,0.03,10.46,62.83,34.5,34.5,62.83,"2,889,234","334,691","7,475,436","201,121"
1438 三地開發,2023/9/28,1438,3,2023/11/13,-0.25,1.41,6.05,,0.01,-0.04,-0.03,-1.2,-1.2,-6.17,61.52,70.48,-0.19,-82.94,36.51,8.63,-83.13,-3.62,-82.94,-3.38,"2,658,626","2,750,900",0,19.98,19.47,0,-76.95,20.82,"572,600","572,600",20.82,"16,280","27,510","1,885,027","-279,686"
