公司,年月,證期會代碼,季別,財報發布日,每股盈餘,當季季底P/B,當季季底PSR,當季季底P/E,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,ROE(B)－常續利益,營業利益率,營業利益成長率,營業利益變動率,營業利益 /實收資本比,常續利益率－稅後,淨利變動率（單季）,稅前息前折舊前淨利率,稅前淨利率,稅前淨利成長率,稅後淨利率,稅後淨利成長率,季底普通股市值,營收成長率,營收變動率,淨值/資產,總資產成長率,總資產週轉次數,業外收支/營收,營業毛利率,營業毛利成長率,已實現銷貨毛利成長率,已實現銷貨毛利率,自由現金流量(D),營業收入淨額,股東權益總額,來自營運之現金流量
1101 台泥,2023/9/28,1101,3,2023/11/10,0.17,1.07,2.06,16.52,1.52,0.65,1.25,0.96,1.34,11.34,387.99,-9.08,4.16,11.93,-45.51,24.16,12.14,55.8,8.49,39.9,"237,943,018",-13.24,-2.41,51.75,3.09,0.06,0.8,21.39,123.53,123.53,21.39,"-6,454,292","27,002,293","244,726,491","6,563,222"
1102 亞泥,2023/9/28,1102,3,2023/11/13,0.82,0.84,1.68,13.58,0.81,0.9,1.05,1.4,1.18,8.93,-6.82,-30.13,5.26,10.57,-39.98,23.58,15.69,-35.79,12.63,-41.54,"140,975,840",-4.71,-5.76,57.06,2.66,0.06,6.77,13.44,0.67,0.67,13.44,"1,627,796","20,893,116","191,706,450","8,592,524"
1103 嘉泥,2023/9/28,1103,3,2023/11/10,0.18,0.69,5.28,62.79,0.77,0.44,0.94,0.54,0.95,-3.62,75.49,38.76,-0.34,29.19,"151,872.50",39.91,17.9,-56.49,16.46,-57.52,"14,659,082",30.38,1.82,60.96,-0.3,0.02,21.51,14.61,147.13,147.13,14.61,"-125,814","738,527","21,993,122","-115,350"
1104 環泥,2023/9/28,1104,3,2023/11/13,1.42,0.8,2.3,9.22,2.15,4.1,2.11,5.18,2.47,12.29,16.66,-4.5,3.42,29.73,176.48,68.01,64.8,162.9,62.28,175.1,"17,537,303",5.04,-2.4,80.41,4.81,0.07,52.51,19.28,8.92,8.92,19.28,"-360,108","1,873,035","22,777,981","804,487"
1108 幸福,2023/9/28,1108,3,2023/11/13,0.47,1.16,1.19,6.77,2.59,2.05,2.41,3.86,3.86,13.24,14.86,-12.7,4.17,14.86,25.1,21.74,17.26,37.01,14.88,42.66,"5,828,227",19.93,-3.55,51.04,6.19,0.13,4.02,18.15,5.18,5.18,18.15,"103,530","1,275,216","5,004,310","132,890"
1109 信大,2023/9/28,1109,3,2023/11/9,0.34,0.76,0.96,5.67,2.34,1.28,2.03,1.5,1.74,12.57,10.78,-35.33,5.88,10.61,-41.88,18.61,13.79,-13.21,9.13,-41.39,"6,055,555",-4.51,-5.97,87.3,-0.46,0.14,1.22,18.19,10.4,10.4,18.19,"-168,768","1,595,174","9,847,094","138,693"
1110 東泥,2023/9/28,1110,3,2023/11/10,0.1,1.2,4.86,349.72,-0.06,0.53,-0.12,0.63,-0.48,-13.69,-566.68,-216.19,-1.19,-8.62,-14.33,22.93,15.79,36.11,11.26,7.63,"10,725,000",4.09,-19.06,78.38,1.62,0.04,29.48,-6.56,-161.56,-161.56,-6.56,"-48,024","498,086","8,984,191","76,265"
1201 味全,2023/9/28,1201,3,2023/11/8,0.12,1.26,0.45,29.47,2.43,0.51,1.73,0.85,1.11,0.81,-68.65,-53.53,0.96,1.37,70.92,6.64,1.43,-55.55,1.04,-55.67,"9,336,844",3.57,13.57,39.09,2.57,0.31,0.61,27.41,0.68,0.68,27.41,"250,160","5,956,412","7,400,670","578,264"
1203 味王,2023/9/28,1203,3,2023/11/13,0.64,1.77,1.56,12.1,3.16,2.39,2.22,3.65,2.94,13.99,16.27,34.8,9.44,11.65,79.78,22.24,19.72,-29.78,14.45,-45.15,"9,972,000",1.82,5.39,64.42,4.2,0.16,5.73,29.63,9.48,9.48,29.63,"7,723","1,619,138","6,528,096","369,758"
1210 大成,2023/9/28,1210,3,2023/11/13,1.51,2.1,0.42,9.4,3.71,2.64,3.09,5.03,4.85,6.5,146.46,15.48,20.6,5.22,18.17,8.71,6.62,97.21,5.41,103.68,"48,138,465",-6.04,2.68,48.58,4.75,0.45,0.12,14.07,35.94,35.94,14.07,"13,744","28,338,364","31,447,030","1,541,475"
