公司,年月,上市別,證期會代碼,TSE 產業別,TEJ產業_名稱,ROA－綜合損益,季別,實收資本額(元),ROE(A)－稅後,當季季底P/E,當季季底P/B,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,季底每股稅後淨利,收盤價(元),市值(百萬元),公司規模,股價變化,股價變化率
2511 太子,2023/6/30,TSE,2511,14,建設,0.95,2.0,16233261470,1.14,22.4,0.77,-48.39,-54.19,-54.19,-79.72,-66.08,-65.25,-65.25,-80.36,-4.51,-0.1,-2.85,-1.14,0.18,11.5,19480.0,中,0.29,0.03
2514 龍邦,2023/6/30,TSE,2514,20,建設,0.82,2.0,3947292780,1.16,17.19,0.6,37.43,127.57,127.57,182.47,158.6,46.15,46.15,-268.25,60.08,72.14,313.49,0.38,0.72,16.6,6553.0,中,-0.7,-0.04
2515 中工,2023/6/30,TSE,2515,14,營造,0.57,2.0,15308998220,1.2,22.52,0.77,35.54,47.51,47.51,135.3,-39.67,-44.08,-44.08,-90.86,3.6,0.25,,-0.42,0.18,10.57,16993.0,中,1.75,0.2
2516 新建,2023/6/30,TSE,2516,14,營造,1.74,2.0,2262784570,7.87,,0.84,16.72,164.68,164.68,124.95,134.16,134.16,134.16,126.01,-3.32,-13.29,-0.45,7.05,0.49,5.47,1238.0,中,0.57,0.12
2520 冠德,2023/6/30,TSE,2520,14,建設,1.88,2.0,5541701000,4.88,4.94,0.92,-7.66,-17.46,-17.46,-23.5,-23.97,-32.0,-32.0,-33.61,1.53,6.66,-4.84,-0.88,1.25,28.33,16681.0,中,0.09,0.0
2524 京城,2023/6/30,TSE,2524,14,建設,0.14,2.0,3694196000,0.28,14.93,0.68,-51.77,-50.98,-50.98,-60.54,-80.19,-86.52,-86.52,-86.52,2.81,3.53,-8.72,-0.79,0.13,31.9,11773.0,中,0.15,0.0
2527 宏璟,2023/6/30,TSE,2527,14,建設,3.12,2.0,2703060000,-0.79,75.81,0.69,-69.8,-74.44,-74.44,-113.5,-121.03,-160.63,-160.63,-208.57,23.67,15.46,-3.86,-0.93,-0.27,23.54,6650.0,中,2.3,0.11
2534 宏盛,2023/6/30,TSE,2534,14,建設,1.2,2.0,4742279700,1.99,6.02,0.72,-28.12,-30.56,-30.56,-42.96,-46.56,-53.98,-53.98,-53.14,-10.98,6.34,,-1.11,0.62,20.11,10362.0,中,-1.01,-0.05
2536 宏普,2023/6/30,TSE,2536,14,建設,-0.49,2.0,3328086520,-1.63,,0.79,-76.57,-78.48,-78.48,-90.67,-205.48,-296.67,-296.67,-296.67,10.11,-4.23,-8.58,-0.58,-0.58,26.43,8969.0,中,2.41,0.1
2537 聯上發,2023/6/30,TSE,2537,14,建設,-0.35,2.0,3005577950,-1.29,,0.55,-85.55,-84.51,-84.51,-98.02,-146.01,-158.16,-158.16,-158.71,6.53,-1.58,,-0.9,-0.18,7.48,2248.0,中,0.63,0.09
2538 基泰,2023/6/30,TSE,2538,14,建設,7.93,2.0,4384487640,26.4,2.88,0.91,-30.86,-3.21,-3.21,-304.23,1157.67,1141.13,1141.13,-186.15,-0.79,25.88,-4.11,6.79,1.48,12.45,5678.0,中,0.29,0.02
2543 皇昌,2023/6/30,TSE,2543,14,營造,0.97,2.0,2374837880,4.53,11.29,0.9,20.21,97.94,97.94,-26.94,-35.0,-38.27,-38.27,-39.72,53.93,4.13,42.9,-0.36,0.46,9.99,2372.0,中,0.66,0.07
2547 日勝生,2023/6/30,TSE,2547,14,建設,-0.23,2.0,8800946490,-1.11,45.47,0.74,13.31,-3.4,-3.4,-16.15,-104.68,-309.42,-309.42,-307.4,2.59,-0.63,,-0.2,-0.18,9.07,7982.0,中,-0.04,-0.0
2601 益航,2023/6/30,TSE,2601,18,海運,-1.25,2.0,8247760670,-2.58,,0.72,-13.42,-16.5,-16.5,-55.81,-380.78,-11855.79,-11855.79,-14626.59,-10.0,-4.39,-5.04,-0.96,-0.2,8.98,7406.0,中,-0.16,-0.02
