證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,法人買賣超日數,董監持股％,董監持股數,融資餘額(張),融券餘額(張),券資比,融券增減比率,融資增減比率,200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101 台泥,2023/1/31,1101,"-7,774",20,189,"-7,566",-1,1,1,-1,7.89,"564,677","10,602",699,6.59,3.56,3.23,,,,,
1101 台泥,2023/1/30,1101,"13,721",-234,-141,"13,346",2,-2,-3,1,7.89,"564,677","10,270",675,6.57,3.53,-7.89,,,,,
1101 台泥,2023/1/17,1101,265,"-3,424",-250,"-3,409",1,-1,-2,-2,7.89,"564,677","11,150",652,5.85,-5.92,-2.48,,,,,
1101 台泥,2023/1/16,1101,"-5,183","1,171",-514,"-4,526",-1,4,-1,-1,7.89,"564,677","11,433",693,6.06,14.55,-5,,,,,
1101 台泥,2023/1/13,1101,"4,878","4,400",498,"9,776",5,3,3,5,7.89,"564,677","12,035",605,5.03,26.57,5.5,2.82,1.59,1.06,0.99,58.97
1101 台泥,2023/1/12,1101,"2,437","3,074",489,"6,001",4,2,2,4,7.89,"564,677","11,408",478,4.19,4.82,-0.3,,,,,
1101 台泥,2023/1/11,1101,851,"1,561",451,"2,863",3,1,1,3,7.89,"564,677","11,442",456,3.99,0.88,-2.6,,,,,
1101 台泥,2023/1/10,1101,"1,828",-156,-83,"1,589",2,-1,-2,2,7.89,"564,677","11,747",452,3.85,-5.04,-2.21,,,,,
1101 台泥,2023/1/9,1101,"5,665","1,057",-44,"6,678",1,10,-1,1,7.89,"564,677","12,012",476,3.96,-31.81,-4.48,,,,,
1101 台泥,2023/1/6,1101,"-3,396",74,207,"-3,115",-1,9,1,-1,7.89,"564,677","12,575",698,5.55,-3.06,0.12,,,,,
1101 台泥,2023/1/5,1101,"5,669",8,-114,"5,563",1,8,-1,1,7.89,"564,677","12,560",720,5.73,-2.31,-5.36,,,,,
1101 台泥,2023/1/4,1101,"-3,074",27,774,"-2,273",-6,7,1,-6,7.89,"564,677","13,272",737,5.55,0.27,2.13,,,,,
1101 台泥,2023/1/3,1101,"-3,983",502,-12,"-3,493",-5,6,-1,-5,7.89,"564,677","12,995",735,5.66,1.94,0.71,,,,,
