證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,法人買賣超日數,董監持股％,董監持股數,融資餘額(張),融券餘額(張),券資比,融券增減比率,融資增減比率,200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101 台泥,2023/10/31,1101,"-1,524",800,-861,"-1,585",-13,16,-2,-13,7.89,"564,677","19,355","5,517",28.5,-1.16,-1.49,,,,,
1101 台泥,2023/10/30,1101,"-4,065",931,-156,"-3,290",-12,15,-1,-12,7.89,"564,677","19,647","5,582",28.41,-0.04,-0.14,,,,,
1101 台泥,2023/10/27,1101,-449,379,45,-25,-11,14,1,-11,7.89,"564,677","19,675","5,584",28.38,-0.23,-1.75,2.83,1.56,1.08,0.95,55.94
1101 台泥,2023/10/26,1101,"-5,287",431,-197,"-5,052",-10,13,-2,-10,7.89,"564,677","20,025","5,597",27.95,-0.43,1.05,,,,,
1101 台泥,2023/10/25,1101,"-6,061",577,-778,"-6,262",-9,12,-1,-9,7.89,"564,677","19,817","5,621",28.36,0.05,0.05,,,,,
1101 台泥,2023/10/24,1101,"-10,406",457,384,"-9,564",-8,11,6,-8,7.89,"564,677","19,808","5,618",28.36,-0.2,1.84,,,,,
1101 台泥,2023/10/23,1101,"-7,334",286,38,"-7,010",-7,10,5,-7,7.89,"564,677","19,451","5,629",28.94,0.2,-0.36,,,,,
1101 台泥,2023/10/20,1101,"-15,797","4,718",351,"-10,728",-6,9,4,-6,7.89,"564,677","19,522","5,618",28.78,-0.93,0.12,2.98,1.62,1.14,1.01,53.99
1101 台泥,2023/10/19,1101,"-34,307","3,589",352,"-30,367",-5,8,3,-5,7.89,"564,677","19,498","5,671",29.09,0.78,4.31,,,,,
1101 台泥,2023/10/18,1101,"-27,730","1,146","1,088","-25,496",-4,7,2,-4,7.89,"564,677","18,692","5,627",30.1,4.32,1.33,,,,,
1101 台泥,2023/10/17,1101,"-2,986",202,324,"-2,460",-3,6,1,-3,7.89,"564,677","18,446","5,394",29.24,0.19,-0.49,,,,,
1101 台泥,2023/10/16,1101,"-2,240",453,-14,"-1,801",-2,5,-1,-2,7.89,"564,677","18,536","5,384",29.05,-0.68,0.16,,,,,
1101 台泥,2023/10/13,1101,"-5,452",344,160,"-4,948",-1,4,1,-1,7.89,"564,677","18,506","5,421",29.29,-1.74,2.74,2.89,1.59,1.13,0.94,54.99
1101 台泥,2023/10/12,1101,"4,359",9,-425,"3,943",2,3,-1,2,7.89,"564,677","18,013","5,517",30.63,0.07,0.86,,,,,
1101 台泥,2023/10/11,1101,26,151,399,575,1,2,1,1,7.89,"564,677","17,860","5,513",30.87,0.18,-0.21,,,,,
1101 台泥,2023/10/6,1101,"-3,173",490,-107,"-2,789",-15,1,-2,-15,7.89,"564,677","17,898","5,503",30.75,1.14,0.63,2.89,1.62,1.1,0.93,54.98
1101 台泥,2023/10/5,1101,"-7,281",0,-106,"-7,388",-14,,-1,-14,7.89,"564,677","17,786","5,441",30.59,-1,1.45,,,,,
1101 台泥,2023/10/4,1101,"-4,815",32,16,"-4,767",-13,1,2,-13,7.89,"564,677","17,532","5,496",31.35,3.68,-0.11,,,,,
1101 台泥,2023/10/3,1101,"-1,808",-14,152,"-1,670",-12,-1,1,-12,7.89,"564,677","17,552","5,301",30.2,-4.21,-0.66,,,,,
1101 台泥,2023/10/2,1101,"-3,763",268,-41,"-3,536",-11,10,-3,-11,7.89,"564,677","17,668","5,534",31.32,-0.32,-0.83,,,,,
1102 亞泥,2023/10/31,1102,420,-93,518,845,3,-1,5,3,27.36,"970,385","1,627",7,0.43,0,2.84,,,,,
1102 亞泥,2023/10/30,1102,"1,335",228,99,"1,663",2,1,4,2,27.36,"970,385","1,582",7,0.44,0,-0.75,,,,,
1102 亞泥,2023/10/27,1102,578,-39,146,685,1,-2,3,1,27.36,"970,385","1,594",7,0.44,0,-1.97,1.85,1.17,0.86,0.63,77.97
1102 亞泥,2023/10/26,1102,-598,-99,344,-353,-9,-1,2,-7,27.36,"970,385","1,626",7,0.43,-22.22,-7.61,,,,,
1102 亞泥,2023/10/25,1102,-891,34,167,-690,-8,2,1,-6,27.36,"970,385","1,760",9,0.51,0,0.57,,,,,
1102 亞泥,2023/10/24,1102,-778,84,-1,-696,-7,1,-1,-5,27.36,"970,385","1,750",9,0.51,12.5,-0.11,,,,,
1102 亞泥,2023/10/23,1102,"-1,376",-222,156,"-1,442",-6,-2,14,-4,27.36,"970,385","1,752",8,0.46,14.29,0.06,,,,,
1102 亞泥,2023/10/20,1102,-773,-65,410,-428,-5,-1,13,-3,27.36,"970,385","1,751",7,0.4,0,-0.11,1.84,1.16,0.86,0.65,78.1
1102 亞泥,2023/10/19,1102,"-2,101",124,"1,330",-646,-4,1,12,-2,27.36,"970,385","1,753",7,0.4,0,-3.42,,,,,
1102 亞泥,2023/10/18,1102,"-10,092","-1,079","2,506","-8,665",-3,-1,11,-1,27.36,"970,385","1,815",7,0.39,0,12.31,,,,,
1102 亞泥,2023/10/17,1102,-682,65,"1,253",636,-2,4,10,7,27.36,"970,385","1,616",7,0.43,16.67,-0.92,,,,,
1102 亞泥,2023/10/16,1102,-560,122,980,543,-1,3,9,6,27.36,"970,385","1,631",6,0.37,0,-3.2,,,,,
1102 亞泥,2023/10/13,1102,714,21,836,"1,571",4,2,8,5,27.36,"970,385","1,685",6,0.36,0,-0.35,1.82,1.17,0.82,0.63,78.37
1102 亞泥,2023/10/12,1102,"1,175",7,85,"1,267",3,1,7,4,27.36,"970,385","1,691",6,0.35,0,-1.57,,,,,
1102 亞泥,2023/10/11,1102,"3,577",-5,506,"4,078",2,-1,6,3,27.36,"970,385","1,718",6,0.35,20,0.29,,,,,
1102 亞泥,2023/10/6,1102,950,38,286,"1,274",1,9,5,2,27.36,"970,385","1,713",5,0.29,0,-0.29,1.82,1.18,0.8,0.62,78.28
