company_id,market_type,industry,company_name,industry_name
9911,TSE,38,櫻花,居家生活
9912,TSE,25,偉聯,電腦及週邊
9914,TSE,37,美利達,運動休閒
9917,TSE,20,中保科,其他
9918,TSE,23,欣天然,油電燃氣業
9919,TSE,20,康那香,其他
9921,TSE,37,巨大,運動休閒
9924,TSE,38,福興,居家生活
9925,TSE,20,新保,其他
9926,TSE,23,新海,油電燃氣業
9927,TSE,20,泰銘,其他
9928,TSE,20,中視,其他
9929,TSE,20,秋雨,其他
9930,TSE,35,中聯資源,綠能環保
9931,TSE,23,欣高,油電燃氣業
9933,TSE,20,中鼎,其他
9934,TSE,38,成霖,居家生活
9935,TSE,38,慶豐富,居家生活
9937,TSE,23,全國,油電燃氣業
9938,TSE,20,百和,其他
9939,TSE,20,宏全,其他
9940,TSE,20,信義,其他
9941,TSE,20,裕融,其他
9942,TSE,20,茂順,其他
9943,TSE,16,好樂迪,觀光餐旅
9944,TSE,20,新麗,其他
9945,TSE,20,潤泰新,其他
9946,TSE,14,三發地產,建材營造
9949,OTC,32,琉園,文化創意業
9950,OTC,3,萬國通,塑膠工業
9951,OTC,5,皇田,電機機械
9955,TSE,35,佳龍,綠能環保
9958,TSE,10,世紀鋼,鋼鐵工業
9960,OTC,37,邁達康,運動休閒
9962,OTC,10,有益,鋼鐵工業
