證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,法人買賣超日數,董監持股％,董監持股數,融資餘額(張),融券餘額(張),券資比,融券增減比率,融資增減比率,200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101 台泥,2023/2/24,1101,-322,696,-388,-14,-1,1,-1,-1,7.89,"564,677","10,186",821,8.06,-4.42,-1.17,2.76,1.53,1.12,0.97,59.79
1101 台泥,2023/2/23,1101,"22,117",-3,577,"22,690",5,-1,1,5,7.89,"564,677","10,307",859,8.33,13.93,-2.19,,,,,
1101 台泥,2023/2/22,1101,"1,948","1,981",-327,"3,601",4,1,-3,4,7.89,"564,677","10,538",754,7.16,-2.84,3.13,,,,,
1101 台泥,2023/2/21,1101,426,-9,-151,266,3,-1,-2,3,7.89,"564,677","10,218",776,7.59,-2.14,2.35,,,,,
1101 台泥,2023/2/20,1101,"2,747",134,-115,"2,766",2,8,-1,2,7.89,"564,677","9,983",793,7.94,-2.58,-3.01,,,,,
1101 台泥,2023/2/17,1101,"3,603","1,248",112,"4,963",1,7,2,1,7.89,"564,677","10,293",814,7.91,3.04,4.82,,,,,
1101 台泥,2023/2/16,1101,"-4,108","1,797",209,"-2,102",-1,6,1,-1,7.89,"564,677","9,820",790,8.04,-2.47,3.66,,,,,
1101 台泥,2023/2/15,1101,185,87,-163,109,2,5,-1,2,7.89,"564,677","9,473",810,8.55,2.53,-0.45,,,,,
1101 台泥,2023/2/14,1101,"3,033",51,294,"3,378",1,4,1,1,7.89,"564,677","9,516",790,8.3,7.34,-2.53,,,,,
1101 台泥,2023/2/13,1101,"-3,382","2,232",-319,"-1,468",-10,3,-4,-1,7.89,"564,677","9,763",736,7.54,3.66,-0.63,,,,,
1101 台泥,2023/2/10,1101,-474,"1,227",-96,657,-9,2,-3,1,7.89,"564,677","9,825",710,7.23,1.14,0.85,2.78,1.59,1.07,1.02,59.23
1101 台泥,2023/2/9,1101,"-1,809",868,-209,"-1,150",-8,1,-2,-2,7.89,"564,677","9,742",702,7.21,-2.09,-1.02,,,,,
1101 台泥,2023/2/8,1101,-168,-863,-82,"-1,114",-7,-1,-1,-1,7.89,"564,677","9,842",717,7.29,1.41,-0.67,,,,,
1101 台泥,2023/2/7,1101,-623,"1,067",136,580,-6,6,3,1,7.89,"564,677","9,908",707,7.14,-0.98,-1.82,,,,,
1101 台泥,2023/2/6,1101,"-2,912",780,85,"-2,047",-5,5,2,-5,7.89,"564,677","10,092",714,7.07,2.15,-1.91,,,,,
1101 台泥,2023/2/3,1101,"-2,484",653,19,"-1,811",-4,4,1,-4,7.89,"564,677","10,288",699,6.79,1.75,0.97,,,,,
1101 台泥,2023/2/2,1101,"-2,700","1,383",-384,"-1,701",-3,3,-1,-3,7.89,"564,677","10,189",687,6.74,-1.43,-1.35,,,,,
1101 台泥,2023/2/1,1101,"-1,150",727,13,-411,-2,2,2,-2,7.89,"564,677","10,328",697,6.75,-0.29,-2.58,,,,,
1102 亞泥,2023/2/24,1102,"2,362",-14,370,"2,718",2,-1,4,7,27.37,"970,385",407,7,1.72,40,-0.97,1.78,1.4,0.65,0.69,79.71
1102 亞泥,2023/2/23,1102,"1,319",39,56,"1,414",1,5,3,6,27.37,"970,385",411,5,1.22,0,-5.52,,,,,
1102 亞泥,2023/2/22,1102,-323,235,173,85,-2,4,2,5,27.37,"970,385",435,5,1.15,0,-1.81,,,,,
1102 亞泥,2023/2/21,1102,-44,143,145,244,-1,3,1,4,27.37,"970,385",443,5,1.13,-16.67,0.91,,,,,
1102 亞泥,2023/2/20,1102,"1,896",185,-217,"1,864",2,2,-1,3,27.37,"970,385",439,6,1.37,-14.29,-4.77,,,,,
1102 亞泥,2023/2/17,1102,45,96,55,196,1,1,2,2,27.37,"970,385",461,7,1.52,0,-0.22,,,,,
1102 亞泥,2023/2/16,1102,-190,-7,290,93,-11,-2,1,1,27.37,"970,385",462,7,1.52,-22.22,-3.14,,,,,
1102 亞泥,2023/2/15,1102,"-1,042",-321,-48,"-1,411",-10,-1,-1,-10,27.37,"970,385",477,9,1.89,0,-2.25,,,,,
1102 亞泥,2023/2/14,1102,-860,8,46,-807,-9,4,3,-9,27.37,"970,385",488,9,1.84,0,0.41,,,,,
1102 亞泥,2023/2/13,1102,"-1,031",149,152,-730,-8,3,2,-8,27.37,"970,385",486,9,1.85,0,-0.41,,,,,
1102 亞泥,2023/2/10,1102,-812,62,50,-700,-7,2,1,-7,27.37,"970,385",488,9,1.84,0,-2.79,1.87,1.31,0.78,0.59,79.55
1102 亞泥,2023/2/9,1102,-266,48,-35,-253,-6,1,-1,-6,27.37,"970,385",502,9,1.79,0,0.8,,,,,
1102 亞泥,2023/2/8,1102,-636,-12,40,-608,-5,-1,4,-5,27.37,"970,385",498,9,1.81,0,-0.6,,,,,
1102 亞泥,2023/2/7,1102,-404,102,59,-244,-4,3,3,-4,27.37,"970,385",501,9,1.8,0,3.09,,,,,
1102 亞泥,2023/2/6,1102,-959,4,32,-924,-3,2,2,-3,27.37,"970,385",486,9,1.85,0,-5.08,,,,,
1102 亞泥,2023/2/3,1102,-632,70,16,-545,-2,1,1,-2,27.37,"970,385",512,9,1.76,0,-0.97,,,,,
1102 亞泥,2023/2/2,1102,-589,-112,-6,-706,-1,-3,-1,-1,27.37,"970,385",517,9,1.74,0,-8.33,,,,,
1102 亞泥,2023/2/1,1102,99,-15,36,120,7,-2,5,1,27.37,"970,385",564,9,1.6,0,-13.89,,,,,
1103 嘉泥,2023/2/24,1103,-288,0,-1,-289,-2,,-1,-2,17.15,"132,871","1,431",16,1.12,433.33,-2.32,2.92,1.61,0.78,1.26,74.58
1103 嘉泥,2023/2/23,1103,-59,0,0,-59,-1,,,-1,17.15,"132,871","1,465",3,0.2,50,3.83,,,,,
1103 嘉泥,2023/2/22,1103,237,0,-16,221,1,,-5,1,17.15,"132,871","1,411",2,0.14,0,0.86,,,,,
1103 嘉泥,2023/2/21,1103,-154,0,-3,-157,-3,,-4,-3,17.15,"132,871","1,399",0,0,0,0.65,,,,,
1103 嘉泥,2023/2/20,1103,-103,0,-3,-106,-2,,-3,-2,17.15,"132,871","1,390",0,0,-100,48.5,,,,,
1103 嘉泥,2023/2/17,1103,-30,0,-1,-31,-1,,-2,-1,17.15,"132,871",936,9,0.96,-10,1.19,,,,,
1103 嘉泥,2023/2/16,1103,459,0,-14,445,16,,-1,16,17.15,"132,871",925,10,1.08,11.11,8.7,,,,,
1103 嘉泥,2023/2/15,1103,159,0,4,163,15,,1,15,17.15,"132,871",851,9,1.06,0,1.92,,,,,
1103 嘉泥,2023/2/14,1103,228,0,0,228,14,,,14,17.15,"132,871",835,9,1.08,0,3.6,,,,,
1103 嘉泥,2023/2/13,1103,69,0,-12,57,13,,-9,13,17.15,"132,871",806,9,1.12,0,-0.49,,,,,
1103 嘉泥,2023/2/10,1103,63,0,-11,52,12,,-8,12,17.15,"132,871",810,9,1.11,0,0,3.05,1.6,0.8,1.41,74.43
1103 嘉泥,2023/2/9,1103,52,0,-3,49,11,,-7,11,17.15,"132,871",810,9,1.11,0,0,,,,,
1103 嘉泥,2023/2/8,1103,49,0,-2,47,10,,-6,10,17.15,"132,871",810,9,1.11,0,-0.12,,,,,
1103 嘉泥,2023/2/7,1103,101,0,-1,100,9,,-5,9,17.15,"132,871",811,9,1.11,0,-0.37,,,,,
1103 嘉泥,2023/2/6,1103,75,0,-9,66,8,,-4,8,17.15,"132,871",814,9,1.11,0,0,,,,,
1103 嘉泥,2023/2/3,1103,243,0,-6,237,7,,-3,7,17.15,"132,871",814,9,1.11,0,-0.49,,,,,
1103 嘉泥,2023/2/2,1103,39,0,-7,32,6,,-2,6,17.15,"132,871",818,9,1.1,0,-0.37,,,,,
1103 嘉泥,2023/2/1,1103,66,0,-6,60,5,,-1,5,17.15,"132,871",821,9,1.1,0,-1.56,,,,,
1104 環泥,2023/2/24,1104,128,0,-1,127,3,,-1,3,24.16,"157,901","2,360",17,0.72,0,0.38,3,2.57,1.11,1.23,70.37
1104 環泥,2023/2/23,1104,184,0,16,200,2,,1,2,24.16,"157,901","2,351",17,0.72,-26.09,3.3,,,,,
1104 環泥,2023/2/22,1104,19,0,-16,3,1,,-2,1,24.16,"157,901","2,276",23,1.01,21.05,1.83,,,,,
1104 環泥,2023/2/21,1104,-83,0,-13,-96,-1,,-1,-1,24.16,"157,901","2,235",19,0.85,0,-3.71,,,,,
1104 環泥,2023/2/20,1104,206,0,12,218,2,,5,2,24.16,"157,901","2,321",19,0.82,0,6.03,,,,,
1104 環泥,2023/2/17,1104,37,0,14,51,1,,4,1,24.16,"157,901","2,189",19,0.87,0,-1.08,,,,,
1104 環泥,2023/2/16,1104,-119,0,15,-104,-2,,3,-2,24.16,"157,901","2,213",19,0.86,-5,1.61,,,,,
1104 環泥,2023/2/15,1104,-131,0,7,-124,-1,,2,-1,24.16,"157,901","2,178",20,0.92,0,0.28,,,,,
1104 環泥,2023/2/14,1104,77,0,5,82,1,,1,1,24.16,"157,901","2,172",20,0.92,5.26,-2.64,,,,,
1104 環泥,2023/2/13,1104,-95,0,-374,-469,-1,,-4,-1,24.16,"157,901","2,231",19,0.85,0,4.59,,,,,
1104 環泥,2023/2/10,1104,74,0,-11,63,10,,-3,10,24.16,"157,901","2,133",19,0.89,5.56,-5.16,2.89,2.63,1.36,0.96,70.46
1104 環泥,2023/2/9,1104,230,0,-4,226,9,,-2,9,24.16,"157,901","2,249",18,0.8,0,0.18,,,,,
1104 環泥,2023/2/8,1104,166,0,-2,164,8,,-1,8,24.16,"157,901","2,245",18,0.8,12.5,7.16,,,,,
1104 環泥,2023/2/7,1104,710,0,2,712,7,,3,7,24.16,"157,901","2,095",16,0.76,-11.11,13.74,,,,,
1104 環泥,2023/2/6,1104,306,0,14,320,6,,2,6,24.16,"157,901","1,842",18,0.98,0,-2.02,,,,,
1104 環泥,2023/2/3,1104,445,0,10,455,5,,1,5,24.16,"157,901","1,880",18,0.96,0,0.27,,,,,
1104 環泥,2023/2/2,1104,178,0,-2,176,4,,-1,4,24.16,"157,901","1,875",18,0.96,5.88,-1.21,,,,,
1104 環泥,2023/2/1,1104,76,0,6,82,3,,3,3,24.16,"157,901","1,898",17,0.9,0,2.48,,,,,
1108 幸福,2023/2/24,1108,45,0,-6,39,1,,-3,1,3.95,"16,006","3,048",16,0.52,-85.96,7.89,1.24,1.26,0.89,0.93,77.73
1108 幸福,2023/2/23,1108,-159,0,-10,-169,-1,,-2,-1,3.95,"16,006","2,825",114,4.04,"2,180",14.47,,,,,
1108 幸福,2023/2/22,1108,73,0,-8,65,1,,-1,1,3.95,"16,006","2,468",5,0.2,-50,16.8,,,,,
1108 幸福,2023/2/21,1108,-365,0,3,-362,-1,,1,-3,3.95,"16,006","2,113",10,0.47,100,2.37,,,,,
1108 幸福,2023/2/20,1108,9,0,-11,-2,1,,-2,-2,3.95,"16,006","2,064",5,0.24,0,54.03,,,,,
1108 幸福,2023/2/17,1108,-6,0,-13,-19,-1,,-1,-1,3.95,"16,006","1,340",0,0,0,2.13,,,,,
1108 幸福,2023/2/16,1108,72,0,0,72,1,,,1,3.95,"16,006","1,312",0,0,0,17.77,,,,,
1108 幸福,2023/2/15,1108,-30,0,0,-30,-2,,,-2,3.95,"16,006","1,114",0,0,0,0.27,,,,,
