date,company_id,foreign_investors,investment_banks ,dealer,all_institutional_investors,foreign_investors_day,investment_banks_days,dealer_days,all_institutional_investors_days,directors_stock_ratio,directors_stock,financing_balance,margin_balance,sale_margin_purchase_ratio,margin_balance_ratio,financing_balance_ratio,200_400_ratio,400_600_ratio,600_800_ratio,800_1000_ratio,1000up_ratio
2023/9/28,1101,"-5,395",256,-35,"-5,174",-10,9,-2,-10,7.89,"564,677","17,815","5,552",31.16,-0.41,-0.33,2.86,1.65,1.06,0.95,55.16
2023/9/27,1101,"-4,981",58,-247,"-5,170",-9,8,-1,-9,7.89,"564,677","17,874","5,575",31.19,0.07,-0.33,,,,,
2023/9/26,1101,"-11,059",47,297,"-10,715",-8,7,2,-8,7.89,"564,677","17,933","5,571",31.07,-0.32,0.18,,,,,
2023/9/25,1101,"-16,421",25,57,"-16,339",-7,6,1,-7,7.89,"564,677","17,901","5,589",31.22,12.57,-0.02,,,,,
2023/9/22,1101,"-15,894",61,-302,"-16,135",-6,5,-6,-6,7.89,"564,677","17,904","4,965",27.73,0.85,2.43,,,,,
2023/9/21,1101,"-19,839",42,-365,"-20,163",-5,4,-5,-5,7.89,"564,677","17,480","4,923",28.16,8.03,0.29,,,,,
2023/9/20,1101,"-10,891",339,-305,"-10,857",-4,3,-4,-4,7.89,"564,677","17,430","4,557",26.14,0.84,2.88,,,,,
2023/9/19,1101,"-5,633",510,-351,"-5,474",-3,2,-3,-3,7.89,"564,677","16,942","4,519",26.67,-0.13,1.42,,,,,
2023/9/18,1101,"-2,380",140,-83,"-2,322",-2,1,-2,-2,7.89,"564,677","16,704","4,525",27.09,-0.04,1.68,,,,,
2023/9/15,1101,-668,"-1,653",-410,"-2,730",-1,-2,-1,-1,7.89,"564,677","16,428","4,527",27.56,5.89,0.24,2.8,1.64,1.02,1.02,56.18
2023/9/14,1101,"1,662",-405,138,"1,395",1,-1,3,1,7.89,"564,677","16,388","4,275",26.09,-0.54,-2.33,,,,,
2023/9/13,1101,"-4,303",39,448,"-3,816",-14,3,2,-14,7.89,"564,677","16,779","4,298",25.62,12.22,3.94,,,,,
2023/9/12,1101,"-2,508",49,13,"-2,446",-13,2,1,-13,7.89,"564,677","16,143","3,830",23.73,-0.98,4.8,,,,,
2023/9/11,1101,"-4,207",84,-29,"-4,152",-12,1,-4,-12,7.89,"564,677","15,403","3,868",25.11,-0.15,0.92,,,,,
2023/9/8,1101,"-7,275",-373,-110,"-7,758",-11,-1,-3,-11,7.89,"564,677","15,263","3,874",25.38,-1.82,-1.48,2.82,1.63,0.99,1.03,56.34
2023/9/7,1101,"-3,825",56,-275,"-4,043",-10,10,-2,-10,7.89,"564,677","15,492","3,946",25.47,-0.5,-0.07,,,,,
2023/9/6,1101,"-18,901",58,"-1,760","-20,603",-9,9,-1,-9,7.89,"564,677","15,503","3,966",25.58,2.14,-1.34,,,,,
2023/9/5,1101,"-8,772",30,123,"-8,618",-8,8,1,-8,7.89,"564,677","15,713","3,883",24.71,16.89,2.13,,,,,
2023/9/4,1101,"-3,864",62,-70,"-3,873",-7,7,-2,-7,7.89,"564,677","15,385","3,322",21.59,-1.51,0.5,,,,,
2023/9/1,1101,"-5,509",17,-286,"-5,778",-6,6,-1,-6,7.89,"564,677","15,309","3,373",22.03,0.45,0.49,2.81,1.6,1.01,1.03,56.84
2023/9/28,1102,-223,158,0,-65,-2,4,,-2,27.36,"970,385","1,712",9,0.53,0,-0.75,1.85,1.19,0.78,0.6,78.39
2023/9/27,1102,-192,228,-143,-107,-1,3,-2,-1,27.36,"970,385","1,725",9,0.52,28.57,1.71,,,,,
2023/9/26,1102,46,264,-63,247,1,2,-1,2,27.36,"970,385","1,696",7,0.41,0,0.89,,,,,
2023/9/25,1102,-51,202,22,173,-3,1,4,1,27.36,"970,385","1,681",7,0.42,0,0.12,,,,,
2023/9/22,1102,-385,-262,49,-597,-2,-1,3,-3,27.36,"970,385","1,679",7,0.42,16.67,0.3,,,,,
2023/9/21,1102,"-1,341",23,168,"-1,150",-1,1,2,-2,27.36,"970,385","1,674",6,0.36,-14.29,-0.18,,,,,
2023/9/20,1102,56,-195,5,-134,7,-4,1,-1,27.36,"970,385","1,677",7,0.42,0,1.21,,,,,
2023/9/19,1102,624,-43,-48,534,6,-3,-2,6,27.36,"970,385","1,657",7,0.42,0,0.55,,,,,
2023/9/18,1102,633,-6,-23,605,5,-2,-1,5,27.36,"970,385","1,648",7,0.42,16.67,-3.91,,,,,
2023/9/15,1102,668,-147,305,826,4,-1,5,4,27.36,"970,385","1,715",6,0.35,-14.29,4.26,1.86,1.2,0.82,0.55,78.41
2023/9/14,1102,"2,410",95,43,"2,548",3,4,4,3,27.36,"970,385","1,645",7,0.43,0,-0.9,,,,,
2023/9/13,1102,206,201,47,454,2,3,3,2,27.36,"970,385","1,660",7,0.42,0,0.42,,,,,
2023/9/12,1102,411,5,62,478,1,2,2,1,27.36,"970,385","1,653",7,0.42,-46.15,-0.24,,,,,
2023/9/11,1102,-607,152,155,-300,-5,1,1,-5,27.36,"970,385","1,657",13,0.78,-38.1,0.18,,,,,
2023/9/8,1102,-94,-370,-38,-501,-4,-1,-6,-4,27.36,"970,385","1,654",21,1.27,-4.55,-0.96,1.84,1.2,0.81,0.61,78.31
2023/9/7,1102,"-1,198",454,-131,-875,-3,12,-5,-3,27.36,"970,385","1,670",22,1.32,10,0.72,,,,,
2023/9/6,1102,"-2,215",119,-262,"-2,358",-2,11,-4,-2,27.36,"970,385","1,658",20,1.21,300,-3.49,,,,,
2023/9/5,1102,-278,218,-18,-77,-1,10,-3,-1,27.36,"970,385","1,718",5,0.29,0,4.31,,,,,
2023/9/4,1102,606,301,-3,904,2,9,-2,2,27.36,"970,385","1,647",5,0.3,0,-0.18,,,,,
2023/9/1,1102,"1,454",286,-21,"1,719",1,8,-1,1,27.36,"970,385","1,650",5,0.3,-28.57,-0.24,1.86,1.22,0.81,0.58,78.18
2023/9/28,1103,-32,0,15,-17,-3,,1,-3,17.15,"135,530","1,549",0,0,0,0.98,3.12,1.67,0.93,0.78,74.46
2023/9/27,1103,-68,0,-28,-96,-2,,-2,-2,17.15,"135,530","1,534",0,0,0,0.13,,,,,
2023/9/26,1103,-63,0,-21,-84,-1,,-1,-1,17.15,"135,530","1,532",0,0,0,0.86,,,,,
2023/9/25,1103,70,0,1,71,1,,1,1,17.15,"135,530","1,519",0,0,0,-0.07,,,,,
2023/9/22,1103,-18,0,0,-19,-5,,,-5,17.15,"135,530","1,520",0,0,0,-0.07,,,,,
2023/9/21,1103,-121,0,-11,-132,-4,,-3,-4,17.15,"135,530","1,521",0,0,0,0.6,,,,,
2023/9/20,1103,-132,0,-1,-133,-3,,-2,-3,17.15,"135,530","1,512",0,0,0,-0.07,,,,,
2023/9/19,1103,-256,0,-11,-266,-2,,-1,-2,17.15,"135,530","1,513",0,0,0,-0.13,,,,,
2023/9/18,1103,-14,0,13,-1,-1,,1,-1,17.15,"135,530","1,515",0,0,-100,-0.26,,,,,
2023/9/15,1103,483,0,-15,468,4,,-1,3,17.15,"132,871","1,519",29,1.91,0,-0.65,3.23,1.76,0.85,0.77,74.46
2023/9/14,1103,94,0,0,94,3,,,2,17.15,"132,871","1,529",0,0,0,-2.24,,,,,
2023/9/13,1103,94,0,-1,93,2,,-6,1,17.15,"132,871","1,564",0,0,0,-0.26,,,,,
2023/9/12,1103,81,0,-89,-8,1,,-5,-10,17.15,"132,871","1,568",0,0,0,-1.01,,,,,
2023/9/11,1103,-100,0,-86,-186,-9,,-4,-9,17.15,"132,871","1,584",0,0,-100,0,,,,,
2023/9/8,1103,-95,0,-13,-108,-8,,-3,-8,17.15,"132,871","1,584",3,0.19,50,0.06,3.19,1.87,0.69,0.77,74.52
2023/9/7,1103,-176,0,-28,-204,-7,,-2,-7,17.15,"132,871","1,583",2,0.13,0,0.96,,,,,
2023/9/6,1103,-265,0,-33,-298,-6,,-1,-6,17.15,"132,871","1,568",2,0.13,100,0.26,,,,,
2023/9/5,1103,-130,0,0,-130,-5,,,-5,17.15,"132,871","1,564",1,0.06,0,0,,,,,
2023/9/4,1103,-196,0,-8,-204,-4,,-1,-4,17.15,"132,871","1,564",1,0.06,0,0.26,,,,,
2023/9/1,1103,-111,0,58,-53,-3,,1,-3,17.15,"132,871","1,560",1,0.06,0,-0.19,3.22,1.79,0.77,0.77,74.59
2023/9/28,1104,-25,0,1,-24,-1,,1,-15,24.14,"162,493","1,631",22,1.35,0,-0.06,3.09,2.12,1.81,0.64,69.92
2023/9/27,1104,21,0,-24,-3,1,,-2,-14,24.14,"162,493","1,632",22,1.35,22.22,1.05,,,,,
